2025-04-17 17:50:05,005 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='els', window_size=5, score_thresholds=array([0. , 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1. , 1.1, 1.2,
       1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2. , 2.1, 2.2, 2.3, 2.4, 2.5,
       2.6, 2.7, 2.8, 2.9, 3. , 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8,
       3.9, 4. , 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5. , 5.1,
       5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6. , 6.1, 6.2, 6.3, 6.4,
       6.5, 6.6, 6.7, 6.8, 6.9, 7. ]), topk_range=range(0, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='corr_threshold', score_modes=['range_ratio'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/els/neighbor_corr_threshold', visual_dir='./visual/els/neighbor_corr_threshold', num_workers=36, gif_duration=500)
2025-04-17 17:50:05,005 - INFO - 当前评分模式: ['range_ratio']
2025-04-17 17:50:05,006 - INFO - 
==================================================
2025-04-17 17:50:05,006 - INFO - 开始执行网格搜索...
2025-04-17 17:50:05,008 - INFO - [els-1] Starting grid search...
2025-04-17 17:50:05,891 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=0.0, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:50:05,934 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=0.1, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:50:05,942 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=0.2, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:50:05,959 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=0.3, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:50:05,967 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=0.4, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:50:06,085 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=0.5, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:50:06,086 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=0.6, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:50:06,087 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=0.7, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:50:06,087 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=0.8, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:50:06,087 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=0.9, P=0.2689, R=0.4328, F1=0.3317
2025-04-17 17:50:06,087 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=1.0, P=0.2698, R=0.4286, F1=0.3312
2025-04-17 17:50:06,087 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=1.1, P=0.2717, R=0.4202, F1=0.3300
2025-04-17 17:50:06,087 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=1.2, P=0.2786, R=0.4202, F1=0.3350
2025-04-17 17:50:06,087 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=1.3, P=0.2786, R=0.4202, F1=0.3350
2025-04-17 17:50:06,088 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=1.4, P=0.2786, R=0.4202, F1=0.3350
2025-04-17 17:50:06,088 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=1.5, P=0.2786, R=0.4202, F1=0.3350
2025-04-17 17:50:06,088 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=1.6, P=0.2786, R=0.4202, F1=0.3350
2025-04-17 17:50:06,088 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=1.7, P=0.2786, R=0.4202, F1=0.3350
2025-04-17 17:50:06,141 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=1.8, P=0.2793, R=0.4202, F1=0.3356
2025-04-17 17:50:06,141 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=1.9, P=0.2793, R=0.4202, F1=0.3356
2025-04-17 17:50:06,141 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=2.0, P=0.2817, R=0.4202, F1=0.3373
2025-04-17 17:50:06,142 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=2.1, P=0.2832, R=0.4118, F1=0.3356
2025-04-17 17:50:06,142 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=2.2, P=0.2896, R=0.4076, F1=0.3386
2025-04-17 17:50:06,252 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=2.3, P=0.2931, R=0.4076, F1=0.3409
2025-04-17 17:50:06,263 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=2.4, P=0.2918, R=0.4034, F1=0.3386
2025-04-17 17:50:06,271 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=2.5, P=0.2883, R=0.3950, F1=0.3333
2025-04-17 17:50:06,277 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=2.6, P=0.2883, R=0.3950, F1=0.3333
2025-04-17 17:50:06,278 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=2.7, P=0.2879, R=0.3908, F1=0.3316
2025-04-17 17:50:06,286 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=2.8, P=0.2897, R=0.3908, F1=0.3327
2025-04-17 17:50:06,286 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=2.9, P=0.2906, R=0.3908, F1=0.3333
2025-04-17 17:50:06,287 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=3.0, P=0.2925, R=0.3908, F1=0.3345
2025-04-17 17:50:06,287 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=3.1, P=0.2958, R=0.3866, F1=0.3352
2025-04-17 17:50:06,287 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=3.2, P=0.2977, R=0.3866, F1=0.3364
2025-04-17 17:50:06,288 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=3.3, P=0.2951, R=0.3782, F1=0.3315
2025-04-17 17:50:06,288 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=3.4, P=0.2967, R=0.3739, F1=0.3309
2025-04-17 17:50:06,304 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=3.5, P=0.2967, R=0.3739, F1=0.3309
2025-04-17 17:50:06,327 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=3.6, P=0.2977, R=0.3739, F1=0.3315
2025-04-17 17:50:06,327 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=3.7, P=0.2997, R=0.3739, F1=0.3327
2025-04-17 17:50:06,542 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=3.8, P=0.2997, R=0.3739, F1=0.3327
2025-04-17 17:50:06,543 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=3.9, P=0.2973, R=0.3697, F1=0.3296
2025-04-17 17:50:06,543 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=4.0, P=0.2949, R=0.3655, F1=0.3265
2025-04-17 17:50:06,543 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=4.1, P=0.2901, R=0.3571, F1=0.3202
2025-04-17 17:50:06,543 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=4.2, P=0.2921, R=0.3571, F1=0.3214
2025-04-17 17:50:06,543 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=4.3, P=0.2931, R=0.3571, F1=0.3220
2025-04-17 17:50:06,543 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=4.4, P=0.2972, R=0.3571, F1=0.3244
2025-04-17 17:50:06,544 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=4.5, P=0.2993, R=0.3571, F1=0.3257
2025-04-17 17:50:06,544 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=4.6, P=0.3004, R=0.3571, F1=0.3263
2025-04-17 17:50:06,544 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=4.7, P=0.2979, R=0.3529, F1=0.3231
2025-04-17 17:50:06,544 - INFO - [els-1.txt] mode=range_ratio, corr_threshold=0.0, threshold=4.8, P=0.2979, R=0.3529, F1=0.3231
