2025-04-17 17:46:56,114 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='els', window_size=5, score_thresholds=array([0. , 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1. , 1.1, 1.2,
       1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2. , 2.1, 2.2, 2.3, 2.4, 2.5,
       2.6, 2.7, 2.8, 2.9, 3. , 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8,
       3.9, 4. , 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5. , 5.1,
       5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6. , 6.1, 6.2, 6.3, 6.4,
       6.5, 6.6, 6.7, 6.8, 6.9, 7. ]), topk_range=range(0, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='corr_threshold', score_modes=['strict_deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/els/neighbor_corr_threshold', visual_dir='./visual/els/neighbor_corr_threshold', num_workers=36, gif_duration=500)
2025-04-17 17:46:56,114 - INFO - 当前评分模式: ['strict_deviation']
2025-04-17 17:46:56,114 - INFO - 
==================================================
2025-04-17 17:46:56,114 - INFO - 开始执行网格搜索...
2025-04-17 17:46:56,117 - INFO - [els-1] Starting grid search...
2025-04-17 17:46:56,816 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.0, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:46:57,015 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.1, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:46:57,043 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.2, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:46:57,070 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.3, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:46:57,079 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.4, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:46:57,110 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.5, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:46:57,110 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.6, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:46:57,110 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.7, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:46:57,123 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.8, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:46:57,148 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.9, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:46:57,152 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.0, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:46:57,169 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.1, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:46:57,170 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.2, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:46:57,187 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.3, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:46:57,187 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.4, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:46:57,187 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.5, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:46:57,187 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.6, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:46:57,187 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.7, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:46:57,187 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.8, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:46:57,260 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.9, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:46:57,261 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.0, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:46:57,261 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.1, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:46:57,261 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.2, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:46:57,398 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.3, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:46:57,399 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.4, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:46:57,399 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.5, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:46:57,416 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.6, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:46:57,422 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.7, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:46:57,427 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.8, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:46:57,429 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.9, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:46:57,435 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.0, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:46:57,438 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.1, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:46:57,446 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.2, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:46:57,451 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.3, P=0.2691, R=0.4286, F1=0.3306
2025-04-17 17:46:57,451 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.4, P=0.2708, R=0.4244, F1=0.3306
2025-04-17 17:46:57,463 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.5, P=0.2715, R=0.4244, F1=0.3311
2025-04-17 17:46:57,463 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.6, P=0.2752, R=0.4244, F1=0.3339
2025-04-17 17:46:57,463 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.7, P=0.2775, R=0.4244, F1=0.3355
2025-04-17 17:46:57,463 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.8, P=0.2793, R=0.4202, F1=0.3356
2025-04-17 17:46:57,463 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.9, P=0.2793, R=0.4202, F1=0.3356
2025-04-17 17:46:57,463 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.0, P=0.2793, R=0.4202, F1=0.3356
2025-04-17 17:46:57,463 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.1, P=0.2793, R=0.4202, F1=0.3356
2025-04-17 17:46:57,463 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.2, P=0.2793, R=0.4202, F1=0.3356
2025-04-17 17:46:57,463 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.3, P=0.2793, R=0.4202, F1=0.3356
2025-04-17 17:46:57,463 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.4, P=0.2793, R=0.4202, F1=0.3356
2025-04-17 17:46:57,539 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.5, P=0.2793, R=0.4202, F1=0.3356
2025-04-17 17:46:57,540 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.6, P=0.2793, R=0.4202, F1=0.3356
2025-04-17 17:46:57,540 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.7, P=0.2793, R=0.4202, F1=0.3356
2025-04-17 17:46:57,540 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.8, P=0.2801, R=0.4202, F1=0.3361
2025-04-17 17:46:57,917 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.9, P=0.2801, R=0.4202, F1=0.3361
2025-04-17 17:46:57,987 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=5.0, P=0.2801, R=0.4202, F1=0.3361
2025-04-17 17:46:57,996 - INFO - [els-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=5.1, P=0.2801, R=0.4202, F1=0.3361
