2025-04-17 17:51:08,520 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='els', window_size=5, score_thresholds=array([0. , 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1. , 1.1, 1.2,
       1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2. , 2.1, 2.2, 2.3, 2.4, 2.5,
       2.6, 2.7, 2.8, 2.9, 3. , 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8,
       3.9, 4. , 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5. , 5.1,
       5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6. , 6.1, 6.2, 6.3, 6.4,
       6.5, 6.6, 6.7, 6.8, 6.9, 7. ]), topk_range=range(0, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='corr_threshold', score_modes=['value_times_range'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/els/neighbor_corr_threshold', visual_dir='./visual/els/neighbor_corr_threshold', num_workers=36, gif_duration=500)
2025-04-17 17:51:08,521 - INFO - 当前评分模式: ['value_times_range']
2025-04-17 17:51:08,521 - INFO - 
==================================================
2025-04-17 17:51:08,521 - INFO - 开始执行网格搜索...
2025-04-17 17:51:08,523 - INFO - [els-1] Starting grid search...
2025-04-17 17:51:09,434 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=0.0, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:51:09,454 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=0.1, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:51:09,454 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=0.2, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:51:09,459 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=0.3, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:51:09,485 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=0.4, P=0.2689, R=0.4328, F1=0.3317
2025-04-17 17:51:09,486 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=0.5, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:51:09,538 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=0.6, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:51:09,539 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=0.7, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:51:09,552 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=0.8, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:51:09,552 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=0.9, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:51:09,552 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=1.0, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:51:09,576 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=1.1, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:51:09,577 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=1.2, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:51:09,577 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=1.3, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:51:09,577 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=1.4, P=0.2696, R=0.4328, F1=0.3323
2025-04-17 17:51:09,577 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=1.5, P=0.2703, R=0.4328, F1=0.3328
2025-04-17 17:51:09,577 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=1.6, P=0.2703, R=0.4328, F1=0.3328
2025-04-17 17:51:09,577 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=1.7, P=0.2703, R=0.4328, F1=0.3328
2025-04-17 17:51:09,588 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=1.8, P=0.2703, R=0.4328, F1=0.3328
2025-04-17 17:51:09,589 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=1.9, P=0.2703, R=0.4328, F1=0.3328
2025-04-17 17:51:09,589 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=2.0, P=0.2703, R=0.4328, F1=0.3328
2025-04-17 17:51:09,589 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=2.1, P=0.2703, R=0.4328, F1=0.3328
2025-04-17 17:51:09,665 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=2.2, P=0.2703, R=0.4328, F1=0.3328
2025-04-17 17:51:09,666 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=2.3, P=0.2703, R=0.4328, F1=0.3328
2025-04-17 17:51:09,666 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=2.4, P=0.2703, R=0.4328, F1=0.3328
2025-04-17 17:51:09,771 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=2.5, P=0.2703, R=0.4328, F1=0.3328
2025-04-17 17:51:09,772 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=2.6, P=0.2684, R=0.4286, F1=0.3301
2025-04-17 17:51:09,784 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=2.7, P=0.2698, R=0.4286, F1=0.3312
2025-04-17 17:51:09,788 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=2.8, P=0.2679, R=0.4244, F1=0.3285
2025-04-17 17:51:09,788 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=2.9, P=0.2701, R=0.4244, F1=0.3301
2025-04-17 17:51:09,791 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=3.0, P=0.2737, R=0.4244, F1=0.3328
2025-04-17 17:51:09,800 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=3.1, P=0.2737, R=0.4244, F1=0.3328
2025-04-17 17:51:09,804 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=3.2, P=0.2745, R=0.4244, F1=0.3333
2025-04-17 17:51:09,808 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=3.3, P=0.2767, R=0.4244, F1=0.3350
2025-04-17 17:51:09,813 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=3.4, P=0.2782, R=0.4244, F1=0.3361
2025-04-17 17:51:09,820 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=3.5, P=0.2798, R=0.4244, F1=0.3372
2025-04-17 17:51:09,820 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=3.6, P=0.2801, R=0.4202, F1=0.3361
2025-04-17 17:51:09,820 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=3.7, P=0.2801, R=0.4202, F1=0.3361
2025-04-17 17:51:09,943 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=3.8, P=0.2801, R=0.4202, F1=0.3361
2025-04-17 17:51:10,169 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=3.9, P=0.2801, R=0.4202, F1=0.3361
2025-04-17 17:51:10,169 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=4.0, P=0.2801, R=0.4202, F1=0.3361
2025-04-17 17:51:10,169 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=4.1, P=0.2801, R=0.4202, F1=0.3361
2025-04-17 17:51:10,169 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=4.2, P=0.2809, R=0.4202, F1=0.3367
2025-04-17 17:51:10,169 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=4.3, P=0.2817, R=0.4202, F1=0.3373
2025-04-17 17:51:10,169 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=4.4, P=0.2825, R=0.4202, F1=0.3378
2025-04-17 17:51:10,169 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=4.5, P=0.2825, R=0.4202, F1=0.3378
2025-04-17 17:51:10,170 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=4.6, P=0.2825, R=0.4202, F1=0.3378
2025-04-17 17:51:10,170 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=4.7, P=0.2833, R=0.4202, F1=0.3384
2025-04-17 17:51:10,170 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=4.8, P=0.2841, R=0.4202, F1=0.3390
2025-04-17 17:51:10,362 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=4.9, P=0.2841, R=0.4202, F1=0.3390
2025-04-17 17:51:10,364 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=5.0, P=0.2841, R=0.4202, F1=0.3390
2025-04-17 17:51:10,364 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=5.1, P=0.2849, R=0.4202, F1=0.3396
2025-04-17 17:51:10,381 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=5.2, P=0.2845, R=0.4160, F1=0.3379
2025-04-17 17:51:10,398 - INFO - [els-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=5.3, P=0.2861, R=0.4160, F1=0.3390
