2025-04-17 17:45:58,157 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='els', window_size=5, score_thresholds=array([0. , 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1. , 1.1, 1.2,
       1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2. , 2.1, 2.2, 2.3, 2.4, 2.5,
       2.6, 2.7, 2.8, 2.9, 3. , 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8,
       3.9, 4. , 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5. , 5.1,
       5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6. , 6.1, 6.2, 6.3, 6.4,
       6.5, 6.6, 6.7, 6.8, 6.9, 7. ]), topk_range=range(0, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['robust_zscore'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/els/neighbor_topk', visual_dir='./visual/els/neighbor_topk', num_workers=36, gif_duration=500)
2025-04-17 17:45:58,157 - INFO - 当前评分模式: ['robust_zscore']
2025-04-17 17:45:58,157 - INFO - 
==================================================
2025-04-17 17:45:58,157 - INFO - 开始执行网格搜索...
2025-04-17 17:45:58,162 - INFO - [els-1] Starting grid search...
2025-04-17 17:45:58,847 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=0.0, P=0.3200, R=0.2689, F1=0.2922
2025-04-17 17:45:58,858 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=0.1, P=0.3200, R=0.2689, F1=0.2922
2025-04-17 17:45:58,858 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=0.2, P=0.3200, R=0.2689, F1=0.2922
2025-04-17 17:45:58,862 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=0.3, P=0.3200, R=0.2689, F1=0.2922
2025-04-17 17:45:58,862 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=0.4, P=0.3200, R=0.2689, F1=0.2922
2025-04-17 17:45:58,921 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=0.5, P=0.3200, R=0.2689, F1=0.2922
2025-04-17 17:45:58,922 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=0.6, P=0.3200, R=0.2689, F1=0.2922
2025-04-17 17:45:58,922 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=0.7, P=0.3200, R=0.2689, F1=0.2922
2025-04-17 17:45:58,922 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=0.8, P=0.3200, R=0.2689, F1=0.2922
2025-04-17 17:45:58,922 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=0.9, P=0.3200, R=0.2689, F1=0.2922
2025-04-17 17:45:58,993 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=1.0, P=0.3200, R=0.2689, F1=0.2922
2025-04-17 17:45:59,067 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=1.1, P=0.2637, R=0.2017, F1=0.2286
2025-04-17 17:45:59,068 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=1.2, P=0.2637, R=0.2017, F1=0.2286
2025-04-17 17:45:59,068 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=1.3, P=0.2775, R=0.2017, F1=0.2336
2025-04-17 17:45:59,068 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=1.4, P=0.2874, R=0.2017, F1=0.2370
2025-04-17 17:45:59,068 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=1.5, P=0.2874, R=0.2017, F1=0.2370
2025-04-17 17:45:59,116 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=1.6, P=0.2874, R=0.2017, F1=0.2370
2025-04-17 17:45:59,116 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=1.7, P=0.2963, R=0.2017, F1=0.2400
2025-04-17 17:45:59,139 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=1.8, P=0.3013, R=0.1975, F1=0.2386
2025-04-17 17:45:59,139 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=1.9, P=0.3032, R=0.1975, F1=0.2392
2025-04-17 17:45:59,145 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=2.0, P=0.3052, R=0.1975, F1=0.2398
2025-04-17 17:45:59,145 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=2.1, P=0.3072, R=0.1975, F1=0.2404
2025-04-17 17:45:59,145 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=2.2, P=0.2993, R=0.1723, F1=0.2187
2025-04-17 17:45:59,145 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=2.3, P=0.3053, R=0.1681, F1=0.2168
2025-04-17 17:45:59,145 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=2.4, P=0.3101, R=0.1681, F1=0.2180
2025-04-17 17:45:59,145 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=2.5, P=0.3175, R=0.1681, F1=0.2198
2025-04-17 17:45:59,194 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=2.6, P=0.3306, R=0.1681, F1=0.2228
2025-04-17 17:45:59,196 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=2.7, P=0.3361, R=0.1681, F1=0.2241
