2025-04-17 17:45:00,021 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='els', window_size=5, score_thresholds=array([0. , 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1. , 1.1, 1.2,
       1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2. , 2.1, 2.2, 2.3, 2.4, 2.5,
       2.6, 2.7, 2.8, 2.9, 3. , 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8,
       3.9, 4. , 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5. , 5.1,
       5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6. , 6.1, 6.2, 6.3, 6.4,
       6.5, 6.6, 6.7, 6.8, 6.9, 7. ]), topk_range=range(0, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['value_times_range'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/els/neighbor_topk', visual_dir='./visual/els/neighbor_topk', num_workers=36, gif_duration=500)
2025-04-17 17:45:00,021 - INFO - 当前评分模式: ['value_times_range']
2025-04-17 17:45:00,021 - INFO - 
==================================================
2025-04-17 17:45:00,021 - INFO - 开始执行网格搜索...
2025-04-17 17:45:00,025 - INFO - [els-1] Starting grid search...
2025-04-17 17:45:00,621 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=0.0, P=0.3200, R=0.2689, F1=0.2922
2025-04-17 17:45:00,624 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=0.1, P=0.3214, R=0.2647, F1=0.2903
2025-04-17 17:45:00,656 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=0.2, P=0.3214, R=0.2647, F1=0.2903
2025-04-17 17:45:00,808 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=0.3, P=0.3214, R=0.2647, F1=0.2903
2025-04-17 17:45:00,815 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=0.4, P=0.3211, R=0.2563, F1=0.2850
2025-04-17 17:45:00,840 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=0.5, P=0.3245, R=0.2563, F1=0.2864
2025-04-17 17:45:00,846 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=0.6, P=0.3262, R=0.2563, F1=0.2871
2025-04-17 17:45:00,850 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=0.7, P=0.3262, R=0.2563, F1=0.2871
2025-04-17 17:45:00,862 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=0.8, P=0.3297, R=0.2563, F1=0.2884
2025-04-17 17:45:00,876 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=0.9, P=0.3297, R=0.2563, F1=0.2884
2025-04-17 17:45:00,876 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=1.0, P=0.3427, R=0.2563, F1=0.2933
2025-04-17 17:45:00,876 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=1.1, P=0.3427, R=0.2563, F1=0.2933
2025-04-17 17:45:00,899 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=1.2, P=0.3547, R=0.2563, F1=0.2976
2025-04-17 17:45:00,899 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=1.3, P=0.3697, R=0.2563, F1=0.3027
2025-04-17 17:45:00,899 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=1.4, P=0.3836, R=0.2563, F1=0.3073
2025-04-17 17:45:00,899 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=1.5, P=0.3896, R=0.2521, F1=0.3061
2025-04-17 17:45:00,976 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=1.6, P=0.4054, R=0.2521, F1=0.3109
2025-04-17 17:45:00,985 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=1.7, P=0.3985, R=0.2227, F1=0.2857
2025-04-17 17:45:00,988 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=1.8, P=0.4262, R=0.2185, F1=0.2889
2025-04-17 17:45:00,994 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=1.9, P=0.4407, R=0.2185, F1=0.2921
2025-04-17 17:45:00,998 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=2.0, P=0.3810, R=0.1681, F1=0.2332
2025-04-17 17:45:01,004 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=2.1, P=0.3810, R=0.1681, F1=0.2332
2025-04-17 17:45:01,011 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=2.2, P=0.3750, R=0.1639, F1=0.2281
2025-04-17 17:45:01,012 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=2.3, P=0.3900, R=0.1639, F1=0.2308
2025-04-17 17:45:01,012 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=2.4, P=0.3980, R=0.1639, F1=0.2321
2025-04-17 17:45:01,026 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=2.5, P=0.3980, R=0.1639, F1=0.2321
2025-04-17 17:45:01,029 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=2.6, P=0.4062, R=0.1639, F1=0.2335
2025-04-17 17:45:01,029 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=2.7, P=0.4176, R=0.1597, F1=0.2310
2025-04-17 17:45:01,029 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=2.8, P=0.4176, R=0.1597, F1=0.2310
2025-04-17 17:45:01,029 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=2.9, P=0.4222, R=0.1597, F1=0.2317
2025-04-17 17:45:01,029 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=3.0, P=0.4222, R=0.1597, F1=0.2317
2025-04-17 17:45:01,029 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=3.1, P=0.4270, R=0.1597, F1=0.2324
2025-04-17 17:45:01,062 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=3.2, P=0.4270, R=0.1597, F1=0.2324
2025-04-17 17:45:01,074 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=3.3, P=0.4070, R=0.1471, F1=0.2160
2025-04-17 17:45:01,074 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=3.4, P=0.3929, R=0.1387, F1=0.2050
2025-04-17 17:45:01,074 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=3.5, P=0.3976, R=0.1387, F1=0.2056
2025-04-17 17:45:01,074 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=3.6, P=0.4074, R=0.1387, F1=0.2069
