2025-05-08 02:42:33,757 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='machine', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='all', score_modes=['range_ratio'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/machine/neighbor_all', visual_dir='./visual/machine/neighbor_all', num_workers=36, gif_duration=500)
2025-05-08 02:42:33,757 - INFO - 当前评分模式: ['range_ratio']
2025-05-08 02:42:33,757 - INFO - 
==================================================
2025-05-08 02:42:33,757 - INFO - 开始执行网格搜索...
2025-05-08 02:42:33,763 - INFO - [machine-1-1] Starting grid search...
2025-05-08 02:43:21,867 - INFO - [machine-1-1.txt] mode=range_ratio, all=None, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:43:21,868 - INFO - [machine-1-1.txt] mode=range_ratio, all=None, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:43:21,868 - INFO - [machine-1-1.txt] mode=range_ratio, all=None, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:43:21,868 - INFO - [machine-1-1.txt] mode=range_ratio, all=None, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:43:21,868 - INFO - [machine-1-1.txt] mode=range_ratio, all=None, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:43:21,868 - INFO - [machine-1-1.txt] mode=range_ratio, all=None, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:43:21,868 - INFO - [machine-1-1.txt] mode=range_ratio, all=None, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:43:21,869 - INFO - [machine-1-1.txt] mode=range_ratio, all=None, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:43:21,869 - INFO - [machine-1-1.txt] mode=range_ratio, all=None, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:43:21,869 - INFO - [machine-1-1.txt] mode=range_ratio, all=None, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:43:21,869 - INFO - [machine-1-1.txt] mode=range_ratio, all=None, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:43:21,869 - INFO - [machine-1-1.txt] mode=range_ratio, all=None, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:43:21,869 - INFO - [machine-1-1.txt] mode=range_ratio, all=None, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:43:21,869 - INFO - [machine-1-1.txt] mode=range_ratio, all=None, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
