2025-05-08 03:12:33,787 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='machine', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='all', score_modes=['robust_zscore'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/machine/neighbor_all', visual_dir='./visual/machine/neighbor_all', num_workers=36, gif_duration=500)
2025-05-08 03:12:33,787 - INFO - 当前评分模式: ['robust_zscore']
2025-05-08 03:12:33,787 - INFO - 
==================================================
2025-05-08 03:12:33,787 - INFO - 开始执行网格搜索...
2025-05-08 03:12:33,795 - INFO - [machine-1-1] Starting grid search...
2025-05-08 03:13:21,084 - INFO - [machine-1-1.txt] mode=robust_zscore, all=None, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 03:13:21,085 - INFO - [machine-1-1.txt] mode=robust_zscore, all=None, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 03:13:21,086 - INFO - [machine-1-1.txt] mode=robust_zscore, all=None, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 03:13:21,086 - INFO - [machine-1-1.txt] mode=robust_zscore, all=None, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 03:13:21,648 - INFO - [machine-1-1.txt] mode=robust_zscore, all=None, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 03:13:21,649 - INFO - [machine-1-1.txt] mode=robust_zscore, all=None, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 03:13:21,649 - INFO - [machine-1-1.txt] mode=robust_zscore, all=None, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 03:13:21,649 - INFO - [machine-1-1.txt] mode=robust_zscore, all=None, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 03:13:21,650 - INFO - [machine-1-1.txt] mode=robust_zscore, all=None, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 03:13:21,650 - INFO - [machine-1-1.txt] mode=robust_zscore, all=None, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 03:13:21,650 - INFO - [machine-1-1.txt] mode=robust_zscore, all=None, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 03:13:21,650 - INFO - [machine-1-1.txt] mode=robust_zscore, all=None, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 03:13:21,650 - INFO - [machine-1-1.txt] mode=robust_zscore, all=None, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 03:13:21,650 - INFO - [machine-1-1.txt] mode=robust_zscore, all=None, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 03:13:21,650 - INFO - [machine-1-1.txt] mode=robust_zscore, all=None, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 03:13:21,725 - INFO - [machine-1-7] Starting grid search...
2025-05-08 03:14:01,047 - INFO - [machine-1-7.txt] mode=robust_zscore, all=None, threshold=0.0, P=0.3825, R=0.9769, F1=0.5498
2025-05-08 03:14:01,684 - INFO - [machine-1-7.txt] mode=robust_zscore, all=None, threshold=0.5, P=0.3825, R=0.9769, F1=0.5498
2025-05-08 03:14:01,785 - INFO - [machine-1-7.txt] mode=robust_zscore, all=None, threshold=1.0, P=0.3825, R=0.9769, F1=0.5498
2025-05-08 03:14:01,785 - INFO - [machine-1-7.txt] mode=robust_zscore, all=None, threshold=1.5, P=0.3825, R=0.9769, F1=0.5498
2025-05-08 03:14:01,786 - INFO - [machine-1-7.txt] mode=robust_zscore, all=None, threshold=2.0, P=0.3825, R=0.9769, F1=0.5498
2025-05-08 03:14:01,786 - INFO - [machine-1-7.txt] mode=robust_zscore, all=None, threshold=2.5, P=0.3825, R=0.9769, F1=0.5498
2025-05-08 03:14:01,786 - INFO - [machine-1-7.txt] mode=robust_zscore, all=None, threshold=3.0, P=0.3825, R=0.9769, F1=0.5498
2025-05-08 03:14:01,786 - INFO - [machine-1-7.txt] mode=robust_zscore, all=None, threshold=3.5, P=0.3825, R=0.9769, F1=0.5498
2025-05-08 03:14:01,786 - INFO - [machine-1-7.txt] mode=robust_zscore, all=None, threshold=4.0, P=0.3825, R=0.9769, F1=0.5498
2025-05-08 03:14:01,786 - INFO - [machine-1-7.txt] mode=robust_zscore, all=None, threshold=4.5, P=0.3848, R=0.9769, F1=0.5522
2025-05-08 03:14:01,786 - INFO - [machine-1-7.txt] mode=robust_zscore, all=None, threshold=5.0, P=0.3848, R=0.9769, F1=0.5522
2025-05-08 03:14:01,879 - INFO - [machine-1-7.txt] mode=robust_zscore, all=None, threshold=5.5, P=0.3848, R=0.9769, F1=0.5522
2025-05-08 03:14:01,880 - INFO - [machine-1-7.txt] mode=robust_zscore, all=None, threshold=6.0, P=0.3848, R=0.9769, F1=0.5522
2025-05-08 03:14:01,880 - INFO - [machine-1-7.txt] mode=robust_zscore, all=None, threshold=6.5, P=0.3848, R=0.9769, F1=0.5522
2025-05-08 03:14:02,240 - INFO - [machine-1-7.txt] mode=robust_zscore, all=None, threshold=7.0, P=0.3848, R=0.9769, F1=0.5522
2025-05-08 03:14:02,336 - INFO - [machine-2-7] Starting grid search...
2025-05-08 03:14:34,964 - INFO - [machine-2-7.txt] mode=robust_zscore, all=None, threshold=0.0, P=0.2000, R=0.5930, F1=0.2991
2025-05-08 03:14:35,052 - INFO - [machine-2-7.txt] mode=robust_zscore, all=None, threshold=0.5, P=0.2000, R=0.5930, F1=0.2991
2025-05-08 03:14:35,287 - INFO - [machine-2-7.txt] mode=robust_zscore, all=None, threshold=1.0, P=0.2000, R=0.5930, F1=0.2991
2025-05-08 03:14:35,287 - INFO - [machine-2-7.txt] mode=robust_zscore, all=None, threshold=1.5, P=0.2000, R=0.5930, F1=0.2991
2025-05-08 03:14:36,143 - INFO - [machine-2-7.txt] mode=robust_zscore, all=None, threshold=2.0, P=0.2000, R=0.5930, F1=0.2991
2025-05-08 03:14:36,144 - INFO - [machine-2-7.txt] mode=robust_zscore, all=None, threshold=2.5, P=0.2000, R=0.5930, F1=0.2991
2025-05-08 03:14:36,144 - INFO - [machine-2-7.txt] mode=robust_zscore, all=None, threshold=3.0, P=0.2000, R=0.5930, F1=0.2991
2025-05-08 03:14:36,144 - INFO - [machine-2-7.txt] mode=robust_zscore, all=None, threshold=3.5, P=0.2008, R=0.5930, F1=0.3000
2025-05-08 03:14:36,144 - INFO - [machine-2-7.txt] mode=robust_zscore, all=None, threshold=4.0, P=0.2024, R=0.5930, F1=0.3018
2025-05-08 03:14:36,144 - INFO - [machine-2-7.txt] mode=robust_zscore, all=None, threshold=4.5, P=0.2116, R=0.5930, F1=0.3119
2025-05-08 03:14:36,306 - INFO - [machine-2-7.txt] mode=robust_zscore, all=None, threshold=5.0, P=0.2092, R=0.5814, F1=0.3077
2025-05-08 03:14:36,306 - INFO - [machine-2-7.txt] mode=robust_zscore, all=None, threshold=5.5, P=0.2092, R=0.5814, F1=0.3077
2025-05-08 03:14:36,307 - INFO - [machine-2-7.txt] mode=robust_zscore, all=None, threshold=6.0, P=0.2092, R=0.5814, F1=0.3077
2025-05-08 03:14:36,307 - INFO - [machine-2-7.txt] mode=robust_zscore, all=None, threshold=6.5, P=0.2101, R=0.5814, F1=0.3086
2025-05-08 03:14:36,307 - INFO - [machine-2-7.txt] mode=robust_zscore, all=None, threshold=7.0, P=0.2119, R=0.5814, F1=0.3106
2025-05-08 03:14:36,394 - INFO - [machine-3-6] Starting grid search...
2025-05-08 03:15:17,219 - INFO - [machine-3-6.txt] mode=robust_zscore, all=None, threshold=0.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:15:17,221 - INFO - [machine-3-6.txt] mode=robust_zscore, all=None, threshold=0.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:15:18,496 - INFO - [machine-3-6.txt] mode=robust_zscore, all=None, threshold=1.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:15:18,497 - INFO - [machine-3-6.txt] mode=robust_zscore, all=None, threshold=1.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:15:18,923 - INFO - [machine-3-6.txt] mode=robust_zscore, all=None, threshold=2.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:15:18,923 - INFO - [machine-3-6.txt] mode=robust_zscore, all=None, threshold=2.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:15:18,923 - INFO - [machine-3-6.txt] mode=robust_zscore, all=None, threshold=3.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:15:18,924 - INFO - [machine-3-6.txt] mode=robust_zscore, all=None, threshold=3.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:15:18,924 - INFO - [machine-3-6.txt] mode=robust_zscore, all=None, threshold=4.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:15:18,924 - INFO - [machine-3-6.txt] mode=robust_zscore, all=None, threshold=4.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:15:18,924 - INFO - [machine-3-6.txt] mode=robust_zscore, all=None, threshold=5.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:15:18,924 - INFO - [machine-3-6.txt] mode=robust_zscore, all=None, threshold=5.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:15:18,924 - INFO - [machine-3-6.txt] mode=robust_zscore, all=None, threshold=6.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:15:18,925 - INFO - [machine-3-6.txt] mode=robust_zscore, all=None, threshold=6.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:15:18,925 - INFO - [machine-3-6.txt] mode=robust_zscore, all=None, threshold=7.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:15:19,022 - INFO - [machine-3-3] Starting grid search...
2025-05-08 03:15:56,575 - INFO - [machine-3-3.txt] mode=robust_zscore, all=None, threshold=0.0, P=0.1738, R=0.3675, F1=0.2360
2025-05-08 03:15:56,708 - INFO - [machine-3-3.txt] mode=robust_zscore, all=None, threshold=0.5, P=0.1738, R=0.3675, F1=0.2360
2025-05-08 03:15:56,708 - INFO - [machine-3-3.txt] mode=robust_zscore, all=None, threshold=1.0, P=0.1738, R=0.3675, F1=0.2360
2025-05-08 03:15:56,709 - INFO - [machine-3-3.txt] mode=robust_zscore, all=None, threshold=1.5, P=0.1738, R=0.3675, F1=0.2360
2025-05-08 03:15:56,709 - INFO - [machine-3-3.txt] mode=robust_zscore, all=None, threshold=2.0, P=0.1738, R=0.3675, F1=0.2360
2025-05-08 03:15:56,709 - INFO - [machine-3-3.txt] mode=robust_zscore, all=None, threshold=2.5, P=0.1738, R=0.3675, F1=0.2360
2025-05-08 03:15:56,709 - INFO - [machine-3-3.txt] mode=robust_zscore, all=None, threshold=3.0, P=0.1738, R=0.3675, F1=0.2360
2025-05-08 03:15:56,709 - INFO - [machine-3-3.txt] mode=robust_zscore, all=None, threshold=3.5, P=0.1738, R=0.3675, F1=0.2360
2025-05-08 03:15:56,709 - INFO - [machine-3-3.txt] mode=robust_zscore, all=None, threshold=4.0, P=0.1748, R=0.3675, F1=0.2369
