2025-05-08 01:57:58,991 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='machine', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='all', score_modes=['strict_deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/machine/neighbor_all', visual_dir='./visual/machine/neighbor_all', num_workers=36, gif_duration=500)
2025-05-08 01:57:58,991 - INFO - 当前评分模式: ['strict_deviation']
2025-05-08 01:57:58,992 - INFO - 
==================================================
2025-05-08 01:57:58,992 - INFO - 开始执行网格搜索...
2025-05-08 01:57:58,996 - INFO - [machine-1-1] Starting grid search...
2025-05-08 01:58:46,697 - INFO - [machine-1-1.txt] mode=strict_deviation, all=None, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 01:58:46,698 - INFO - [machine-1-1.txt] mode=strict_deviation, all=None, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 01:58:46,698 - INFO - [machine-1-1.txt] mode=strict_deviation, all=None, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 01:58:47,417 - INFO - [machine-1-1.txt] mode=strict_deviation, all=None, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 01:58:47,418 - INFO - [machine-1-1.txt] mode=strict_deviation, all=None, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 01:58:47,418 - INFO - [machine-1-1.txt] mode=strict_deviation, all=None, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 01:58:47,418 - INFO - [machine-1-1.txt] mode=strict_deviation, all=None, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 01:58:47,418 - INFO - [machine-1-1.txt] mode=strict_deviation, all=None, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 01:58:47,418 - INFO - [machine-1-1.txt] mode=strict_deviation, all=None, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 01:58:47,418 - INFO - [machine-1-1.txt] mode=strict_deviation, all=None, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 01:58:47,418 - INFO - [machine-1-1.txt] mode=strict_deviation, all=None, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 01:58:47,418 - INFO - [machine-1-1.txt] mode=strict_deviation, all=None, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 01:58:47,418 - INFO - [machine-1-1.txt] mode=strict_deviation, all=None, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 01:58:47,419 - INFO - [machine-1-1.txt] mode=strict_deviation, all=None, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 01:58:47,419 - INFO - [machine-1-1.txt] mode=strict_deviation, all=None, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 01:58:47,503 - INFO - [machine-1-7] Starting grid search...
2025-05-08 01:59:26,855 - INFO - [machine-1-7.txt] mode=strict_deviation, all=None, threshold=0.0, P=0.3825, R=0.9769, F1=0.5498
2025-05-08 01:59:26,856 - INFO - [machine-1-7.txt] mode=strict_deviation, all=None, threshold=0.5, P=0.3932, R=0.9769, F1=0.5607
2025-05-08 01:59:26,985 - INFO - [machine-1-7.txt] mode=strict_deviation, all=None, threshold=1.0, P=0.4084, R=0.9769, F1=0.5760
2025-05-08 01:59:27,017 - INFO - [machine-1-7.txt] mode=strict_deviation, all=None, threshold=1.5, P=0.4123, R=0.9769, F1=0.5799
2025-05-08 01:59:27,017 - INFO - [machine-1-7.txt] mode=strict_deviation, all=None, threshold=2.0, P=0.4164, R=0.9769, F1=0.5839
2025-05-08 01:59:27,018 - INFO - [machine-1-7.txt] mode=strict_deviation, all=None, threshold=2.5, P=0.4178, R=0.9769, F1=0.5853
2025-05-08 01:59:27,018 - INFO - [machine-1-7.txt] mode=strict_deviation, all=None, threshold=3.0, P=0.4153, R=0.9615, F1=0.5800
2025-05-08 01:59:27,018 - INFO - [machine-1-7.txt] mode=strict_deviation, all=None, threshold=3.5, P=0.4167, R=0.9615, F1=0.5814
2025-05-08 01:59:27,018 - INFO - [machine-1-7.txt] mode=strict_deviation, all=None, threshold=4.0, P=0.4147, R=0.9538, F1=0.5781
2025-05-08 01:59:27,018 - INFO - [machine-1-7.txt] mode=strict_deviation, all=None, threshold=4.5, P=0.4175, R=0.9538, F1=0.5808
2025-05-08 01:59:27,018 - INFO - [machine-1-7.txt] mode=strict_deviation, all=None, threshold=5.0, P=0.4189, R=0.9538, F1=0.5822
