2025-05-08 02:57:30,651 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='machine', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='all', score_modes=['value_times_range'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/machine/neighbor_all', visual_dir='./visual/machine/neighbor_all', num_workers=36, gif_duration=500)
2025-05-08 02:57:30,651 - INFO - 当前评分模式: ['value_times_range']
2025-05-08 02:57:30,651 - INFO - 
==================================================
2025-05-08 02:57:30,651 - INFO - 开始执行网格搜索...
2025-05-08 02:57:30,660 - INFO - [machine-1-1] Starting grid search...
2025-05-08 02:58:16,850 - INFO - [machine-1-1.txt] mode=value_times_range, all=None, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:58:17,192 - INFO - [machine-1-1.txt] mode=value_times_range, all=None, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:58:17,193 - INFO - [machine-1-1.txt] mode=value_times_range, all=None, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:58:17,193 - INFO - [machine-1-1.txt] mode=value_times_range, all=None, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:58:17,538 - INFO - [machine-1-1.txt] mode=value_times_range, all=None, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:58:17,539 - INFO - [machine-1-1.txt] mode=value_times_range, all=None, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:58:17,539 - INFO - [machine-1-1.txt] mode=value_times_range, all=None, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:58:17,539 - INFO - [machine-1-1.txt] mode=value_times_range, all=None, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:58:17,539 - INFO - [machine-1-1.txt] mode=value_times_range, all=None, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:58:17,883 - INFO - [machine-1-1.txt] mode=value_times_range, all=None, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:58:17,884 - INFO - [machine-1-1.txt] mode=value_times_range, all=None, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:58:18,031 - INFO - [machine-1-1.txt] mode=value_times_range, all=None, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:58:18,051 - INFO - [machine-1-1.txt] mode=value_times_range, all=None, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
