2025-05-07 19:07:31,107 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='machine', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='corr_threshold', score_modes=['strict_deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/machine/neighbor_corr_threshold', visual_dir='./visual/machine/neighbor_corr_threshold', num_workers=36, gif_duration=500)
2025-05-07 19:07:31,108 - INFO - 当前评分模式: ['strict_deviation']
2025-05-07 19:07:31,108 - INFO - 
==================================================
2025-05-07 19:07:31,108 - INFO - 开始执行网格搜索...
2025-05-07 19:07:31,112 - INFO - [machine-1-1] Starting grid search...
2025-05-07 19:08:23,221 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:23,221 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:23,222 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,725 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,727 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,727 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,727 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,727 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,727 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,727 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,727 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,727 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,727 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,728 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,728 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,728 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,728 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,728 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,728 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,895 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,897 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,897 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,897 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,897 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,897 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,897 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,897 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,898 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,898 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,898 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.0, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,898 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.1, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,898 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.1, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,898 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.1, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,898 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.1, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 19:08:29,898 - INFO - [machine-1-1.txt] mode=strict_deviation, corr_threshold=0.1, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
