2025-05-07 23:36:54,998 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='machine', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='corr_threshold', score_modes=['value_times_range'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/machine/neighbor_corr_threshold', visual_dir='./visual/machine/neighbor_corr_threshold', num_workers=36, gif_duration=500)
2025-05-07 23:36:54,998 - INFO - 当前评分模式: ['value_times_range']
2025-05-07 23:36:54,998 - INFO - 
==================================================
2025-05-07 23:36:54,998 - INFO - 开始执行网格搜索...
2025-05-07 23:36:55,002 - INFO - [machine-1-1] Starting grid search...
2025-05-07 23:37:41,167 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:37:44,511 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:37:44,543 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:05,534 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:05,535 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:05,535 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:23,846 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,534 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,535 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,535 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,535 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,535 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,535 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,535 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,535 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,536 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,536 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,536 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,536 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,536 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,536 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,536 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,536 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,536 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,536 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,536 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,536 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,733 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,734 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,913 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,914 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,914 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,914 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,914 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,914 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:24,914 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:25,137 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:25,690 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:26,900 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:27,114 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:28,491 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:58,920 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:58,920 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:58,920 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:38:58,921 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:08,544 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:08,545 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:09,185 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:09,186 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:09,186 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:10,984 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:11,319 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:11,319 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:11,320 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:11,320 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:11,320 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:11,320 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:11,320 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:11,320 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:15,421 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:16,466 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
