2025-05-07 15:46:50,984 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='machine', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['mean_ratio'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/machine/neighbor_topk', visual_dir='./visual/machine/neighbor_topk', num_workers=36, gif_duration=500)
2025-05-07 15:46:50,984 - INFO - 当前评分模式: ['mean_ratio']
2025-05-07 15:46:50,984 - INFO - 
==================================================
2025-05-07 15:46:50,984 - INFO - 开始执行网格搜索...
2025-05-07 15:46:50,994 - INFO - [machine-1-1] Starting grid search...
2025-05-07 15:47:38,492 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=1, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:38,495 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=1, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:38,495 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=1, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:38,495 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=1, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:38,495 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=1, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:38,495 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=1, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:38,495 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=1, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:38,495 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=1, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:38,495 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=1, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:38,495 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=1, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:38,495 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=1, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:38,495 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=1, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,142 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=1, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,142 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=1, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,142 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=1, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,142 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=2, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,142 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=2, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,142 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=2, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,143 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=2, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,143 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=2, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,143 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=2, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,143 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=2, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,143 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=2, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,143 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=2, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,143 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=2, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,144 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=2, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,144 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=2, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,144 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=2, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,144 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=2, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,144 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=2, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,144 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=3, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,144 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=3, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,582 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=3, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,584 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=3, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,585 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=3, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:47:40,585 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=3, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:20,380 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=3, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:20,381 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=3, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:20,382 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=3, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:20,382 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=3, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:20,382 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=3, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:20,382 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=3, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:20,382 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=3, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:20,382 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=3, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:21,949 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=3, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:21,949 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=4, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:21,949 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=4, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:21,949 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=4, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:21,949 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=4, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:21,950 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=4, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:22,610 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=4, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:22,640 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=4, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:22,640 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=4, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:22,641 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=4, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:22,641 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=4, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:22,641 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=4, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:22,641 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=4, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:23,254 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=4, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:23,255 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=4, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:23,255 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=4, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:23,256 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=5, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:24,708 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=5, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:25,553 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=5, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:25,553 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=5, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:25,554 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=5, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:25,554 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=5, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:25,554 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=5, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:25,554 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=5, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:25,554 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=5, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:25,554 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=5, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:25,554 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=5, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:25,554 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=5, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 15:48:58,526 - INFO - [machine-1-1.txt] mode=mean_ratio, topk=5, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
