2025-05-07 16:26:14,962 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='machine', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['range_ratio'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/machine/neighbor_topk', visual_dir='./visual/machine/neighbor_topk', num_workers=36, gif_duration=500)
2025-05-07 16:26:14,962 - INFO - 当前评分模式: ['range_ratio']
2025-05-07 16:26:14,962 - INFO - 
==================================================
2025-05-07 16:26:14,962 - INFO - 开始执行网格搜索...
2025-05-07 16:26:14,968 - INFO - [machine-1-1] Starting grid search...
2025-05-07 16:27:07,292 - INFO - [machine-1-1.txt] mode=range_ratio, topk=1, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:18,340 - INFO - [machine-1-1.txt] mode=range_ratio, topk=1, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:18,341 - INFO - [machine-1-1.txt] mode=range_ratio, topk=1, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:18,341 - INFO - [machine-1-1.txt] mode=range_ratio, topk=1, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:23,288 - INFO - [machine-1-1.txt] mode=range_ratio, topk=1, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:23,289 - INFO - [machine-1-1.txt] mode=range_ratio, topk=1, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:23,289 - INFO - [machine-1-1.txt] mode=range_ratio, topk=1, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:23,289 - INFO - [machine-1-1.txt] mode=range_ratio, topk=1, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:23,289 - INFO - [machine-1-1.txt] mode=range_ratio, topk=1, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:23,289 - INFO - [machine-1-1.txt] mode=range_ratio, topk=1, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:23,289 - INFO - [machine-1-1.txt] mode=range_ratio, topk=1, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:23,289 - INFO - [machine-1-1.txt] mode=range_ratio, topk=1, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:23,290 - INFO - [machine-1-1.txt] mode=range_ratio, topk=1, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:23,290 - INFO - [machine-1-1.txt] mode=range_ratio, topk=1, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:23,290 - INFO - [machine-1-1.txt] mode=range_ratio, topk=1, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:23,290 - INFO - [machine-1-1.txt] mode=range_ratio, topk=2, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:23,290 - INFO - [machine-1-1.txt] mode=range_ratio, topk=2, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:24,497 - INFO - [machine-1-1.txt] mode=range_ratio, topk=2, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:24,498 - INFO - [machine-1-1.txt] mode=range_ratio, topk=2, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:24,498 - INFO - [machine-1-1.txt] mode=range_ratio, topk=2, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:24,498 - INFO - [machine-1-1.txt] mode=range_ratio, topk=2, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:24,498 - INFO - [machine-1-1.txt] mode=range_ratio, topk=2, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:24,498 - INFO - [machine-1-1.txt] mode=range_ratio, topk=2, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:24,498 - INFO - [machine-1-1.txt] mode=range_ratio, topk=2, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:24,498 - INFO - [machine-1-1.txt] mode=range_ratio, topk=2, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:24,498 - INFO - [machine-1-1.txt] mode=range_ratio, topk=2, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:24,498 - INFO - [machine-1-1.txt] mode=range_ratio, topk=2, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:24,498 - INFO - [machine-1-1.txt] mode=range_ratio, topk=2, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:24,498 - INFO - [machine-1-1.txt] mode=range_ratio, topk=2, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:24,498 - INFO - [machine-1-1.txt] mode=range_ratio, topk=2, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:24,499 - INFO - [machine-1-1.txt] mode=range_ratio, topk=3, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:24,499 - INFO - [machine-1-1.txt] mode=range_ratio, topk=3, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:24,499 - INFO - [machine-1-1.txt] mode=range_ratio, topk=3, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:24,499 - INFO - [machine-1-1.txt] mode=range_ratio, topk=3, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:24,499 - INFO - [machine-1-1.txt] mode=range_ratio, topk=3, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:24,499 - INFO - [machine-1-1.txt] mode=range_ratio, topk=3, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:54,334 - INFO - [machine-1-1.txt] mode=range_ratio, topk=3, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:54,334 - INFO - [machine-1-1.txt] mode=range_ratio, topk=3, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:54,335 - INFO - [machine-1-1.txt] mode=range_ratio, topk=3, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:54,335 - INFO - [machine-1-1.txt] mode=range_ratio, topk=3, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:54,335 - INFO - [machine-1-1.txt] mode=range_ratio, topk=3, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:54,335 - INFO - [machine-1-1.txt] mode=range_ratio, topk=3, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:54,335 - INFO - [machine-1-1.txt] mode=range_ratio, topk=3, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:54,335 - INFO - [machine-1-1.txt] mode=range_ratio, topk=3, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:54,335 - INFO - [machine-1-1.txt] mode=range_ratio, topk=3, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:54,335 - INFO - [machine-1-1.txt] mode=range_ratio, topk=4, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:27:54,335 - INFO - [machine-1-1.txt] mode=range_ratio, topk=4, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:28:03,145 - INFO - [machine-1-1.txt] mode=range_ratio, topk=4, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:28:03,146 - INFO - [machine-1-1.txt] mode=range_ratio, topk=4, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:28:03,146 - INFO - [machine-1-1.txt] mode=range_ratio, topk=4, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:28:03,146 - INFO - [machine-1-1.txt] mode=range_ratio, topk=4, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:28:03,146 - INFO - [machine-1-1.txt] mode=range_ratio, topk=4, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:28:03,146 - INFO - [machine-1-1.txt] mode=range_ratio, topk=4, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:28:03,146 - INFO - [machine-1-1.txt] mode=range_ratio, topk=4, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:28:03,147 - INFO - [machine-1-1.txt] mode=range_ratio, topk=4, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:28:03,147 - INFO - [machine-1-1.txt] mode=range_ratio, topk=4, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:28:10,420 - INFO - [machine-1-1.txt] mode=range_ratio, topk=4, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:28:10,421 - INFO - [machine-1-1.txt] mode=range_ratio, topk=4, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:28:10,421 - INFO - [machine-1-1.txt] mode=range_ratio, topk=4, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:28:10,421 - INFO - [machine-1-1.txt] mode=range_ratio, topk=4, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:28:10,421 - INFO - [machine-1-1.txt] mode=range_ratio, topk=5, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:28:10,421 - INFO - [machine-1-1.txt] mode=range_ratio, topk=5, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 16:28:10,421 - INFO - [machine-1-1.txt] mode=range_ratio, topk=5, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
