2025-04-18 14:04:49,779 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='all', score_modes=['deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_all', visual_dir='./visual/omi/neighbor_all', num_workers=36, gif_duration=500)
2025-04-18 14:04:49,779 - INFO - 当前评分模式: ['deviation']
2025-04-18 14:04:49,779 - INFO - 
==================================================
2025-04-18 14:04:49,779 - INFO - 开始执行网格搜索...
2025-04-18 14:04:49,780 - INFO - [omi-12] Starting grid search...
2025-04-18 14:04:52,421 - INFO - [omi-12.txt] mode=deviation, all=None, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:04:52,600 - INFO - [omi-12.txt] mode=deviation, all=None, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:04:52,601 - INFO - [omi-12.txt] mode=deviation, all=None, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:04:52,601 - INFO - [omi-12.txt] mode=deviation, all=None, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:04:52,601 - INFO - [omi-12.txt] mode=deviation, all=None, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:04:52,601 - INFO - [omi-12.txt] mode=deviation, all=None, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:04:52,601 - INFO - [omi-12.txt] mode=deviation, all=None, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:04:52,602 - INFO - [omi-12.txt] mode=deviation, all=None, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:04:52,609 - INFO - [omi-12.txt] mode=deviation, all=None, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:04:52,609 - INFO - [omi-12.txt] mode=deviation, all=None, threshold=4.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:04:52,647 - INFO - [omi-12.txt] mode=deviation, all=None, threshold=5.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:04:52,647 - INFO - [omi-12.txt] mode=deviation, all=None, threshold=5.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:04:52,647 - INFO - [omi-12.txt] mode=deviation, all=None, threshold=6.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:04:52,647 - INFO - [omi-12.txt] mode=deviation, all=None, threshold=6.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:04:52,647 - INFO - [omi-12.txt] mode=deviation, all=None, threshold=7.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:04:52,691 - INFO - [omi-1] Starting grid search...
2025-04-18 14:04:56,553 - INFO - [omi-1.txt] mode=deviation, all=None, threshold=0.0, P=0.7417, R=1.0000, F1=0.8517
2025-04-18 14:04:56,554 - INFO - [omi-1.txt] mode=deviation, all=None, threshold=0.5, P=0.7417, R=1.0000, F1=0.8517
2025-04-18 14:04:56,554 - INFO - [omi-1.txt] mode=deviation, all=None, threshold=1.0, P=0.7417, R=1.0000, F1=0.8517
2025-04-18 14:04:56,554 - INFO - [omi-1.txt] mode=deviation, all=None, threshold=1.5, P=0.7417, R=1.0000, F1=0.8517
2025-04-18 14:04:56,554 - INFO - [omi-1.txt] mode=deviation, all=None, threshold=2.0, P=0.7417, R=1.0000, F1=0.8517
2025-04-18 14:04:56,555 - INFO - [omi-1.txt] mode=deviation, all=None, threshold=2.5, P=0.7417, R=1.0000, F1=0.8517
2025-04-18 14:04:56,555 - INFO - [omi-1.txt] mode=deviation, all=None, threshold=3.0, P=0.7417, R=1.0000, F1=0.8517
2025-04-18 14:04:56,555 - INFO - [omi-1.txt] mode=deviation, all=None, threshold=3.5, P=0.7417, R=1.0000, F1=0.8517
2025-04-18 14:04:56,555 - INFO - [omi-1.txt] mode=deviation, all=None, threshold=4.0, P=0.7417, R=1.0000, F1=0.8517
2025-04-18 14:04:56,555 - INFO - [omi-1.txt] mode=deviation, all=None, threshold=4.5, P=0.7417, R=1.0000, F1=0.8517
2025-04-18 14:04:56,555 - INFO - [omi-1.txt] mode=deviation, all=None, threshold=5.0, P=0.7417, R=1.0000, F1=0.8517
2025-04-18 14:04:56,555 - INFO - [omi-1.txt] mode=deviation, all=None, threshold=5.5, P=0.7417, R=1.0000, F1=0.8517
2025-04-18 14:04:56,555 - INFO - [omi-1.txt] mode=deviation, all=None, threshold=6.0, P=0.7417, R=1.0000, F1=0.8517
2025-04-18 14:04:56,606 - INFO - [omi-1.txt] mode=deviation, all=None, threshold=6.5, P=0.7417, R=1.0000, F1=0.8517
2025-04-18 14:04:56,607 - INFO - [omi-1.txt] mode=deviation, all=None, threshold=7.0, P=0.7417, R=1.0000, F1=0.8517
2025-04-18 14:04:56,652 - INFO - [omi-5] Starting grid search...
2025-04-18 14:05:00,673 - INFO - [omi-5.txt] mode=deviation, all=None, threshold=0.0, P=0.4537, R=1.0000, F1=0.6242
2025-04-18 14:05:00,674 - INFO - [omi-5.txt] mode=deviation, all=None, threshold=0.5, P=0.4537, R=1.0000, F1=0.6242
2025-04-18 14:05:00,674 - INFO - [omi-5.txt] mode=deviation, all=None, threshold=1.0, P=0.4537, R=1.0000, F1=0.6242
2025-04-18 14:05:00,674 - INFO - [omi-5.txt] mode=deviation, all=None, threshold=1.5, P=0.4537, R=1.0000, F1=0.6242
2025-04-18 14:05:00,675 - INFO - [omi-5.txt] mode=deviation, all=None, threshold=2.0, P=0.4537, R=1.0000, F1=0.6242
2025-04-18 14:05:00,675 - INFO - [omi-5.txt] mode=deviation, all=None, threshold=2.5, P=0.4537, R=1.0000, F1=0.6242
2025-04-18 14:05:00,675 - INFO - [omi-5.txt] mode=deviation, all=None, threshold=3.0, P=0.4537, R=1.0000, F1=0.6242
2025-04-18 14:05:00,675 - INFO - [omi-5.txt] mode=deviation, all=None, threshold=3.5, P=0.4537, R=1.0000, F1=0.6242
2025-04-18 14:05:00,675 - INFO - [omi-5.txt] mode=deviation, all=None, threshold=4.0, P=0.4537, R=1.0000, F1=0.6242
2025-04-18 14:05:00,675 - INFO - [omi-5.txt] mode=deviation, all=None, threshold=4.5, P=0.4537, R=1.0000, F1=0.6242
2025-04-18 14:05:00,675 - INFO - [omi-5.txt] mode=deviation, all=None, threshold=5.0, P=0.4537, R=1.0000, F1=0.6242
2025-04-18 14:05:00,747 - INFO - [omi-5.txt] mode=deviation, all=None, threshold=5.5, P=0.4537, R=1.0000, F1=0.6242
2025-04-18 14:05:00,747 - INFO - [omi-5.txt] mode=deviation, all=None, threshold=6.0, P=0.4537, R=1.0000, F1=0.6242
2025-04-18 14:05:00,747 - INFO - [omi-5.txt] mode=deviation, all=None, threshold=6.5, P=0.4537, R=1.0000, F1=0.6242
2025-04-18 14:05:00,747 - INFO - [omi-5.txt] mode=deviation, all=None, threshold=7.0, P=0.4537, R=1.0000, F1=0.6242
2025-04-18 14:05:00,797 - INFO - [omi-6] Starting grid search...
2025-04-18 14:05:04,831 - INFO - [omi-6.txt] mode=deviation, all=None, threshold=0.0, P=0.2544, R=0.9773, F1=0.4038
2025-04-18 14:05:04,832 - INFO - [omi-6.txt] mode=deviation, all=None, threshold=0.5, P=0.2544, R=0.9773, F1=0.4038
2025-04-18 14:05:04,882 - INFO - [omi-6.txt] mode=deviation, all=None, threshold=1.0, P=0.2544, R=0.9773, F1=0.4038
2025-04-18 14:05:04,882 - INFO - [omi-6.txt] mode=deviation, all=None, threshold=1.5, P=0.2544, R=0.9773, F1=0.4038
2025-04-18 14:05:04,882 - INFO - [omi-6.txt] mode=deviation, all=None, threshold=2.0, P=0.2544, R=0.9773, F1=0.4038
2025-04-18 14:05:05,051 - INFO - [omi-6.txt] mode=deviation, all=None, threshold=2.5, P=0.2544, R=0.9773, F1=0.4038
2025-04-18 14:05:05,148 - INFO - [omi-6.txt] mode=deviation, all=None, threshold=3.0, P=0.2544, R=0.9773, F1=0.4038
2025-04-18 14:05:05,148 - INFO - [omi-6.txt] mode=deviation, all=None, threshold=3.5, P=0.2544, R=0.9773, F1=0.4038
2025-04-18 14:05:05,148 - INFO - [omi-6.txt] mode=deviation, all=None, threshold=4.0, P=0.2544, R=0.9773, F1=0.4038
2025-04-18 14:05:05,149 - INFO - [omi-6.txt] mode=deviation, all=None, threshold=4.5, P=0.2544, R=0.9773, F1=0.4038
2025-04-18 14:05:05,149 - INFO - [omi-6.txt] mode=deviation, all=None, threshold=5.0, P=0.2544, R=0.9773, F1=0.4038
2025-04-18 14:05:05,149 - INFO - [omi-6.txt] mode=deviation, all=None, threshold=5.5, P=0.2544, R=0.9773, F1=0.4038
2025-04-18 14:05:05,149 - INFO - [omi-6.txt] mode=deviation, all=None, threshold=6.0, P=0.2544, R=0.9773, F1=0.4038
2025-04-18 14:05:05,149 - INFO - [omi-6.txt] mode=deviation, all=None, threshold=6.5, P=0.2544, R=0.9773, F1=0.4038
2025-04-18 14:05:05,197 - INFO - [omi-6.txt] mode=deviation, all=None, threshold=7.0, P=0.2544, R=0.9773, F1=0.4038
2025-04-18 14:05:05,249 - INFO - [omi-7] Starting grid search...
2025-04-18 14:05:09,123 - INFO - [omi-7.txt] mode=deviation, all=None, threshold=0.0, P=0.8261, R=0.9744, F1=0.8941
2025-04-18 14:05:09,212 - INFO - [omi-7.txt] mode=deviation, all=None, threshold=0.5, P=0.8261, R=0.9744, F1=0.8941
2025-04-18 14:05:09,345 - INFO - [omi-7.txt] mode=deviation, all=None, threshold=1.0, P=0.8261, R=0.9744, F1=0.8941
2025-04-18 14:05:09,345 - INFO - [omi-7.txt] mode=deviation, all=None, threshold=1.5, P=0.8261, R=0.9744, F1=0.8941
2025-04-18 14:05:09,346 - INFO - [omi-7.txt] mode=deviation, all=None, threshold=2.0, P=0.8261, R=0.9744, F1=0.8941
2025-04-18 14:05:09,346 - INFO - [omi-7.txt] mode=deviation, all=None, threshold=2.5, P=0.8261, R=0.9744, F1=0.8941
2025-04-18 14:05:09,694 - INFO - [omi-7.txt] mode=deviation, all=None, threshold=3.0, P=0.8261, R=0.9744, F1=0.8941
2025-04-18 14:05:09,694 - INFO - [omi-7.txt] mode=deviation, all=None, threshold=3.5, P=0.8261, R=0.9744, F1=0.8941
2025-04-18 14:05:09,694 - INFO - [omi-7.txt] mode=deviation, all=None, threshold=4.0, P=0.8261, R=0.9744, F1=0.8941
2025-04-18 14:05:09,695 - INFO - [omi-7.txt] mode=deviation, all=None, threshold=4.5, P=0.8261, R=0.9744, F1=0.8941
2025-04-18 14:05:09,695 - INFO - [omi-7.txt] mode=deviation, all=None, threshold=5.0, P=0.8261, R=0.9744, F1=0.8941
2025-04-18 14:05:09,695 - INFO - [omi-7.txt] mode=deviation, all=None, threshold=5.5, P=0.8261, R=0.9744, F1=0.8941
2025-04-18 14:05:09,695 - INFO - [omi-7.txt] mode=deviation, all=None, threshold=6.0, P=0.8261, R=0.9744, F1=0.8941
2025-04-18 14:05:09,695 - INFO - [omi-7.txt] mode=deviation, all=None, threshold=6.5, P=0.8261, R=0.9744, F1=0.8941
2025-04-18 14:05:09,761 - INFO - [omi-7.txt] mode=deviation, all=None, threshold=7.0, P=0.8261, R=0.9744, F1=0.8941
2025-04-18 14:05:09,809 - INFO - [omi-9] Starting grid search...
2025-04-18 14:05:13,406 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=0.0, P=0.4962, R=0.9155, F1=0.6436
2025-04-18 14:05:13,407 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=0.5, P=0.4962, R=0.9155, F1=0.6436
2025-04-18 14:05:13,529 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=1.0, P=0.4962, R=0.9155, F1=0.6436
2025-04-18 14:05:13,530 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=1.5, P=0.4962, R=0.9155, F1=0.6436
2025-04-18 14:05:13,530 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=2.0, P=0.4962, R=0.9155, F1=0.6436
2025-04-18 14:05:13,531 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=2.5, P=0.4962, R=0.9155, F1=0.6436
2025-04-18 14:05:13,531 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=3.0, P=0.4962, R=0.9155, F1=0.6436
2025-04-18 14:05:13,531 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=3.5, P=0.4962, R=0.9155, F1=0.6436
2025-04-18 14:05:13,531 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=4.0, P=0.4962, R=0.9155, F1=0.6436
2025-04-18 14:05:13,531 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=4.5, P=0.4962, R=0.9155, F1=0.6436
2025-04-18 14:05:13,531 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=5.0, P=0.4962, R=0.9155, F1=0.6436
2025-04-18 14:05:13,531 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=5.5, P=0.4962, R=0.9155, F1=0.6436
2025-04-18 14:05:13,532 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=6.0, P=0.4962, R=0.9155, F1=0.6436
2025-04-18 14:05:13,532 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=6.5, P=0.4962, R=0.9155, F1=0.6436
2025-04-18 14:05:13,532 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=7.0, P=0.4962, R=0.9155, F1=0.6436
2025-04-18 14:05:13,574 - INFO - [omi-8] Starting grid search...
2025-04-18 14:05:17,117 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=0.0, P=0.3537, R=0.9355, F1=0.5133
2025-04-18 14:05:17,136 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=0.5, P=0.3537, R=0.9355, F1=0.5133
2025-04-18 14:05:17,173 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=1.0, P=0.3537, R=0.9355, F1=0.5133
2025-04-18 14:05:17,173 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=1.5, P=0.3537, R=0.9355, F1=0.5133
2025-04-18 14:05:17,173 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=2.0, P=0.3537, R=0.9355, F1=0.5133
2025-04-18 14:05:17,173 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=2.5, P=0.3537, R=0.9355, F1=0.5133
2025-04-18 14:05:17,173 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=3.0, P=0.3537, R=0.9355, F1=0.5133
2025-04-18 14:05:17,174 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=3.5, P=0.3537, R=0.9355, F1=0.5133
2025-04-18 14:05:17,174 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=4.0, P=0.3537, R=0.9355, F1=0.5133
2025-04-18 14:05:17,182 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=4.5, P=0.3537, R=0.9355, F1=0.5133
2025-04-18 14:05:17,182 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=5.0, P=0.3537, R=0.9355, F1=0.5133
2025-04-18 14:05:17,198 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=5.5, P=0.3537, R=0.9355, F1=0.5133
2025-04-18 14:05:17,198 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=6.0, P=0.3537, R=0.9355, F1=0.5133
2025-04-18 14:05:17,199 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=6.5, P=0.3537, R=0.9355, F1=0.5133
2025-04-18 14:05:17,199 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=7.0, P=0.3537, R=0.9355, F1=0.5133
2025-04-18 14:05:17,241 - INFO - [omi-2] Starting grid search...
2025-04-18 14:05:20,781 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=0.0, P=0.4559, R=1.0000, F1=0.6263
2025-04-18 14:05:20,783 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=0.5, P=0.4559, R=1.0000, F1=0.6263
2025-04-18 14:05:20,784 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=1.0, P=0.4559, R=1.0000, F1=0.6263
2025-04-18 14:05:20,784 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=1.5, P=0.4559, R=1.0000, F1=0.6263
2025-04-18 14:05:20,784 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=2.0, P=0.4559, R=1.0000, F1=0.6263
2025-04-18 14:05:20,784 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=2.5, P=0.4559, R=1.0000, F1=0.6263
2025-04-18 14:05:20,784 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=3.0, P=0.4559, R=1.0000, F1=0.6263
2025-04-18 14:05:20,784 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=3.5, P=0.4559, R=1.0000, F1=0.6263
2025-04-18 14:05:20,784 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=4.0, P=0.4559, R=1.0000, F1=0.6263
2025-04-18 14:05:20,784 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=4.5, P=0.4559, R=1.0000, F1=0.6263
2025-04-18 14:05:20,784 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=5.0, P=0.4559, R=1.0000, F1=0.6263
2025-04-18 14:05:20,784 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=5.5, P=0.4559, R=1.0000, F1=0.6263
2025-04-18 14:05:20,785 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=6.0, P=0.4559, R=1.0000, F1=0.6263
2025-04-18 14:05:20,785 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=6.5, P=0.4559, R=1.0000, F1=0.6263
2025-04-18 14:05:20,874 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=7.0, P=0.4559, R=1.0000, F1=0.6263
2025-04-18 14:05:20,927 - INFO - [omi-11] Starting grid search...
2025-04-18 14:05:24,793 - INFO - [omi-11.txt] mode=deviation, all=None, threshold=0.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-18 14:05:24,794 - INFO - [omi-11.txt] mode=deviation, all=None, threshold=0.5, P=0.3434, R=0.9828, F1=0.5089
