2025-04-18 14:10:33,118 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='all', score_modes=['value_times_range'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_all', visual_dir='./visual/omi/neighbor_all', num_workers=36, gif_duration=500)
2025-04-18 14:10:33,118 - INFO - 当前评分模式: ['value_times_range']
2025-04-18 14:10:33,118 - INFO - 
==================================================
2025-04-18 14:10:33,118 - INFO - 开始执行网格搜索...
2025-04-18 14:10:33,120 - INFO - [omi-12] Starting grid search...
2025-04-18 14:10:35,743 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:10:35,935 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=0.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-18 14:10:35,936 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=1.0, P=0.6333, R=0.9500, F1=0.7600
2025-04-18 14:10:35,940 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=1.5, P=0.6552, R=0.9500, F1=0.7755
2025-04-18 14:10:35,942 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=2.0, P=0.6552, R=0.9500, F1=0.7755
2025-04-18 14:10:35,967 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=2.5, P=0.6552, R=0.9500, F1=0.7755
2025-04-18 14:10:35,967 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=3.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 14:10:35,967 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=3.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 14:10:35,974 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=4.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 14:10:35,974 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=4.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 14:10:35,975 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=5.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 14:10:35,975 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=5.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 14:10:36,019 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=6.0, P=0.6607, R=0.9250, F1=0.7708
2025-04-18 14:10:36,020 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=6.5, P=0.6607, R=0.9250, F1=0.7708
2025-04-18 14:10:36,020 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=7.0, P=0.6607, R=0.9250, F1=0.7708
2025-04-18 14:10:36,065 - INFO - [omi-1] Starting grid search...
2025-04-18 14:10:39,776 - INFO - [omi-1.txt] mode=value_times_range, all=None, threshold=0.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-18 14:10:39,812 - INFO - [omi-1.txt] mode=value_times_range, all=None, threshold=0.5, P=0.7373, R=0.9775, F1=0.8406
2025-04-18 14:10:39,812 - INFO - [omi-1.txt] mode=value_times_range, all=None, threshold=1.0, P=0.7373, R=0.9775, F1=0.8406
2025-04-18 14:10:39,812 - INFO - [omi-1.txt] mode=value_times_range, all=None, threshold=1.5, P=0.7373, R=0.9775, F1=0.8406
2025-04-18 14:10:39,839 - INFO - [omi-1.txt] mode=value_times_range, all=None, threshold=2.0, P=0.7373, R=0.9775, F1=0.8406
2025-04-18 14:10:39,842 - INFO - [omi-1.txt] mode=value_times_range, all=None, threshold=2.5, P=0.7373, R=0.9775, F1=0.8406
2025-04-18 14:10:39,866 - INFO - [omi-1.txt] mode=value_times_range, all=None, threshold=3.0, P=0.7232, R=0.9101, F1=0.8060
2025-04-18 14:10:39,866 - INFO - [omi-1.txt] mode=value_times_range, all=None, threshold=3.5, P=0.7156, R=0.8764, F1=0.7879
2025-04-18 14:10:39,866 - INFO - [omi-1.txt] mode=value_times_range, all=None, threshold=4.0, P=0.7156, R=0.8764, F1=0.7879
2025-04-18 14:10:39,866 - INFO - [omi-1.txt] mode=value_times_range, all=None, threshold=4.5, P=0.7156, R=0.8764, F1=0.7879
2025-04-18 14:10:39,866 - INFO - [omi-1.txt] mode=value_times_range, all=None, threshold=5.0, P=0.7156, R=0.8764, F1=0.7879
2025-04-18 14:10:39,867 - INFO - [omi-1.txt] mode=value_times_range, all=None, threshold=5.5, P=0.7130, R=0.8652, F1=0.7817
2025-04-18 14:10:39,867 - INFO - [omi-1.txt] mode=value_times_range, all=None, threshold=6.0, P=0.7130, R=0.8652, F1=0.7817
2025-04-18 14:10:39,867 - INFO - [omi-1.txt] mode=value_times_range, all=None, threshold=6.5, P=0.7075, R=0.8427, F1=0.7692
2025-04-18 14:10:39,867 - INFO - [omi-1.txt] mode=value_times_range, all=None, threshold=7.0, P=0.7075, R=0.8427, F1=0.7692
2025-04-18 14:10:39,917 - INFO - [omi-5] Starting grid search...
2025-04-18 14:10:43,918 - INFO - [omi-5.txt] mode=value_times_range, all=None, threshold=0.0, P=0.4757, R=1.0000, F1=0.6447
2025-04-18 14:10:43,929 - INFO - [omi-5.txt] mode=value_times_range, all=None, threshold=0.5, P=0.4706, R=0.9796, F1=0.6358
2025-04-18 14:10:43,929 - INFO - [omi-5.txt] mode=value_times_range, all=None, threshold=1.0, P=0.4706, R=0.9796, F1=0.6358
2025-04-18 14:10:43,940 - INFO - [omi-5.txt] mode=value_times_range, all=None, threshold=1.5, P=0.4706, R=0.9796, F1=0.6358
2025-04-18 14:10:43,940 - INFO - [omi-5.txt] mode=value_times_range, all=None, threshold=2.0, P=0.4600, R=0.9388, F1=0.6174
2025-04-18 14:10:43,980 - INFO - [omi-5.txt] mode=value_times_range, all=None, threshold=2.5, P=0.4646, R=0.9388, F1=0.6216
2025-04-18 14:10:43,980 - INFO - [omi-5.txt] mode=value_times_range, all=None, threshold=3.0, P=0.4592, R=0.9184, F1=0.6122
2025-04-18 14:10:43,980 - INFO - [omi-5.txt] mode=value_times_range, all=None, threshold=3.5, P=0.4681, R=0.8980, F1=0.6154
2025-04-18 14:10:43,980 - INFO - [omi-5.txt] mode=value_times_range, all=None, threshold=4.0, P=0.4674, R=0.8776, F1=0.6099
2025-04-18 14:10:43,980 - INFO - [omi-5.txt] mode=value_times_range, all=None, threshold=4.5, P=0.4607, R=0.8367, F1=0.5942
2025-04-18 14:10:43,980 - INFO - [omi-5.txt] mode=value_times_range, all=None, threshold=5.0, P=0.4545, R=0.8163, F1=0.5839
