2025-05-07 11:27:26,970 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='corr_threshold', score_modes=['deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_corr_threshold', visual_dir='./visual/omi/neighbor_corr_threshold', num_workers=36, gif_duration=500)
2025-05-07 11:27:26,971 - INFO - 当前评分模式: ['deviation']
2025-05-07 11:27:26,971 - INFO - 
==================================================
2025-05-07 11:27:26,971 - INFO - 开始执行网格搜索...
2025-05-07 11:27:26,972 - INFO - [omi-12] Starting grid search...
2025-05-07 11:27:30,142 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:30,144 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:30,144 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:31,050 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:31,074 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:31,075 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:31,965 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:31,966 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,167 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,168 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=4.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,168 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=5.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,173 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=5.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,180 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=6.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,212 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=6.5, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:27:32,212 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=7.0, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:27:32,216 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,216 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,216 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,216 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,217 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,217 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,217 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,217 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,217 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,217 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=4.5, P=0.6129, R=0.9500, F1=0.7451
