2025-05-07 11:33:56,908 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='corr_threshold', score_modes=['mean_ratio'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_corr_threshold', visual_dir='./visual/omi/neighbor_corr_threshold', num_workers=36, gif_duration=500)
2025-05-07 11:33:56,908 - INFO - 当前评分模式: ['mean_ratio']
2025-05-07 11:33:56,908 - INFO - 
==================================================
2025-05-07 11:33:56,908 - INFO - 开始执行网格搜索...
2025-05-07 11:33:56,909 - INFO - [omi-12] Starting grid search...
2025-05-07 11:33:59,768 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:33:59,858 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:34:00,041 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=1.0, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:34:00,100 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=1.5, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:34:00,627 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=2.0, P=0.6333, R=0.9500, F1=0.7600
2025-05-07 11:34:01,017 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=2.5, P=0.6333, R=0.9500, F1=0.7600
2025-05-07 11:34:01,326 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=3.0, P=0.6333, R=0.9500, F1=0.7600
2025-05-07 11:34:01,636 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=3.5, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:01,637 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=4.0, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:02,077 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=4.5, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:02,078 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=5.0, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:02,080 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=5.5, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:02,080 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=6.0, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:02,093 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=6.5, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:02,093 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=7.0, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:02,094 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:34:02,094 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:34:02,094 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=1.0, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:34:02,094 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=1.5, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:34:02,094 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=2.0, P=0.6333, R=0.9500, F1=0.7600
2025-05-07 11:34:02,094 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=2.5, P=0.6333, R=0.9500, F1=0.7600
2025-05-07 11:34:02,095 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=3.0, P=0.6333, R=0.9500, F1=0.7600
2025-05-07 11:34:02,095 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=3.5, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:02,095 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=4.0, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:02,095 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=4.5, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:02,096 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=5.0, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:02,096 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=5.5, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:02,097 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=6.0, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:02,097 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=6.5, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:02,097 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=7.0, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:02,097 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.1, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:34:02,233 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.1, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:34:02,234 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.1, threshold=1.0, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:34:02,234 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.1, threshold=1.5, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:34:02,241 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.1, threshold=2.0, P=0.6333, R=0.9500, F1=0.7600
2025-05-07 11:34:02,241 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.1, threshold=2.5, P=0.6333, R=0.9500, F1=0.7600
2025-05-07 11:34:02,242 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.1, threshold=3.0, P=0.6333, R=0.9500, F1=0.7600
2025-05-07 11:34:02,258 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.1, threshold=3.5, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:02,399 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.1, threshold=4.0, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:02,511 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.1, threshold=4.5, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:02,577 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.1, threshold=5.0, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:02,577 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.1, threshold=5.5, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:03,485 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.1, threshold=6.0, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:03,485 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.1, threshold=6.5, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:03,486 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.1, threshold=7.0, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:03,486 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.2, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:34:03,486 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.2, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:34:03,487 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.2, threshold=1.0, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:34:03,487 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.2, threshold=1.5, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:34:03,487 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.2, threshold=2.0, P=0.6333, R=0.9500, F1=0.7600
2025-05-07 11:34:03,845 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.2, threshold=2.5, P=0.6333, R=0.9500, F1=0.7600
2025-05-07 11:34:03,847 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.2, threshold=3.0, P=0.6333, R=0.9500, F1=0.7600
2025-05-07 11:34:03,847 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.2, threshold=3.5, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:03,847 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.2, threshold=4.0, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:03,847 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.2, threshold=4.5, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:03,847 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.2, threshold=5.0, P=0.6552, R=0.9500, F1=0.7755
2025-05-07 11:34:03,847 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.2, threshold=5.5, P=0.6552, R=0.9500, F1=0.7755
