2025-04-16 12:44:10,746 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0.1, 0.2, 0.3, 0.4, 0.5]), neighbor_selection='corr_threshold', score_modes=['range_ratio'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_corr_threshold', visual_dir='./visual/omi/neighbor_corr_threshold', num_workers=4, gif_duration=500)
2025-04-16 12:44:10,746 - INFO - 当前评分模式: ['range_ratio']
2025-04-16 12:44:10,746 - INFO - 
==================================================
2025-04-16 12:44:10,747 - INFO - 开始执行网格搜索...
2025-04-16 12:44:10,749 - INFO - [omi-1] Starting grid search...
2025-04-16 12:44:13,872 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.1, threshold=0.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 12:44:13,874 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.1, threshold=0.5, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 12:44:13,886 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.1, threshold=1.0, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 12:44:13,886 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.1, threshold=1.5, P=0.7207, R=0.8989, F1=0.8000
2025-04-16 12:44:15,873 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.1, threshold=2.0, P=0.7130, R=0.8652, F1=0.7817
2025-04-16 12:44:15,875 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.1, threshold=2.5, P=0.7130, R=0.8652, F1=0.7817
2025-04-16 12:44:15,875 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.1, threshold=3.0, P=0.7130, R=0.8652, F1=0.7817
2025-04-16 12:44:15,892 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.1, threshold=3.5, P=0.7196, R=0.8652, F1=0.7857
2025-04-16 12:44:17,786 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.1, threshold=4.0, P=0.7196, R=0.8652, F1=0.7857
2025-04-16 12:44:17,828 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.1, threshold=4.5, P=0.7196, R=0.8652, F1=0.7857
2025-04-16 12:44:17,857 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.1, threshold=5.0, P=0.7264, R=0.8652, F1=0.7897
2025-04-16 12:44:17,896 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.1, threshold=5.5, P=0.7264, R=0.8652, F1=0.7897
2025-04-16 12:44:20,539 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.1, threshold=6.0, P=0.7264, R=0.8652, F1=0.7897
2025-04-16 12:44:20,540 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.1, threshold=6.5, P=0.7264, R=0.8652, F1=0.7897
2025-04-16 12:44:20,615 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.1, threshold=7.0, P=0.7238, R=0.8539, F1=0.7835
2025-04-16 12:44:20,615 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.2, threshold=0.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 12:44:23,323 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.2, threshold=0.5, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 12:44:23,336 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.2, threshold=1.0, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 12:44:23,897 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.2, threshold=1.5, P=0.7207, R=0.8989, F1=0.8000
2025-04-16 12:44:23,898 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.2, threshold=2.0, P=0.7130, R=0.8652, F1=0.7817
2025-04-16 12:44:26,085 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.2, threshold=2.5, P=0.7130, R=0.8652, F1=0.7817
2025-04-16 12:44:26,422 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.2, threshold=3.0, P=0.7130, R=0.8652, F1=0.7817
2025-04-16 12:44:27,055 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.2, threshold=3.5, P=0.7196, R=0.8652, F1=0.7857
2025-04-16 12:44:27,499 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.2, threshold=4.0, P=0.7196, R=0.8652, F1=0.7857
2025-04-16 12:44:29,458 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.2, threshold=4.5, P=0.7196, R=0.8652, F1=0.7857
2025-04-16 12:44:29,557 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.2, threshold=5.0, P=0.7264, R=0.8652, F1=0.7897
2025-04-16 12:44:29,718 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.2, threshold=5.5, P=0.7264, R=0.8652, F1=0.7897
2025-04-16 12:44:30,015 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.2, threshold=6.0, P=0.7264, R=0.8652, F1=0.7897
2025-04-16 12:44:32,502 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.2, threshold=6.5, P=0.7264, R=0.8652, F1=0.7897
2025-04-16 12:44:33,100 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.2, threshold=7.0, P=0.7238, R=0.8539, F1=0.7835
2025-04-16 12:44:33,101 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.3, threshold=0.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 12:44:33,388 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.3, threshold=0.5, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 12:44:35,294 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.3, threshold=1.0, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 12:44:35,411 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.3, threshold=1.5, P=0.7207, R=0.8989, F1=0.8000
2025-04-16 12:44:36,464 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.3, threshold=2.0, P=0.7130, R=0.8652, F1=0.7817
2025-04-16 12:44:36,465 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.3, threshold=2.5, P=0.7130, R=0.8652, F1=0.7817
2025-04-16 12:44:38,569 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.3, threshold=3.0, P=0.7130, R=0.8652, F1=0.7817
2025-04-16 12:44:38,570 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.3, threshold=3.5, P=0.7196, R=0.8652, F1=0.7857
2025-04-16 12:44:38,806 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.3, threshold=4.0, P=0.7196, R=0.8652, F1=0.7857
2025-04-16 12:44:39,388 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.3, threshold=4.5, P=0.7196, R=0.8652, F1=0.7857
2025-04-16 12:44:41,664 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.3, threshold=5.0, P=0.7264, R=0.8652, F1=0.7897
2025-04-16 12:44:41,665 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.3, threshold=5.5, P=0.7264, R=0.8652, F1=0.7897
2025-04-16 12:44:41,666 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.3, threshold=6.0, P=0.7264, R=0.8652, F1=0.7897
2025-04-16 12:44:42,254 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.3, threshold=6.5, P=0.7264, R=0.8652, F1=0.7897
2025-04-16 12:44:44,312 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.3, threshold=7.0, P=0.7238, R=0.8539, F1=0.7835
2025-04-16 12:44:44,558 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.4, threshold=0.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 12:44:45,044 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.4, threshold=0.5, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 12:44:45,045 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.4, threshold=1.0, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 12:44:46,890 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.4, threshold=1.5, P=0.7207, R=0.8989, F1=0.8000
2025-04-16 12:44:47,889 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.4, threshold=2.0, P=0.7130, R=0.8652, F1=0.7817
2025-04-16 12:44:47,890 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.4, threshold=2.5, P=0.7130, R=0.8652, F1=0.7817
2025-04-16 12:44:47,894 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.4, threshold=3.0, P=0.7130, R=0.8652, F1=0.7817
2025-04-16 12:44:49,848 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.4, threshold=3.5, P=0.7196, R=0.8652, F1=0.7857
2025-04-16 12:44:50,793 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.4, threshold=4.0, P=0.7196, R=0.8652, F1=0.7857
2025-04-16 12:44:50,794 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.4, threshold=4.5, P=0.7196, R=0.8652, F1=0.7857
2025-04-16 12:44:51,215 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.4, threshold=5.0, P=0.7264, R=0.8652, F1=0.7897
2025-04-16 12:44:53,282 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.4, threshold=5.5, P=0.7264, R=0.8652, F1=0.7897
2025-04-16 12:44:53,790 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.4, threshold=6.0, P=0.7264, R=0.8652, F1=0.7897
2025-04-16 12:44:54,143 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.4, threshold=6.5, P=0.7264, R=0.8652, F1=0.7897
2025-04-16 12:44:54,347 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.4, threshold=7.0, P=0.7238, R=0.8539, F1=0.7835
2025-04-16 12:44:56,609 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.5, threshold=0.0, P=0.8830, R=0.9326, F1=0.9071
2025-04-16 12:44:56,813 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.5, threshold=0.5, P=0.8817, R=0.9213, F1=0.9011
2025-04-16 12:44:57,178 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.5, threshold=1.0, P=0.8804, R=0.9101, F1=0.8950
2025-04-16 12:44:57,312 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.5, threshold=1.5, P=0.8736, R=0.8539, F1=0.8636
2025-04-16 12:45:00,155 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.5, threshold=2.0, P=0.8706, R=0.8315, F1=0.8506
2025-04-16 12:45:00,155 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.5, threshold=2.5, P=0.8706, R=0.8315, F1=0.8506
2025-04-16 12:45:00,156 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.5, threshold=3.0, P=0.8706, R=0.8315, F1=0.8506
2025-04-16 12:45:00,156 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.5, threshold=3.5, P=0.8810, R=0.8315, F1=0.8555
2025-04-16 12:45:02,786 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.5, threshold=4.0, P=0.8810, R=0.8315, F1=0.8555
2025-04-16 12:45:03,045 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.5, threshold=4.5, P=0.8810, R=0.8315, F1=0.8555
2025-04-16 12:45:03,045 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.5, threshold=5.0, P=0.8916, R=0.8315, F1=0.8605
2025-04-16 12:45:03,372 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.5, threshold=5.5, P=0.8902, R=0.8202, F1=0.8538
2025-04-16 12:45:04,964 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.5, threshold=6.0, P=0.8902, R=0.8202, F1=0.8538
2025-04-16 12:45:05,852 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.5, threshold=6.5, P=0.9012, R=0.8202, F1=0.8588
2025-04-16 12:45:05,879 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.5, threshold=7.0, P=0.8987, R=0.7978, F1=0.8452
2025-04-16 12:45:05,898 - INFO - [omi-10] Starting grid search...
2025-04-16 12:45:09,059 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.1, threshold=0.0, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 12:45:09,140 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.1, threshold=0.5, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 12:45:09,142 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.1, threshold=1.0, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 12:45:09,198 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.1, threshold=1.5, P=0.4836, R=0.9672, F1=0.6448
2025-04-16 12:45:11,114 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.1, threshold=2.0, P=0.4836, R=0.9672, F1=0.6448
