2025-04-16 13:06:10,038 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0.1, 0.2, 0.3, 0.4, 0.5]), neighbor_selection='corr_threshold', score_modes=['robust_zscore'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_corr_threshold', visual_dir='./visual/omi/neighbor_corr_threshold', num_workers=4, gif_duration=500)
2025-04-16 13:06:10,040 - INFO - 当前评分模式: ['robust_zscore']
2025-04-16 13:06:10,040 - INFO - 
==================================================
2025-04-16 13:06:10,040 - INFO - 开始执行网格搜索...
2025-04-16 13:06:10,041 - INFO - [omi-1] Starting grid search...
2025-04-16 13:06:13,101 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.1, threshold=0.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:13,132 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.1, threshold=0.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:13,178 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.1, threshold=1.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:13,194 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.1, threshold=1.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:15,097 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.1, threshold=2.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:15,176 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.1, threshold=2.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:15,176 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.1, threshold=3.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:15,233 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.1, threshold=3.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:17,068 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.1, threshold=4.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:17,135 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.1, threshold=4.5, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:17,139 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.1, threshold=5.0, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:17,229 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.1, threshold=5.5, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:19,755 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.1, threshold=6.0, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:19,756 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.1, threshold=6.5, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:19,758 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.1, threshold=7.0, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:19,758 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.2, threshold=0.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:23,075 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.2, threshold=0.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:23,077 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.2, threshold=1.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:23,077 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.2, threshold=1.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:23,077 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.2, threshold=2.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:25,584 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.2, threshold=2.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:26,095 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.2, threshold=3.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:26,095 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.2, threshold=3.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:26,096 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.2, threshold=4.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:28,559 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.2, threshold=4.5, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:29,261 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.2, threshold=5.0, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:29,291 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.2, threshold=5.5, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:29,292 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.2, threshold=6.0, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:31,531 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.2, threshold=6.5, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:32,458 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.2, threshold=7.0, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:32,460 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.3, threshold=0.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:32,528 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.3, threshold=0.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:34,632 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.3, threshold=1.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:35,031 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.3, threshold=1.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:35,499 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.3, threshold=2.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:35,717 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.3, threshold=2.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:37,552 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.3, threshold=3.0, P=0.7395, R=0.9888, F1=0.8462
