2025-04-16 12:11:06,019 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0.1, 0.2, 0.3, 0.4, 0.5]), neighbor_selection='corr_threshold', score_modes=['strict_deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_corr_threshold', visual_dir='./visual/omi/neighbor_corr_threshold', num_workers=4, gif_duration=500)
2025-04-16 12:11:06,020 - INFO - 当前评分模式: ['strict_deviation']
2025-04-16 12:11:06,020 - INFO - 
==================================================
2025-04-16 12:11:06,020 - INFO - 开始执行网格搜索...
2025-04-16 12:11:06,021 - INFO - [omi-1] Starting grid search...
2025-04-16 12:11:09,233 - INFO - [omi-1.txt] mode=strict_deviation, corr_threshold=0.1, threshold=0.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 12:11:09,277 - INFO - [omi-1.txt] mode=strict_deviation, corr_threshold=0.1, threshold=0.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 12:11:09,332 - INFO - [omi-1.txt] mode=strict_deviation, corr_threshold=0.1, threshold=1.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 12:11:09,332 - INFO - [omi-1.txt] mode=strict_deviation, corr_threshold=0.1, threshold=1.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 12:11:11,429 - INFO - [omi-1.txt] mode=strict_deviation, corr_threshold=0.1, threshold=2.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 12:11:11,453 - INFO - [omi-1.txt] mode=strict_deviation, corr_threshold=0.1, threshold=2.5, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 12:11:11,585 - INFO - [omi-1.txt] mode=strict_deviation, corr_threshold=0.1, threshold=3.0, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 12:11:11,590 - INFO - [omi-1.txt] mode=strict_deviation, corr_threshold=0.1, threshold=3.5, P=0.7328, R=0.9551, F1=0.8293
2025-04-16 12:11:13,612 - INFO - [omi-1.txt] mode=strict_deviation, corr_threshold=0.1, threshold=4.0, P=0.7328, R=0.9551, F1=0.8293
2025-04-16 12:11:13,613 - INFO - [omi-1.txt] mode=strict_deviation, corr_threshold=0.1, threshold=4.5, P=0.7328, R=0.9551, F1=0.8293
2025-04-16 12:11:13,739 - INFO - [omi-1.txt] mode=strict_deviation, corr_threshold=0.1, threshold=5.0, P=0.7328, R=0.9551, F1=0.8293
