2025-04-17 08:34:20,729 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='corr_threshold', score_modes=['strict_deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_corr_threshold', visual_dir='./visual/omi/neighbor_corr_threshold', num_workers=36, gif_duration=500)
2025-04-17 08:34:20,729 - INFO - 当前评分模式: ['strict_deviation']
2025-04-17 08:34:20,729 - INFO - 
==================================================
2025-04-17 08:34:20,729 - INFO - 开始执行网格搜索...
2025-04-17 08:34:20,730 - INFO - [omi-12] Starting grid search...
2025-04-17 08:34:23,970 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-17 08:34:23,972 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-17 08:34:23,972 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-17 08:34:26,058 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-17 08:34:26,059 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-17 08:34:26,059 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-17 08:34:26,060 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-17 08:34:26,094 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.5, P=0.6167, R=0.9250, F1=0.7400
2025-04-17 08:34:26,094 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.0, P=0.6271, R=0.9250, F1=0.7475
2025-04-17 08:34:26,099 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-17 08:34:26,118 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=5.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-17 08:34:26,118 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=5.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-17 08:34:26,118 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=6.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-17 08:34:26,118 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=6.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-17 08:34:26,144 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=7.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-17 08:34:26,146 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-17 08:34:26,146 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-17 08:34:26,146 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-17 08:34:26,146 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-17 08:34:26,146 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-17 08:34:26,146 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-17 08:34:26,146 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-17 08:34:26,147 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.5, P=0.6167, R=0.9250, F1=0.7400
2025-04-17 08:34:26,274 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.0, P=0.6271, R=0.9250, F1=0.7475
2025-04-17 08:34:26,276 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-17 08:34:26,276 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=5.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-17 08:34:26,286 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=5.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-17 08:34:26,286 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=6.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-17 08:34:26,286 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=6.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-17 08:34:26,286 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=7.0, P=0.6491, R=0.9250, F1=0.7629
