2025-04-17 08:13:05,463 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_topk', visual_dir='./visual/omi/neighbor_topk', num_workers=36, gif_duration=500)
2025-04-17 08:13:05,463 - INFO - 当前评分模式: ['deviation']
2025-04-17 08:13:05,463 - INFO - 
==================================================
2025-04-17 08:13:05,463 - INFO - 开始执行网格搜索...
2025-04-17 08:13:05,464 - INFO - [omi-12] Starting grid search...
2025-04-17 08:13:08,305 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-17 08:13:08,400 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-17 08:13:08,432 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-17 08:13:08,433 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-17 08:13:08,567 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-17 08:13:08,761 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=2.5, P=0.6333, R=0.9500, F1=0.7600
2025-04-17 08:13:09,868 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=3.0, P=0.6333, R=0.9500, F1=0.7600
2025-04-17 08:13:09,870 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=3.5, P=0.6333, R=0.9500, F1=0.7600
2025-04-17 08:13:09,870 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=4.0, P=0.6552, R=0.9500, F1=0.7755
2025-04-17 08:13:10,393 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=4.5, P=0.6552, R=0.9500, F1=0.7755
2025-04-17 08:13:10,590 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=5.0, P=0.6786, R=0.9500, F1=0.7917
2025-04-17 08:13:10,591 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=5.5, P=0.7037, R=0.9500, F1=0.8085
2025-04-17 08:13:10,622 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=6.0, P=0.7170, R=0.9500, F1=0.8172
2025-04-17 08:13:10,622 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=6.5, P=0.7255, R=0.9250, F1=0.8132
2025-04-17 08:13:10,622 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=7.0, P=0.7255, R=0.9250, F1=0.8132
