2025-04-16 22:01:15,089 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['strict_deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_topk', visual_dir='./visual/omi/neighbor_topk', num_workers=36, gif_duration=500)
2025-04-16 22:01:15,089 - INFO - 当前评分模式: ['strict_deviation']
2025-04-16 22:01:15,089 - INFO - 
==================================================
2025-04-16 22:01:15,089 - INFO - 开始执行网格搜索...
2025-04-16 22:01:15,091 - INFO - [omi-12] Starting grid search...
2025-04-16 22:01:18,110 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=0.0, P=0.6750, R=0.6750, F1=0.6750
2025-04-16 22:01:18,112 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=0.5, P=0.6750, R=0.6750, F1=0.6750
2025-04-16 22:01:18,129 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=1.0, P=0.7027, R=0.6500, F1=0.6753
2025-04-16 22:01:18,130 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=1.5, P=0.7027, R=0.6500, F1=0.6753
2025-04-16 22:01:20,220 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=2.0, P=0.7222, R=0.6500, F1=0.6842
2025-04-16 22:01:20,221 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=2.5, P=0.7143, R=0.6250, F1=0.6667
2025-04-16 22:01:20,232 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=3.0, P=0.6970, R=0.5750, F1=0.6301
2025-04-16 22:01:20,233 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=3.5, P=0.6875, R=0.5500, F1=0.6111
2025-04-16 22:01:20,233 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=4.0, P=0.6774, R=0.5250, F1=0.5915
2025-04-16 22:01:20,233 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=4.5, P=0.7000, R=0.5250, F1=0.6000
2025-04-16 22:01:20,248 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=5.0, P=0.7037, R=0.4750, F1=0.5672
