2025-05-07 10:41:16,049 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['value_times_range'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_topk', visual_dir='./visual/omi/neighbor_topk', num_workers=36, gif_duration=500)
2025-05-07 10:41:16,050 - INFO - 当前评分模式: ['value_times_range']
2025-05-07 10:41:16,050 - INFO - 
==================================================
2025-05-07 10:41:16,050 - INFO - 开始执行网格搜索...
2025-05-07 10:41:16,051 - INFO - [omi-12] Starting grid search...
2025-05-07 10:41:18,924 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=0.0, P=0.6750, R=0.6750, F1=0.6750
2025-05-07 10:41:18,926 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=0.5, P=0.7222, R=0.6500, F1=0.6842
2025-05-07 10:41:18,926 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=1.0, P=0.8077, R=0.5250, F1=0.6364
2025-05-07 10:41:18,926 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=1.5, P=0.8696, R=0.5000, F1=0.6349
2025-05-07 10:41:18,926 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=2.0, P=0.8947, R=0.4250, F1=0.5763
2025-05-07 10:41:18,926 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=2.5, P=0.8947, R=0.4250, F1=0.5763
2025-05-07 10:41:18,926 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=3.0, P=0.8947, R=0.4250, F1=0.5763
2025-05-07 10:41:19,274 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=3.5, P=0.8947, R=0.4250, F1=0.5763
2025-05-07 10:41:19,606 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=4.0, P=0.8947, R=0.4250, F1=0.5763
2025-05-07 10:41:20,677 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=4.5, P=0.8889, R=0.4000, F1=0.5517
2025-05-07 10:41:20,679 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=5.0, P=0.8750, R=0.3500, F1=0.5000
2025-05-07 10:41:20,679 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=5.5, P=0.8571, R=0.3000, F1=0.4444
2025-05-07 10:41:20,679 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=6.0, P=0.8571, R=0.3000, F1=0.4444
2025-05-07 10:41:20,978 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=6.5, P=0.8571, R=0.3000, F1=0.4444
2025-05-07 10:41:21,074 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=7.0, P=0.8462, R=0.2750, F1=0.4151
2025-05-07 10:41:21,075 - INFO - [omi-12.txt] mode=value_times_range, topk=2, threshold=0.0, P=0.6383, R=0.7500, F1=0.6897
2025-05-07 10:41:21,075 - INFO - [omi-12.txt] mode=value_times_range, topk=2, threshold=0.5, P=0.6829, R=0.7000, F1=0.6914
2025-05-07 10:41:21,076 - INFO - [omi-12.txt] mode=value_times_range, topk=2, threshold=1.0, P=0.7353, R=0.6250, F1=0.6757
2025-05-07 10:41:21,076 - INFO - [omi-12.txt] mode=value_times_range, topk=2, threshold=1.5, P=0.8333, R=0.6250, F1=0.7143
2025-05-07 10:41:21,113 - INFO - [omi-12.txt] mode=value_times_range, topk=2, threshold=2.0, P=0.8621, R=0.6250, F1=0.7246
2025-05-07 10:41:21,126 - INFO - [omi-12.txt] mode=value_times_range, topk=2, threshold=2.5, P=0.8889, R=0.6000, F1=0.7164
2025-05-07 10:41:21,127 - INFO - [omi-12.txt] mode=value_times_range, topk=2, threshold=3.0, P=0.8889, R=0.6000, F1=0.7164
2025-05-07 10:41:21,127 - INFO - [omi-12.txt] mode=value_times_range, topk=2, threshold=3.5, P=0.9200, R=0.5750, F1=0.7077
2025-05-07 10:41:21,127 - INFO - [omi-12.txt] mode=value_times_range, topk=2, threshold=4.0, P=0.9200, R=0.5750, F1=0.7077
2025-05-07 10:41:21,135 - INFO - [omi-12.txt] mode=value_times_range, topk=2, threshold=4.5, P=0.9167, R=0.5500, F1=0.6875
2025-05-07 10:41:21,135 - INFO - [omi-12.txt] mode=value_times_range, topk=2, threshold=5.0, P=0.9130, R=0.5250, F1=0.6667
2025-05-07 10:41:21,136 - INFO - [omi-12.txt] mode=value_times_range, topk=2, threshold=5.5, P=0.9048, R=0.4750, F1=0.6230
2025-05-07 10:41:21,136 - INFO - [omi-12.txt] mode=value_times_range, topk=2, threshold=6.0, P=0.9048, R=0.4750, F1=0.6230
2025-05-07 10:41:21,136 - INFO - [omi-12.txt] mode=value_times_range, topk=2, threshold=6.5, P=0.9048, R=0.4750, F1=0.6230
2025-05-07 10:41:21,136 - INFO - [omi-12.txt] mode=value_times_range, topk=2, threshold=7.0, P=0.9048, R=0.4750, F1=0.6230
2025-05-07 10:41:21,136 - INFO - [omi-12.txt] mode=value_times_range, topk=3, threshold=0.0, P=0.5926, R=0.8000, F1=0.6809
2025-05-07 10:41:21,137 - INFO - [omi-12.txt] mode=value_times_range, topk=3, threshold=0.5, P=0.6522, R=0.7500, F1=0.6977
2025-05-07 10:41:21,137 - INFO - [omi-12.txt] mode=value_times_range, topk=3, threshold=1.0, P=0.6744, R=0.7250, F1=0.6988
2025-05-07 10:41:21,137 - INFO - [omi-12.txt] mode=value_times_range, topk=3, threshold=1.5, P=0.7568, R=0.7000, F1=0.7273
2025-05-07 10:41:21,137 - INFO - [omi-12.txt] mode=value_times_range, topk=3, threshold=2.0, P=0.8000, R=0.7000, F1=0.7467
2025-05-07 10:41:21,137 - INFO - [omi-12.txt] mode=value_times_range, topk=3, threshold=2.5, P=0.8000, R=0.7000, F1=0.7467
2025-05-07 10:41:21,137 - INFO - [omi-12.txt] mode=value_times_range, topk=3, threshold=3.0, P=0.8235, R=0.7000, F1=0.7568
2025-05-07 10:41:21,137 - INFO - [omi-12.txt] mode=value_times_range, topk=3, threshold=3.5, P=0.8667, R=0.6500, F1=0.7429
2025-05-07 10:41:21,748 - INFO - [omi-12.txt] mode=value_times_range, topk=3, threshold=4.0, P=0.8667, R=0.6500, F1=0.7429
2025-05-07 10:41:21,750 - INFO - [omi-12.txt] mode=value_times_range, topk=3, threshold=4.5, P=0.9231, R=0.6000, F1=0.7273
2025-05-07 10:41:21,771 - INFO - [omi-12.txt] mode=value_times_range, topk=3, threshold=5.0, P=0.9231, R=0.6000, F1=0.7273
2025-05-07 10:41:21,771 - INFO - [omi-12.txt] mode=value_times_range, topk=3, threshold=5.5, P=0.9167, R=0.5500, F1=0.6875
2025-05-07 10:41:21,771 - INFO - [omi-12.txt] mode=value_times_range, topk=3, threshold=6.0, P=0.9167, R=0.5500, F1=0.6875
2025-05-07 10:41:21,785 - INFO - [omi-12.txt] mode=value_times_range, topk=3, threshold=6.5, P=0.9167, R=0.5500, F1=0.6875
2025-05-07 10:41:21,785 - INFO - [omi-12.txt] mode=value_times_range, topk=3, threshold=7.0, P=0.9167, R=0.5500, F1=0.6875
2025-05-07 10:41:23,393 - INFO - [omi-12.txt] mode=value_times_range, topk=4, threshold=0.0, P=0.5818, R=0.8000, F1=0.6737
2025-05-07 10:41:23,405 - INFO - [omi-12.txt] mode=value_times_range, topk=4, threshold=0.5, P=0.6200, R=0.7750, F1=0.6889
2025-05-07 10:41:23,406 - INFO - [omi-12.txt] mode=value_times_range, topk=4, threshold=1.0, P=0.6596, R=0.7750, F1=0.7126
2025-05-07 10:41:23,406 - INFO - [omi-12.txt] mode=value_times_range, topk=4, threshold=1.5, P=0.7045, R=0.7750, F1=0.7381
2025-05-07 10:41:23,406 - INFO - [omi-12.txt] mode=value_times_range, topk=4, threshold=2.0, P=0.7561, R=0.7750, F1=0.7654
2025-05-07 10:41:23,406 - INFO - [omi-12.txt] mode=value_times_range, topk=4, threshold=2.5, P=0.7561, R=0.7750, F1=0.7654
2025-05-07 10:41:23,406 - INFO - [omi-12.txt] mode=value_times_range, topk=4, threshold=3.0, P=0.7750, R=0.7750, F1=0.7750
2025-05-07 10:41:23,406 - INFO - [omi-12.txt] mode=value_times_range, topk=4, threshold=3.5, P=0.7838, R=0.7250, F1=0.7532
2025-05-07 10:41:23,407 - INFO - [omi-12.txt] mode=value_times_range, topk=4, threshold=4.0, P=0.7838, R=0.7250, F1=0.7532
2025-05-07 10:41:23,407 - INFO - [omi-12.txt] mode=value_times_range, topk=4, threshold=4.5, P=0.7778, R=0.7000, F1=0.7368
2025-05-07 10:41:23,407 - INFO - [omi-12.txt] mode=value_times_range, topk=4, threshold=5.0, P=0.7879, R=0.6500, F1=0.7123
2025-05-07 10:41:23,407 - INFO - [omi-12.txt] mode=value_times_range, topk=4, threshold=5.5, P=0.8000, R=0.6000, F1=0.6857
2025-05-07 10:41:23,407 - INFO - [omi-12.txt] mode=value_times_range, topk=4, threshold=6.0, P=0.8571, R=0.6000, F1=0.7059
2025-05-07 10:41:23,407 - INFO - [omi-12.txt] mode=value_times_range, topk=4, threshold=6.5, P=0.8571, R=0.6000, F1=0.7059
2025-05-07 10:41:23,407 - INFO - [omi-12.txt] mode=value_times_range, topk=4, threshold=7.0, P=0.8571, R=0.6000, F1=0.7059
2025-05-07 10:41:23,407 - INFO - [omi-12.txt] mode=value_times_range, topk=5, threshold=0.0, P=0.6034, R=0.8750, F1=0.7143
2025-05-07 10:41:23,407 - INFO - [omi-12.txt] mode=value_times_range, topk=5, threshold=0.5, P=0.6296, R=0.8500, F1=0.7234
2025-05-07 10:41:23,572 - INFO - [omi-12.txt] mode=value_times_range, topk=5, threshold=1.0, P=0.6538, R=0.8500, F1=0.7391
2025-05-07 10:41:23,573 - INFO - [omi-12.txt] mode=value_times_range, topk=5, threshold=1.5, P=0.7083, R=0.8500, F1=0.7727
2025-05-07 10:41:23,574 - INFO - [omi-12.txt] mode=value_times_range, topk=5, threshold=2.0, P=0.7391, R=0.8500, F1=0.7907
2025-05-07 10:41:23,856 - INFO - [omi-12.txt] mode=value_times_range, topk=5, threshold=2.5, P=0.7556, R=0.8500, F1=0.8000
2025-05-07 10:41:25,336 - INFO - [omi-12.txt] mode=value_times_range, topk=5, threshold=3.0, P=0.7727, R=0.8500, F1=0.8095
2025-05-07 10:41:25,338 - INFO - [omi-12.txt] mode=value_times_range, topk=5, threshold=3.5, P=0.7727, R=0.8500, F1=0.8095
2025-05-07 10:41:25,338 - INFO - [omi-12.txt] mode=value_times_range, topk=5, threshold=4.0, P=0.7727, R=0.8500, F1=0.8095
2025-05-07 10:41:25,339 - INFO - [omi-12.txt] mode=value_times_range, topk=5, threshold=4.5, P=0.7674, R=0.8250, F1=0.7952
2025-05-07 10:41:25,339 - INFO - [omi-12.txt] mode=value_times_range, topk=5, threshold=5.0, P=0.7805, R=0.8000, F1=0.7901
2025-05-07 10:41:25,339 - INFO - [omi-12.txt] mode=value_times_range, topk=5, threshold=5.5, P=0.7692, R=0.7500, F1=0.7595
2025-05-07 10:41:25,339 - INFO - [omi-12.txt] mode=value_times_range, topk=5, threshold=6.0, P=0.7838, R=0.7250, F1=0.7532
2025-05-07 10:41:25,339 - INFO - [omi-12.txt] mode=value_times_range, topk=5, threshold=6.5, P=0.7778, R=0.7000, F1=0.7368
2025-05-07 10:41:25,518 - INFO - [omi-12.txt] mode=value_times_range, topk=5, threshold=7.0, P=0.7714, R=0.6750, F1=0.7200
2025-05-07 10:41:25,519 - INFO - [omi-12.txt] mode=value_times_range, topk=6, threshold=0.0, P=0.6102, R=0.9000, F1=0.7273
2025-05-07 10:41:25,519 - INFO - [omi-12.txt] mode=value_times_range, topk=6, threshold=0.5, P=0.6250, R=0.8750, F1=0.7292
2025-05-07 10:41:25,519 - INFO - [omi-12.txt] mode=value_times_range, topk=6, threshold=1.0, P=0.6481, R=0.8750, F1=0.7447
2025-05-07 10:41:25,519 - INFO - [omi-12.txt] mode=value_times_range, topk=6, threshold=1.5, P=0.6731, R=0.8750, F1=0.7609
2025-05-07 10:41:25,520 - INFO - [omi-12.txt] mode=value_times_range, topk=6, threshold=2.0, P=0.6863, R=0.8750, F1=0.7692
2025-05-07 10:41:25,521 - INFO - [omi-12.txt] mode=value_times_range, topk=6, threshold=2.5, P=0.7000, R=0.8750, F1=0.7778
2025-05-07 10:41:25,521 - INFO - [omi-12.txt] mode=value_times_range, topk=6, threshold=3.0, P=0.7000, R=0.8750, F1=0.7778
2025-05-07 10:41:25,521 - INFO - [omi-12.txt] mode=value_times_range, topk=6, threshold=3.5, P=0.7000, R=0.8750, F1=0.7778
2025-05-07 10:41:25,521 - INFO - [omi-12.txt] mode=value_times_range, topk=6, threshold=4.0, P=0.7000, R=0.8750, F1=0.7778
2025-05-07 10:41:25,521 - INFO - [omi-12.txt] mode=value_times_range, topk=6, threshold=4.5, P=0.7000, R=0.8750, F1=0.7778
2025-05-07 10:41:25,521 - INFO - [omi-12.txt] mode=value_times_range, topk=6, threshold=5.0, P=0.7292, R=0.8750, F1=0.7955
2025-05-07 10:41:25,522 - INFO - [omi-12.txt] mode=value_times_range, topk=6, threshold=5.5, P=0.7556, R=0.8500, F1=0.8000
2025-05-07 10:41:25,522 - INFO - [omi-12.txt] mode=value_times_range, topk=6, threshold=6.0, P=0.7442, R=0.8000, F1=0.7711
2025-05-07 10:41:25,522 - INFO - [omi-12.txt] mode=value_times_range, topk=6, threshold=6.5, P=0.7442, R=0.8000, F1=0.7711
2025-05-07 10:41:25,522 - INFO - [omi-12.txt] mode=value_times_range, topk=6, threshold=7.0, P=0.7381, R=0.7750, F1=0.7561
2025-05-07 10:41:25,650 - INFO - [omi-12.txt] mode=value_times_range, topk=7, threshold=0.0, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 10:41:25,651 - INFO - [omi-12.txt] mode=value_times_range, topk=7, threshold=0.5, P=0.6316, R=0.9000, F1=0.7423
2025-05-07 10:41:25,651 - INFO - [omi-12.txt] mode=value_times_range, topk=7, threshold=1.0, P=0.6545, R=0.9000, F1=0.7579
2025-05-07 10:41:25,752 - INFO - [omi-12.txt] mode=value_times_range, topk=7, threshold=1.5, P=0.6667, R=0.9000, F1=0.7660
2025-05-07 10:41:25,854 - INFO - [omi-12.txt] mode=value_times_range, topk=7, threshold=2.0, P=0.6923, R=0.9000, F1=0.7826
2025-05-07 10:41:25,919 - INFO - [omi-12.txt] mode=value_times_range, topk=7, threshold=2.5, P=0.6923, R=0.9000, F1=0.7826
2025-05-07 10:41:26,078 - INFO - [omi-12.txt] mode=value_times_range, topk=7, threshold=3.0, P=0.6923, R=0.9000, F1=0.7826
2025-05-07 10:41:26,080 - INFO - [omi-12.txt] mode=value_times_range, topk=7, threshold=3.5, P=0.6923, R=0.9000, F1=0.7826
2025-05-07 10:41:26,160 - INFO - [omi-12.txt] mode=value_times_range, topk=7, threshold=4.0, P=0.6923, R=0.9000, F1=0.7826
2025-05-07 10:41:26,160 - INFO - [omi-12.txt] mode=value_times_range, topk=7, threshold=4.5, P=0.6923, R=0.9000, F1=0.7826
