2025-04-15 23:30:32,112 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['deviation'], use_topk=False, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkFalse', visual_dir='./visual/use_topkFalse', num_workers=4, gif_duration=500)
2025-04-15 23:30:32,112 - INFO - pearson correlation 取绝对值
2025-04-15 23:30:32,112 - INFO - 当前评分模式: ['deviation']
2025-04-15 23:30:32,112 - INFO - 
==================================================
2025-04-15 23:30:32,112 - INFO - 开始执行网格搜索...
2025-04-15 23:30:32,118 - INFO - [omi-1] Starting grid search...
2025-04-15 23:30:35,365 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=1.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:30:35,429 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=1.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:30:35,429 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=2.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:30:35,511 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=2.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:30:37,543 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=3.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:30:37,584 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=3.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:30:37,587 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=4.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:30:37,688 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=4.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:30:39,683 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=5.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:30:39,767 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=5.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:30:39,794 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=6.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
