2025-04-15 23:33:02,581 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['mean_ratio'], use_topk=False, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkFalse', visual_dir='./visual/use_topkFalse', num_workers=4, gif_duration=500)
2025-04-15 23:33:02,582 - INFO - pearson correlation 取绝对值
2025-04-15 23:33:02,582 - INFO - 当前评分模式: ['mean_ratio']
2025-04-15 23:33:02,582 - INFO - 
==================================================
2025-04-15 23:33:02,582 - INFO - 开始执行网格搜索...
2025-04-15 23:33:02,588 - INFO - [omi-1] Starting grid search...
2025-04-15 23:33:05,929 - INFO - [omi-1.txt] mode=mean_ratio, top_k=None, threshold=1.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:33:05,930 - INFO - [omi-1.txt] mode=mean_ratio, top_k=None, threshold=1.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:33:05,931 - INFO - [omi-1.txt] mode=mean_ratio, top_k=None, threshold=2.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:33:06,015 - INFO - [omi-1.txt] mode=mean_ratio, top_k=None, threshold=2.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:33:08,017 - INFO - [omi-1.txt] mode=mean_ratio, top_k=None, threshold=3.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:33:08,027 - INFO - [omi-1.txt] mode=mean_ratio, top_k=None, threshold=3.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:33:08,099 - INFO - [omi-1.txt] mode=mean_ratio, top_k=None, threshold=4.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:33:08,207 - INFO - [omi-1.txt] mode=mean_ratio, top_k=None, threshold=4.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:33:10,158 - INFO - [omi-1.txt] mode=mean_ratio, top_k=None, threshold=5.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:33:10,158 - INFO - [omi-1.txt] mode=mean_ratio, top_k=None, threshold=5.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:33:10,217 - INFO - [omi-1.txt] mode=mean_ratio, top_k=None, threshold=6.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:33:10,400 - INFO - [omi-1.txt] mode=mean_ratio, top_k=None, threshold=6.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:33:12,159 - INFO - [omi-1.txt] mode=mean_ratio, top_k=None, threshold=7.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:33:12,176 - INFO - [omi-10] Starting grid search...
2025-04-15 23:33:15,586 - INFO - [omi-10.txt] mode=mean_ratio, top_k=None, threshold=1.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:33:15,691 - INFO - [omi-10.txt] mode=mean_ratio, top_k=None, threshold=1.5, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:33:15,692 - INFO - [omi-10.txt] mode=mean_ratio, top_k=None, threshold=2.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
