2025-04-15 23:40:29,983 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['robust_zscore'], use_topk=False, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkFalse', visual_dir='./visual/use_topkFalse', num_workers=4, gif_duration=500)
2025-04-15 23:40:29,983 - INFO - pearson correlation 取绝对值
2025-04-15 23:40:29,983 - INFO - 当前评分模式: ['robust_zscore']
2025-04-15 23:40:29,983 - INFO - 
==================================================
2025-04-15 23:40:29,983 - INFO - 开始执行网格搜索...
2025-04-15 23:40:29,986 - INFO - [omi-1] Starting grid search...
2025-04-15 23:40:33,250 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=1.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:40:33,257 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=1.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:40:33,319 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=2.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:40:33,320 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=2.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:40:35,459 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=3.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:40:35,459 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=3.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:40:35,459 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=4.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:40:35,521 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=4.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:40:37,486 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=5.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:40:37,577 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=5.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:40:37,643 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=6.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:40:37,658 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=6.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:40:39,478 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=7.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:40:39,494 - INFO - [omi-10] Starting grid search...
2025-04-15 23:40:42,858 - INFO - [omi-10.txt] mode=robust_zscore, top_k=None, threshold=1.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:40:42,860 - INFO - [omi-10.txt] mode=robust_zscore, top_k=None, threshold=1.5, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
