2025-04-15 23:28:03,236 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['strict_deviation'], use_topk=False, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkFalse', visual_dir='./visual/use_topkFalse', num_workers=4, gif_duration=500)
2025-04-15 23:28:03,236 - INFO - pearson correlation 取绝对值
2025-04-15 23:28:03,236 - INFO - 当前评分模式: ['strict_deviation']
2025-04-15 23:28:03,236 - INFO - 
==================================================
2025-04-15 23:28:03,236 - INFO - 开始执行网格搜索...
2025-04-15 23:28:03,240 - INFO - [omi-1] Starting grid search...
2025-04-15 23:28:06,575 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=1.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:28:06,575 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=1.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:28:06,576 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=2.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:28:06,598 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=2.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:28:08,628 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=3.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:28:08,702 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=3.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:28:08,736 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=4.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:28:08,771 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=4.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:28:10,744 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=5.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:28:10,813 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=5.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:28:10,837 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=6.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:28:10,966 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=6.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:28:12,755 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=7.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:28:12,774 - INFO - [omi-10] Starting grid search...
2025-04-15 23:28:16,197 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=1.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:28:16,233 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=1.5, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:28:16,246 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=2.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:28:16,330 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=2.5, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:28:18,414 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=3.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:28:18,512 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=3.5, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:28:18,525 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=4.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:28:18,566 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=4.5, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:28:20,633 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=5.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:28:20,707 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=5.5, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:28:20,715 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=6.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:28:20,766 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=6.5, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:28:22,713 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=7.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:28:22,729 - INFO - [omi-11] Starting grid search...
2025-04-15 23:28:26,067 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=1.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:28:26,068 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=1.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:28:26,068 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=2.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:28:26,068 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=2.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:28:28,289 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=3.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:28:28,307 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=3.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:28:28,318 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=4.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:28:28,318 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=4.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:28:30,434 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=5.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:28:30,459 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=5.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:28:30,460 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=6.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:28:30,460 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=6.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:28:32,390 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=7.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:28:32,409 - INFO - [omi-12] Starting grid search...
2025-04-15 23:28:35,097 - INFO - [omi-12.txt] mode=strict_deviation, top_k=None, threshold=1.0, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:28:35,162 - INFO - [omi-12.txt] mode=strict_deviation, top_k=None, threshold=1.5, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:28:35,190 - INFO - [omi-12.txt] mode=strict_deviation, top_k=None, threshold=2.0, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:28:35,242 - INFO - [omi-12.txt] mode=strict_deviation, top_k=None, threshold=2.5, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:28:36,820 - INFO - [omi-12.txt] mode=strict_deviation, top_k=None, threshold=3.0, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:28:36,820 - INFO - [omi-12.txt] mode=strict_deviation, top_k=None, threshold=3.5, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:28:36,855 - INFO - [omi-12.txt] mode=strict_deviation, top_k=None, threshold=4.0, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:28:36,926 - INFO - [omi-12.txt] mode=strict_deviation, top_k=None, threshold=4.5, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:28:38,501 - INFO - [omi-12.txt] mode=strict_deviation, top_k=None, threshold=5.0, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:28:38,534 - INFO - [omi-12.txt] mode=strict_deviation, top_k=None, threshold=5.5, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:28:38,534 - INFO - [omi-12.txt] mode=strict_deviation, top_k=None, threshold=6.0, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:28:38,565 - INFO - [omi-12.txt] mode=strict_deviation, top_k=None, threshold=6.5, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:28:39,954 - INFO - [omi-12.txt] mode=strict_deviation, top_k=None, threshold=7.0, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:28:39,972 - INFO - [omi-2] Starting grid search...
2025-04-15 23:28:43,197 - INFO - [omi-2.txt] mode=strict_deviation, top_k=None, threshold=1.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:28:43,197 - INFO - [omi-2.txt] mode=strict_deviation, top_k=None, threshold=1.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:28:43,205 - INFO - [omi-2.txt] mode=strict_deviation, top_k=None, threshold=2.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:28:43,205 - INFO - [omi-2.txt] mode=strict_deviation, top_k=None, threshold=2.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:28:45,112 - INFO - [omi-2.txt] mode=strict_deviation, top_k=None, threshold=3.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:28:45,301 - INFO - [omi-2.txt] mode=strict_deviation, top_k=None, threshold=3.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:28:45,324 - INFO - [omi-2.txt] mode=strict_deviation, top_k=None, threshold=4.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:28:45,326 - INFO - [omi-2.txt] mode=strict_deviation, top_k=None, threshold=4.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:28:47,159 - INFO - [omi-2.txt] mode=strict_deviation, top_k=None, threshold=5.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:28:47,269 - INFO - [omi-2.txt] mode=strict_deviation, top_k=None, threshold=5.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:28:47,357 - INFO - [omi-2.txt] mode=strict_deviation, top_k=None, threshold=6.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:28:47,389 - INFO - [omi-2.txt] mode=strict_deviation, top_k=None, threshold=6.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:28:49,035 - INFO - [omi-2.txt] mode=strict_deviation, top_k=None, threshold=7.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:28:49,052 - INFO - [omi-3] Starting grid search...
2025-04-15 23:28:52,265 - INFO - [omi-3.txt] mode=strict_deviation, top_k=None, threshold=1.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:28:52,266 - INFO - [omi-3.txt] mode=strict_deviation, top_k=None, threshold=1.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:28:52,385 - INFO - [omi-3.txt] mode=strict_deviation, top_k=None, threshold=2.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:28:52,386 - INFO - [omi-3.txt] mode=strict_deviation, top_k=None, threshold=2.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:28:54,312 - INFO - [omi-3.txt] mode=strict_deviation, top_k=None, threshold=3.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:28:54,380 - INFO - [omi-3.txt] mode=strict_deviation, top_k=None, threshold=3.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:28:54,410 - INFO - [omi-3.txt] mode=strict_deviation, top_k=None, threshold=4.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:28:54,494 - INFO - [omi-3.txt] mode=strict_deviation, top_k=None, threshold=4.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:28:56,360 - INFO - [omi-3.txt] mode=strict_deviation, top_k=None, threshold=5.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:28:56,467 - INFO - [omi-3.txt] mode=strict_deviation, top_k=None, threshold=5.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:28:56,549 - INFO - [omi-3.txt] mode=strict_deviation, top_k=None, threshold=6.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:28:56,649 - INFO - [omi-3.txt] mode=strict_deviation, top_k=None, threshold=6.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:28:58,279 - INFO - [omi-3.txt] mode=strict_deviation, top_k=None, threshold=7.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:28:58,294 - INFO - [omi-4] Starting grid search...
2025-04-15 23:29:01,540 - INFO - [omi-4.txt] mode=strict_deviation, top_k=None, threshold=1.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:29:01,612 - INFO - [omi-4.txt] mode=strict_deviation, top_k=None, threshold=1.5, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:29:01,612 - INFO - [omi-4.txt] mode=strict_deviation, top_k=None, threshold=2.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:29:01,612 - INFO - [omi-4.txt] mode=strict_deviation, top_k=None, threshold=2.5, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:29:03,681 - INFO - [omi-4.txt] mode=strict_deviation, top_k=None, threshold=3.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:29:03,683 - INFO - [omi-4.txt] mode=strict_deviation, top_k=None, threshold=3.5, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:29:03,724 - INFO - [omi-4.txt] mode=strict_deviation, top_k=None, threshold=4.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:29:03,753 - INFO - [omi-4.txt] mode=strict_deviation, top_k=None, threshold=4.5, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:29:05,767 - INFO - [omi-4.txt] mode=strict_deviation, top_k=None, threshold=5.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:29:05,833 - INFO - [omi-4.txt] mode=strict_deviation, top_k=None, threshold=5.5, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:29:05,864 - INFO - [omi-4.txt] mode=strict_deviation, top_k=None, threshold=6.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:29:05,864 - INFO - [omi-4.txt] mode=strict_deviation, top_k=None, threshold=6.5, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:29:07,713 - INFO - [omi-4.txt] mode=strict_deviation, top_k=None, threshold=7.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:29:07,730 - INFO - [omi-5] Starting grid search...
2025-04-15 23:29:10,940 - INFO - [omi-5.txt] mode=strict_deviation, top_k=None, threshold=1.0, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
2025-04-15 23:29:11,019 - INFO - [omi-5.txt] mode=strict_deviation, top_k=None, threshold=1.5, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
2025-04-15 23:29:11,085 - INFO - [omi-5.txt] mode=strict_deviation, top_k=None, threshold=2.0, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
2025-04-15 23:29:11,085 - INFO - [omi-5.txt] mode=strict_deviation, top_k=None, threshold=2.5, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
2025-04-15 23:29:13,142 - INFO - [omi-5.txt] mode=strict_deviation, top_k=None, threshold=3.0, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
2025-04-15 23:29:13,143 - INFO - [omi-5.txt] mode=strict_deviation, top_k=None, threshold=3.5, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
2025-04-15 23:29:13,147 - INFO - [omi-5.txt] mode=strict_deviation, top_k=None, threshold=4.0, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
2025-04-15 23:29:13,262 - INFO - [omi-5.txt] mode=strict_deviation, top_k=None, threshold=4.5, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
2025-04-15 23:29:15,281 - INFO - [omi-5.txt] mode=strict_deviation, top_k=None, threshold=5.0, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
2025-04-15 23:29:15,281 - INFO - [omi-5.txt] mode=strict_deviation, top_k=None, threshold=5.5, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
2025-04-15 23:29:15,298 - INFO - [omi-5.txt] mode=strict_deviation, top_k=None, threshold=6.0, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
2025-04-15 23:29:15,433 - INFO - [omi-5.txt] mode=strict_deviation, top_k=None, threshold=6.5, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
2025-04-15 23:29:17,234 - INFO - [omi-5.txt] mode=strict_deviation, top_k=None, threshold=7.0, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
2025-04-15 23:29:17,251 - INFO - [omi-6] Starting grid search...
2025-04-15 23:29:20,447 - INFO - [omi-6.txt] mode=strict_deviation, top_k=None, threshold=1.0, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:29:20,524 - INFO - [omi-6.txt] mode=strict_deviation, top_k=None, threshold=1.5, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:29:20,524 - INFO - [omi-6.txt] mode=strict_deviation, top_k=None, threshold=2.0, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:29:20,585 - INFO - [omi-6.txt] mode=strict_deviation, top_k=None, threshold=2.5, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:29:22,539 - INFO - [omi-6.txt] mode=strict_deviation, top_k=None, threshold=3.0, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:29:22,647 - INFO - [omi-6.txt] mode=strict_deviation, top_k=None, threshold=3.5, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:29:22,648 - INFO - [omi-6.txt] mode=strict_deviation, top_k=None, threshold=4.0, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:29:22,725 - INFO - [omi-6.txt] mode=strict_deviation, top_k=None, threshold=4.5, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:29:24,665 - INFO - [omi-6.txt] mode=strict_deviation, top_k=None, threshold=5.0, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:29:24,778 - INFO - [omi-6.txt] mode=strict_deviation, top_k=None, threshold=5.5, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:29:24,782 - INFO - [omi-6.txt] mode=strict_deviation, top_k=None, threshold=6.0, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:29:24,862 - INFO - [omi-6.txt] mode=strict_deviation, top_k=None, threshold=6.5, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:29:26,630 - INFO - [omi-6.txt] mode=strict_deviation, top_k=None, threshold=7.0, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:29:26,648 - INFO - [omi-7] Starting grid search...
2025-04-15 23:29:29,647 - INFO - [omi-7.txt] mode=strict_deviation, top_k=None, threshold=1.0, use_topk=False, P=0.8261, R=0.9744, F1=0.8941
2025-04-15 23:29:29,694 - INFO - [omi-7.txt] mode=strict_deviation, top_k=None, threshold=1.5, use_topk=False, P=0.8261, R=0.9744, F1=0.8941
2025-04-15 23:29:29,705 - INFO - [omi-7.txt] mode=strict_deviation, top_k=None, threshold=2.0, use_topk=False, P=0.8261, R=0.9744, F1=0.8941
2025-04-15 23:29:29,831 - INFO - [omi-7.txt] mode=strict_deviation, top_k=None, threshold=2.5, use_topk=False, P=0.8261, R=0.9744, F1=0.8941
2025-04-15 23:29:31,671 - INFO - [omi-7.txt] mode=strict_deviation, top_k=None, threshold=3.0, use_topk=False, P=0.8261, R=0.9744, F1=0.8941
2025-04-15 23:29:31,709 - INFO - [omi-7.txt] mode=strict_deviation, top_k=None, threshold=3.5, use_topk=False, P=0.8261, R=0.9744, F1=0.8941
2025-04-15 23:29:31,745 - INFO - [omi-7.txt] mode=strict_deviation, top_k=None, threshold=4.0, use_topk=False, P=0.8261, R=0.9744, F1=0.8941
2025-04-15 23:29:31,810 - INFO - [omi-7.txt] mode=strict_deviation, top_k=None, threshold=4.5, use_topk=False, P=0.8261, R=0.9744, F1=0.8941
2025-04-15 23:29:33,579 - INFO - [omi-7.txt] mode=strict_deviation, top_k=None, threshold=5.0, use_topk=False, P=0.8261, R=0.9744, F1=0.8941
2025-04-15 23:29:33,692 - INFO - [omi-7.txt] mode=strict_deviation, top_k=None, threshold=5.5, use_topk=False, P=0.8261, R=0.9744, F1=0.8941
2025-04-15 23:29:33,692 - INFO - [omi-7.txt] mode=strict_deviation, top_k=None, threshold=6.0, use_topk=False, P=0.8261, R=0.9744, F1=0.8941
2025-04-15 23:29:33,778 - INFO - [omi-7.txt] mode=strict_deviation, top_k=None, threshold=6.5, use_topk=False, P=0.8261, R=0.9744, F1=0.8941
2025-04-15 23:29:35,375 - INFO - [omi-7.txt] mode=strict_deviation, top_k=None, threshold=7.0, use_topk=False, P=0.8444, R=0.9744, F1=0.9048
2025-04-15 23:29:35,391 - INFO - [omi-8] Starting grid search...
2025-04-15 23:29:38,437 - INFO - [omi-8.txt] mode=strict_deviation, top_k=None, threshold=1.0, use_topk=False, P=0.3537, R=0.9355, F1=0.5133
2025-04-15 23:29:38,471 - INFO - [omi-8.txt] mode=strict_deviation, top_k=None, threshold=1.5, use_topk=False, P=0.3537, R=0.9355, F1=0.5133
