2025-04-15 23:38:00,947 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['value_times_range'], use_topk=False, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkFalse', visual_dir='./visual/use_topkFalse', num_workers=4, gif_duration=500)
2025-04-15 23:38:00,947 - INFO - pearson correlation 取绝对值
2025-04-15 23:38:00,947 - INFO - 当前评分模式: ['value_times_range']
2025-04-15 23:38:00,947 - INFO - 
==================================================
2025-04-15 23:38:00,947 - INFO - 开始执行网格搜索...
2025-04-15 23:38:00,949 - INFO - [omi-1] Starting grid search...
2025-04-15 23:38:04,306 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=1.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:38:04,328 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=1.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:38:04,343 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=2.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:38:04,344 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=2.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:38:06,480 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=3.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:38:06,508 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=3.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:38:06,515 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=4.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:38:06,527 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=4.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:38:08,665 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=5.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:38:08,672 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=5.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:38:08,705 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=6.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:38:08,743 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=6.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:38:10,622 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=7.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 23:38:10,640 - INFO - [omi-10] Starting grid search...
2025-04-15 23:38:14,040 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=1.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:38:14,062 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=1.5, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:38:14,062 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=2.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:38:14,066 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=2.5, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:38:16,294 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=3.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:38:16,340 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=3.5, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:38:16,340 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=4.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 23:38:16,390 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=4.5, use_topk=False, P=0.4478, R=0.9836, F1=0.6154
2025-04-15 23:38:18,497 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=5.0, use_topk=False, P=0.4615, R=0.9836, F1=0.6283
2025-04-15 23:38:18,509 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=5.5, use_topk=False, P=0.4646, R=0.9672, F1=0.6277
2025-04-15 23:38:18,585 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=6.0, use_topk=False, P=0.4720, R=0.9672, F1=0.6344
2025-04-15 23:38:18,588 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=6.5, use_topk=False, P=0.4758, R=0.9672, F1=0.6378
2025-04-15 23:38:20,610 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=7.0, use_topk=False, P=0.4797, R=0.9672, F1=0.6413
2025-04-15 23:38:20,628 - INFO - [omi-11] Starting grid search...
2025-04-15 23:38:23,877 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=1.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:38:23,882 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=1.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:38:23,945 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=2.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:38:23,980 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=2.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:38:26,033 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=3.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:38:26,033 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=3.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:38:26,152 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=4.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:38:26,204 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=4.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:38:28,058 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=5.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:38:28,171 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=5.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:38:28,228 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=6.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:38:28,314 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=6.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:38:30,052 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=7.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:38:30,067 - INFO - [omi-12] Starting grid search...
2025-04-15 23:38:32,836 - INFO - [omi-12.txt] mode=value_times_range, top_k=None, threshold=1.0, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:38:32,836 - INFO - [omi-12.txt] mode=value_times_range, top_k=None, threshold=1.5, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:38:32,885 - INFO - [omi-12.txt] mode=value_times_range, top_k=None, threshold=2.0, use_topk=False, P=0.6230, R=0.9500, F1=0.7525
2025-04-15 23:38:32,924 - INFO - [omi-12.txt] mode=value_times_range, top_k=None, threshold=2.5, use_topk=False, P=0.6230, R=0.9500, F1=0.7525
2025-04-15 23:38:34,460 - INFO - [omi-12.txt] mode=value_times_range, top_k=None, threshold=3.0, use_topk=False, P=0.6552, R=0.9500, F1=0.7755
2025-04-15 23:38:34,467 - INFO - [omi-12.txt] mode=value_times_range, top_k=None, threshold=3.5, use_topk=False, P=0.6552, R=0.9500, F1=0.7755
2025-04-15 23:38:34,562 - INFO - [omi-12.txt] mode=value_times_range, top_k=None, threshold=4.0, use_topk=False, P=0.6552, R=0.9500, F1=0.7755
2025-04-15 23:38:34,564 - INFO - [omi-12.txt] mode=value_times_range, top_k=None, threshold=4.5, use_topk=False, P=0.6552, R=0.9500, F1=0.7755
2025-04-15 23:38:36,117 - INFO - [omi-12.txt] mode=value_times_range, top_k=None, threshold=5.0, use_topk=False, P=0.6552, R=0.9500, F1=0.7755
2025-04-15 23:38:36,117 - INFO - [omi-12.txt] mode=value_times_range, top_k=None, threshold=5.5, use_topk=False, P=0.6552, R=0.9500, F1=0.7755
2025-04-15 23:38:36,253 - INFO - [omi-12.txt] mode=value_times_range, top_k=None, threshold=6.0, use_topk=False, P=0.6552, R=0.9500, F1=0.7755
2025-04-15 23:38:36,253 - INFO - [omi-12.txt] mode=value_times_range, top_k=None, threshold=6.5, use_topk=False, P=0.6552, R=0.9500, F1=0.7755
2025-04-15 23:38:37,566 - INFO - [omi-12.txt] mode=value_times_range, top_k=None, threshold=7.0, use_topk=False, P=0.6552, R=0.9500, F1=0.7755
2025-04-15 23:38:37,582 - INFO - [omi-2] Starting grid search...
2025-04-15 23:38:40,722 - INFO - [omi-2.txt] mode=value_times_range, top_k=None, threshold=1.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:38:40,766 - INFO - [omi-2.txt] mode=value_times_range, top_k=None, threshold=1.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:38:40,828 - INFO - [omi-2.txt] mode=value_times_range, top_k=None, threshold=2.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:38:40,829 - INFO - [omi-2.txt] mode=value_times_range, top_k=None, threshold=2.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:38:42,764 - INFO - [omi-2.txt] mode=value_times_range, top_k=None, threshold=3.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:38:42,765 - INFO - [omi-2.txt] mode=value_times_range, top_k=None, threshold=3.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:38:42,812 - INFO - [omi-2.txt] mode=value_times_range, top_k=None, threshold=4.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:38:42,832 - INFO - [omi-2.txt] mode=value_times_range, top_k=None, threshold=4.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:38:44,705 - INFO - [omi-2.txt] mode=value_times_range, top_k=None, threshold=5.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:38:44,793 - INFO - [omi-2.txt] mode=value_times_range, top_k=None, threshold=5.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:38:44,869 - INFO - [omi-2.txt] mode=value_times_range, top_k=None, threshold=6.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:38:44,869 - INFO - [omi-2.txt] mode=value_times_range, top_k=None, threshold=6.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:38:46,557 - INFO - [omi-2.txt] mode=value_times_range, top_k=None, threshold=7.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:38:46,577 - INFO - [omi-3] Starting grid search...
2025-04-15 23:38:49,852 - INFO - [omi-3.txt] mode=value_times_range, top_k=None, threshold=1.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:38:49,854 - INFO - [omi-3.txt] mode=value_times_range, top_k=None, threshold=1.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:38:49,854 - INFO - [omi-3.txt] mode=value_times_range, top_k=None, threshold=2.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:38:49,854 - INFO - [omi-3.txt] mode=value_times_range, top_k=None, threshold=2.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:38:51,862 - INFO - [omi-3.txt] mode=value_times_range, top_k=None, threshold=3.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:38:51,919 - INFO - [omi-3.txt] mode=value_times_range, top_k=None, threshold=3.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 23:38:52,002 - INFO - [omi-3.txt] mode=value_times_range, top_k=None, threshold=4.0, use_topk=False, P=0.7831, R=0.8333, F1=0.8075
2025-04-15 23:38:52,003 - INFO - [omi-3.txt] mode=value_times_range, top_k=None, threshold=4.5, use_topk=False, P=0.7831, R=0.8333, F1=0.8075
2025-04-15 23:38:53,931 - INFO - [omi-3.txt] mode=value_times_range, top_k=None, threshold=5.0, use_topk=False, P=0.7901, R=0.8205, F1=0.8050
2025-04-15 23:38:54,037 - INFO - [omi-3.txt] mode=value_times_range, top_k=None, threshold=5.5, use_topk=False, P=0.7901, R=0.8205, F1=0.8050
2025-04-15 23:38:54,037 - INFO - [omi-3.txt] mode=value_times_range, top_k=None, threshold=6.0, use_topk=False, P=0.7901, R=0.8205, F1=0.8050
2025-04-15 23:38:54,081 - INFO - [omi-3.txt] mode=value_times_range, top_k=None, threshold=6.5, use_topk=False, P=0.7901, R=0.8205, F1=0.8050
2025-04-15 23:38:55,868 - INFO - [omi-3.txt] mode=value_times_range, top_k=None, threshold=7.0, use_topk=False, P=0.8000, R=0.8205, F1=0.8101
2025-04-15 23:38:55,883 - INFO - [omi-4] Starting grid search...
2025-04-15 23:38:59,150 - INFO - [omi-4.txt] mode=value_times_range, top_k=None, threshold=1.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:38:59,152 - INFO - [omi-4.txt] mode=value_times_range, top_k=None, threshold=1.5, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:38:59,161 - INFO - [omi-4.txt] mode=value_times_range, top_k=None, threshold=2.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 23:38:59,190 - INFO - [omi-4.txt] mode=value_times_range, top_k=None, threshold=2.5, use_topk=False, P=0.8049, R=0.9851, F1=0.8859
2025-04-15 23:39:01,217 - INFO - [omi-4.txt] mode=value_times_range, top_k=None, threshold=3.0, use_topk=False, P=0.8049, R=0.9851, F1=0.8859
2025-04-15 23:39:01,218 - INFO - [omi-4.txt] mode=value_times_range, top_k=None, threshold=3.5, use_topk=False, P=0.8049, R=0.9851, F1=0.8859
2025-04-15 23:39:01,294 - INFO - [omi-4.txt] mode=value_times_range, top_k=None, threshold=4.0, use_topk=False, P=0.8049, R=0.9851, F1=0.8859
2025-04-15 23:39:01,295 - INFO - [omi-4.txt] mode=value_times_range, top_k=None, threshold=4.5, use_topk=False, P=0.8049, R=0.9851, F1=0.8859
2025-04-15 23:39:03,250 - INFO - [omi-4.txt] mode=value_times_range, top_k=None, threshold=5.0, use_topk=False, P=0.8049, R=0.9851, F1=0.8859
2025-04-15 23:39:03,360 - INFO - [omi-4.txt] mode=value_times_range, top_k=None, threshold=5.5, use_topk=False, P=0.8049, R=0.9851, F1=0.8859
2025-04-15 23:39:03,360 - INFO - [omi-4.txt] mode=value_times_range, top_k=None, threshold=6.0, use_topk=False, P=0.8049, R=0.9851, F1=0.8859
2025-04-15 23:39:03,448 - INFO - [omi-4.txt] mode=value_times_range, top_k=None, threshold=6.5, use_topk=False, P=0.8148, R=0.9851, F1=0.8919
2025-04-15 23:39:05,174 - INFO - [omi-4.txt] mode=value_times_range, top_k=None, threshold=7.0, use_topk=False, P=0.8148, R=0.9851, F1=0.8919
2025-04-15 23:39:05,189 - INFO - [omi-5] Starting grid search...
2025-04-15 23:39:08,503 - INFO - [omi-5.txt] mode=value_times_range, top_k=None, threshold=1.0, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
2025-04-15 23:39:08,557 - INFO - [omi-5.txt] mode=value_times_range, top_k=None, threshold=1.5, use_topk=False, P=0.4579, R=1.0000, F1=0.6282
2025-04-15 23:39:08,599 - INFO - [omi-5.txt] mode=value_times_range, top_k=None, threshold=2.0, use_topk=False, P=0.4579, R=1.0000, F1=0.6282
2025-04-15 23:39:08,599 - INFO - [omi-5.txt] mode=value_times_range, top_k=None, threshold=2.5, use_topk=False, P=0.4579, R=1.0000, F1=0.6282
2025-04-15 23:39:10,677 - INFO - [omi-5.txt] mode=value_times_range, top_k=None, threshold=3.0, use_topk=False, P=0.4571, R=0.9796, F1=0.6234
2025-04-15 23:39:10,710 - INFO - [omi-5.txt] mode=value_times_range, top_k=None, threshold=3.5, use_topk=False, P=0.4571, R=0.9796, F1=0.6234
2025-04-15 23:39:10,723 - INFO - [omi-5.txt] mode=value_times_range, top_k=None, threshold=4.0, use_topk=False, P=0.4571, R=0.9796, F1=0.6234
2025-04-15 23:39:10,730 - INFO - [omi-5.txt] mode=value_times_range, top_k=None, threshold=4.5, use_topk=False, P=0.4571, R=0.9796, F1=0.6234
2025-04-15 23:39:12,892 - INFO - [omi-5.txt] mode=value_times_range, top_k=None, threshold=5.0, use_topk=False, P=0.4706, R=0.9796, F1=0.6358
2025-04-15 23:39:12,912 - INFO - [omi-5.txt] mode=value_times_range, top_k=None, threshold=5.5, use_topk=False, P=0.4845, R=0.9592, F1=0.6438
2025-04-15 23:39:12,926 - INFO - [omi-5.txt] mode=value_times_range, top_k=None, threshold=6.0, use_topk=False, P=0.4842, R=0.9388, F1=0.6389
2025-04-15 23:39:12,945 - INFO - [omi-5.txt] mode=value_times_range, top_k=None, threshold=6.5, use_topk=False, P=0.4842, R=0.9388, F1=0.6389
2025-04-15 23:39:14,902 - INFO - [omi-5.txt] mode=value_times_range, top_k=None, threshold=7.0, use_topk=False, P=0.4787, R=0.9184, F1=0.6294
2025-04-15 23:39:14,917 - INFO - [omi-6] Starting grid search...
2025-04-15 23:39:18,235 - INFO - [omi-6.txt] mode=value_times_range, top_k=None, threshold=1.0, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:39:18,235 - INFO - [omi-6.txt] mode=value_times_range, top_k=None, threshold=1.5, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:39:18,236 - INFO - [omi-6.txt] mode=value_times_range, top_k=None, threshold=2.0, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:39:18,252 - INFO - [omi-6.txt] mode=value_times_range, top_k=None, threshold=2.5, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:39:20,221 - INFO - [omi-6.txt] mode=value_times_range, top_k=None, threshold=3.0, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:39:20,361 - INFO - [omi-6.txt] mode=value_times_range, top_k=None, threshold=3.5, use_topk=False, P=0.2544, R=0.9773, F1=0.4038
2025-04-15 23:39:20,362 - INFO - [omi-6.txt] mode=value_times_range, top_k=None, threshold=4.0, use_topk=False, P=0.2560, R=0.9773, F1=0.4057
2025-04-15 23:39:20,362 - INFO - [omi-6.txt] mode=value_times_range, top_k=None, threshold=4.5, use_topk=False, P=0.2590, R=0.9773, F1=0.4095
2025-04-15 23:39:22,326 - INFO - [omi-6.txt] mode=value_times_range, top_k=None, threshold=5.0, use_topk=False, P=0.2590, R=0.9773, F1=0.4095
2025-04-15 23:39:22,455 - INFO - [omi-6.txt] mode=value_times_range, top_k=None, threshold=5.5, use_topk=False, P=0.2590, R=0.9773, F1=0.4095
2025-04-15 23:39:22,549 - INFO - [omi-6.txt] mode=value_times_range, top_k=None, threshold=6.0, use_topk=False, P=0.2606, R=0.9773, F1=0.4115
2025-04-15 23:39:22,549 - INFO - [omi-6.txt] mode=value_times_range, top_k=None, threshold=6.5, use_topk=False, P=0.2654, R=0.9773, F1=0.4175
2025-04-15 23:39:24,286 - INFO - [omi-6.txt] mode=value_times_range, top_k=None, threshold=7.0, use_topk=False, P=0.2654, R=0.9773, F1=0.4175
2025-04-15 23:39:24,306 - INFO - [omi-7] Starting grid search...
2025-04-15 23:39:27,389 - INFO - [omi-7.txt] mode=value_times_range, top_k=None, threshold=1.0, use_topk=False, P=0.8261, R=0.9744, F1=0.8941
2025-04-15 23:39:27,487 - INFO - [omi-7.txt] mode=value_times_range, top_k=None, threshold=1.5, use_topk=False, P=0.8444, R=0.9744, F1=0.9048
