2025-04-15 22:05:56,306 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['deviation'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkTrue', visual_dir='./visual/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-15 22:05:56,306 - INFO - pearson correlation 取绝对值
2025-04-15 22:05:56,306 - INFO - 当前评分模式: ['deviation']
2025-04-15 22:05:56,306 - INFO - 
==================================================
2025-04-15 22:05:56,306 - INFO - 开始执行网格搜索...
2025-04-15 22:05:56,309 - INFO - [omi-1] Starting grid search...
2025-04-15 22:05:59,366 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=1.0, use_topk=True, P=0.7456, R=0.9551, F1=0.8374
2025-04-15 22:05:59,367 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=1.5, use_topk=True, P=0.7434, R=0.9438, F1=0.8317
2025-04-15 22:05:59,472 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=2.0, use_topk=True, P=0.7434, R=0.9438, F1=0.8317
2025-04-15 22:05:59,473 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=2.5, use_topk=True, P=0.7339, R=0.8989, F1=0.8081
2025-04-15 22:06:01,387 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=3.0, use_topk=True, P=0.7383, R=0.8876, F1=0.8061
2025-04-15 22:06:01,425 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=3.5, use_topk=True, P=0.7358, R=0.8764, F1=0.8000
2025-04-15 22:06:01,427 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=4.0, use_topk=True, P=0.7308, R=0.8539, F1=0.7876
2025-04-15 22:06:01,449 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=4.5, use_topk=True, P=0.7308, R=0.8539, F1=0.7876
2025-04-15 22:06:03,343 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=5.0, use_topk=True, P=0.7308, R=0.8539, F1=0.7876
2025-04-15 22:06:03,385 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=5.5, use_topk=True, P=0.7500, R=0.8427, F1=0.7937
2025-04-15 22:06:03,385 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=6.0, use_topk=True, P=0.7475, R=0.8315, F1=0.7872
