2025-04-15 22:22:23,802 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['mean_ratio'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkTrue', visual_dir='./visual/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-15 22:22:23,802 - INFO - pearson correlation 取绝对值
2025-04-15 22:22:23,802 - INFO - 当前评分模式: ['mean_ratio']
2025-04-15 22:22:23,802 - INFO - 
==================================================
2025-04-15 22:22:23,803 - INFO - 开始执行网格搜索...
2025-04-15 22:22:23,805 - INFO - [omi-1] Starting grid search...
2025-04-15 22:22:26,854 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=1.0, use_topk=True, P=0.6860, R=0.6629, F1=0.6743
2025-04-15 22:22:26,865 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=1.5, use_topk=True, P=0.6790, R=0.6180, F1=0.6471
2025-04-15 22:22:26,970 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=2.0, use_topk=True, P=0.6875, R=0.6180, F1=0.6509
2025-04-15 22:22:26,970 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=2.5, use_topk=True, P=0.6842, R=0.5843, F1=0.6303
2025-04-15 22:22:28,853 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=3.0, use_topk=True, P=0.6667, R=0.5393, F1=0.5963
2025-04-15 22:22:28,878 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=3.5, use_topk=True, P=0.6667, R=0.5393, F1=0.5963
2025-04-15 22:22:28,919 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=4.0, use_topk=True, P=0.6812, R=0.5281, F1=0.5949
2025-04-15 22:22:29,045 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=4.5, use_topk=True, P=0.6866, R=0.5169, F1=0.5897
2025-04-15 22:22:30,833 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=5.0, use_topk=True, P=0.6818, R=0.5056, F1=0.5806
2025-04-15 22:22:30,917 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=5.5, use_topk=True, P=0.6875, R=0.4944, F1=0.5752
2025-04-15 22:22:30,973 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=6.0, use_topk=True, P=0.6885, R=0.4719, F1=0.5600
2025-04-15 22:22:31,042 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=6.5, use_topk=True, P=0.7119, R=0.4719, F1=0.5676
2025-04-15 22:22:33,225 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=7.0, use_topk=True, P=0.6964, R=0.4382, F1=0.5379
