2025-04-15 22:38:48,729 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['range_ratio'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkTrue', visual_dir='./visual/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-15 22:38:48,729 - INFO - pearson correlation 取绝对值
2025-04-15 22:38:48,730 - INFO - 当前评分模式: ['range_ratio']
2025-04-15 22:38:48,730 - INFO - 
==================================================
2025-04-15 22:38:48,730 - INFO - 开始执行网格搜索...
2025-04-15 22:38:48,736 - INFO - [omi-1] Starting grid search...
2025-04-15 22:38:51,849 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=1.0, use_topk=True, P=0.6988, R=0.6517, F1=0.6744
2025-04-15 22:38:51,851 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=1.5, use_topk=True, P=0.6923, R=0.6067, F1=0.6467
2025-04-15 22:38:51,851 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=2.0, use_topk=True, P=0.6974, R=0.5955, F1=0.6424
2025-04-15 22:38:51,851 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=2.5, use_topk=True, P=0.7123, R=0.5843, F1=0.6420
2025-04-15 22:38:53,766 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=3.0, use_topk=True, P=0.7083, R=0.5730, F1=0.6335
2025-04-15 22:38:53,838 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=3.5, use_topk=True, P=0.7302, R=0.5169, F1=0.6053
2025-04-15 22:38:53,838 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=4.0, use_topk=True, P=0.7302, R=0.5169, F1=0.6053
2025-04-15 22:38:53,877 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=4.5, use_topk=True, P=0.7302, R=0.5169, F1=0.6053
2025-04-15 22:38:55,640 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=5.0, use_topk=True, P=0.7458, R=0.4944, F1=0.5946
2025-04-15 22:38:55,738 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=5.5, use_topk=True, P=0.7544, R=0.4831, F1=0.5890
2025-04-15 22:38:55,813 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=6.0, use_topk=True, P=0.7636, R=0.4719, F1=0.5833
2025-04-15 22:38:55,895 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=6.5, use_topk=True, P=0.7636, R=0.4719, F1=0.5833
2025-04-15 22:38:58,116 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=7.0, use_topk=True, P=0.7692, R=0.4494, F1=0.5674
2025-04-15 22:38:58,116 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=1.0, use_topk=True, P=0.7172, R=0.7978, F1=0.7553
2025-04-15 22:38:58,196 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=1.5, use_topk=True, P=0.7128, R=0.7528, F1=0.7322
2025-04-15 22:38:58,245 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=2.0, use_topk=True, P=0.7128, R=0.7528, F1=0.7322
2025-04-15 22:39:00,614 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=2.5, use_topk=True, P=0.7065, R=0.7303, F1=0.7182
2025-04-15 22:39:01,001 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=3.0, use_topk=True, P=0.7222, R=0.7303, F1=0.7263
2025-04-15 22:39:01,002 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=3.5, use_topk=True, P=0.7176, R=0.6854, F1=0.7011
2025-04-15 22:39:01,114 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=4.0, use_topk=True, P=0.7160, R=0.6517, F1=0.6824
2025-04-15 22:39:03,431 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=4.5, use_topk=True, P=0.7273, R=0.6292, F1=0.6747
2025-04-15 22:39:03,543 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=5.0, use_topk=True, P=0.7273, R=0.6292, F1=0.6747
2025-04-15 22:39:03,701 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=5.5, use_topk=True, P=0.7237, R=0.6180, F1=0.6667
2025-04-15 22:39:03,732 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=6.0, use_topk=True, P=0.7397, R=0.6067, F1=0.6667
2025-04-15 22:39:06,058 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=6.5, use_topk=True, P=0.7606, R=0.6067, F1=0.6750
2025-04-15 22:39:06,483 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=7.0, use_topk=True, P=0.7606, R=0.6067, F1=0.6750
2025-04-15 22:39:06,659 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=1.0, use_topk=True, P=0.7411, R=0.9326, F1=0.8259
2025-04-15 22:39:06,660 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=1.5, use_topk=True, P=0.7387, R=0.9213, F1=0.8200
2025-04-15 22:39:08,818 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=2.0, use_topk=True, P=0.7364, R=0.9101, F1=0.8141
2025-04-15 22:39:09,127 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=2.5, use_topk=True, P=0.7339, R=0.8989, F1=0.8081
2025-04-15 22:39:09,303 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=3.0, use_topk=True, P=0.7315, R=0.8876, F1=0.8020
2025-04-15 22:39:09,630 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=3.5, use_topk=True, P=0.7333, R=0.8652, F1=0.7938
2025-04-15 22:39:11,385 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=4.0, use_topk=True, P=0.7327, R=0.8315, F1=0.7789
2025-04-15 22:39:11,980 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=4.5, use_topk=True, P=0.7551, R=0.8315, F1=0.7914
2025-04-15 22:39:12,091 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=5.0, use_topk=True, P=0.7500, R=0.8090, F1=0.7784
2025-04-15 22:39:12,360 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=5.5, use_topk=True, P=0.7447, R=0.7865, F1=0.7650
2025-04-15 22:39:14,052 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=6.0, use_topk=True, P=0.7609, R=0.7865, F1=0.7735
2025-04-15 22:39:14,457 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=6.5, use_topk=True, P=0.7753, R=0.7753, F1=0.7753
2025-04-15 22:39:15,035 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=7.0, use_topk=True, P=0.7753, R=0.7753, F1=0.7753
2025-04-15 22:39:15,306 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=1.0, use_topk=True, P=0.7478, R=0.9663, F1=0.8431
2025-04-15 22:39:16,894 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=1.5, use_topk=True, P=0.7456, R=0.9551, F1=0.8374
2025-04-15 22:39:17,195 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=2.0, use_topk=True, P=0.7434, R=0.9438, F1=0.8317
2025-04-15 22:39:17,634 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=2.5, use_topk=True, P=0.7387, R=0.9213, F1=0.8200
2025-04-15 22:39:18,275 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=3.0, use_topk=True, P=0.7364, R=0.9101, F1=0.8141
2025-04-15 22:39:19,755 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=3.5, use_topk=True, P=0.7364, R=0.9101, F1=0.8141
2025-04-15 22:39:19,902 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=4.0, use_topk=True, P=0.7383, R=0.8876, F1=0.8061
2025-04-15 22:39:20,459 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=4.5, use_topk=True, P=0.7383, R=0.8876, F1=0.8061
2025-04-15 22:39:21,304 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=5.0, use_topk=True, P=0.7333, R=0.8652, F1=0.7938
2025-04-15 22:39:22,536 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=5.5, use_topk=True, P=0.7282, R=0.8427, F1=0.7812
2025-04-15 22:39:22,549 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=6.0, use_topk=True, P=0.7282, R=0.8427, F1=0.7812
2025-04-15 22:39:23,281 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=6.5, use_topk=True, P=0.7300, R=0.8202, F1=0.7725
2025-04-15 22:39:24,121 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=7.0, use_topk=True, P=0.7374, R=0.8202, F1=0.7766
2025-04-15 22:39:25,399 - INFO - [omi-1.txt] mode=range_ratio, top_k=5, threshold=1.0, use_topk=True, P=0.7542, R=1.0000, F1=0.8599
2025-04-15 22:39:25,400 - INFO - [omi-1.txt] mode=range_ratio, top_k=5, threshold=1.5, use_topk=True, P=0.7521, R=0.9888, F1=0.8544
2025-04-15 22:39:26,000 - INFO - [omi-1.txt] mode=range_ratio, top_k=5, threshold=2.0, use_topk=True, P=0.7478, R=0.9663, F1=0.8431
