2025-04-15 21:49:57,862 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['strict_deviation'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkTrue', visual_dir='./visual/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-15 21:49:57,862 - INFO - pearson correlation 取绝对值
2025-04-15 21:49:57,863 - INFO - 当前评分模式: ['strict_deviation']
2025-04-15 21:49:57,863 - INFO - 
==================================================
2025-04-15 21:49:57,863 - INFO - 开始执行网格搜索...
2025-04-15 21:49:57,869 - INFO - [omi-1] Starting grid search...
2025-04-15 21:50:01,065 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=1.0, use_topk=True, P=0.6818, R=0.6742, F1=0.6780
2025-04-15 21:50:01,237 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=1.5, use_topk=True, P=0.6897, R=0.6742, F1=0.6818
2025-04-15 21:50:01,239 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=2.0, use_topk=True, P=0.6988, R=0.6517, F1=0.6744
2025-04-15 21:50:01,239 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=2.5, use_topk=True, P=0.6923, R=0.6067, F1=0.6467
2025-04-15 21:50:03,218 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=3.0, use_topk=True, P=0.6933, R=0.5843, F1=0.6341
2025-04-15 21:50:03,310 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=3.5, use_topk=True, P=0.6892, R=0.5730, F1=0.6258
2025-04-15 21:50:03,310 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=4.0, use_topk=True, P=0.6944, R=0.5618, F1=0.6211
2025-04-15 21:50:03,379 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=4.5, use_topk=True, P=0.6901, R=0.5506, F1=0.6125
2025-04-15 21:50:05,343 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=5.0, use_topk=True, P=0.6912, R=0.5281, F1=0.5987
2025-04-15 21:50:05,420 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=5.5, use_topk=True, P=0.6970, R=0.5169, F1=0.5935
2025-04-15 21:50:05,474 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=6.0, use_topk=True, P=0.6984, R=0.4944, F1=0.5789
