2025-04-16 10:18:56,905 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['strict_deviation'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/use_topkTrue', visual_dir='./visual/omi/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-16 10:18:56,906 - INFO - 当前评分模式: ['strict_deviation']
2025-04-16 10:18:56,906 - INFO - 
==================================================
2025-04-16 10:18:56,906 - INFO - 开始执行网格搜索...
2025-04-16 10:18:56,907 - INFO - [omi-1] Starting grid search...
2025-04-16 10:18:59,945 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=1.0, use_topk=True, P=0.6761, R=0.5393, F1=0.6000
2025-04-16 10:18:59,979 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=1.5, use_topk=True, P=0.6567, R=0.4944, F1=0.5641
2025-04-16 10:19:00,029 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=2.0, use_topk=True, P=0.6780, R=0.4494, F1=0.5405
2025-04-16 10:19:00,082 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=2.5, use_topk=True, P=0.6780, R=0.4494, F1=0.5405
2025-04-16 10:19:02,023 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=3.0, use_topk=True, P=0.6842, R=0.4382, F1=0.5342
2025-04-16 10:19:02,098 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=3.5, use_topk=True, P=0.6731, R=0.3933, F1=0.4965
2025-04-16 10:19:02,124 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=4.0, use_topk=True, P=0.6731, R=0.3933, F1=0.4965
2025-04-16 10:19:02,177 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=4.5, use_topk=True, P=0.6531, R=0.3596, F1=0.4638
2025-04-16 10:19:04,049 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=5.0, use_topk=True, P=0.6383, R=0.3371, F1=0.4412
2025-04-16 10:19:04,058 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=5.5, use_topk=True, P=0.6512, R=0.3146, F1=0.4242
2025-04-16 10:19:04,193 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=6.0, use_topk=True, P=0.6341, R=0.2921, F1=0.4000
2025-04-16 10:19:04,264 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=6.5, use_topk=True, P=0.6316, R=0.2697, F1=0.3780
2025-04-16 10:19:06,014 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=7.0, use_topk=True, P=0.6765, R=0.2584, F1=0.3740
2025-04-16 10:19:06,064 - INFO - [omi-1.txt] mode=strict_deviation, top_k=2, threshold=1.0, use_topk=True, P=0.7093, R=0.6854, F1=0.6971
2025-04-16 10:19:06,175 - INFO - [omi-1.txt] mode=strict_deviation, top_k=2, threshold=1.5, use_topk=True, P=0.6988, R=0.6517, F1=0.6744
2025-04-16 10:19:06,227 - INFO - [omi-1.txt] mode=strict_deviation, top_k=2, threshold=2.0, use_topk=True, P=0.7089, R=0.6292, F1=0.6667
