2025-04-15 22:55:14,393 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['value_times_range'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkTrue', visual_dir='./visual/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-15 22:55:14,393 - INFO - pearson correlation 取绝对值
2025-04-15 22:55:14,394 - INFO - 当前评分模式: ['value_times_range']
2025-04-15 22:55:14,394 - INFO - 
==================================================
2025-04-15 22:55:14,398 - INFO - 开始执行网格搜索...
2025-04-15 22:55:14,401 - INFO - [omi-1] Starting grid search...
2025-04-15 22:55:17,640 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=1.0, use_topk=True, P=0.6923, R=0.6067, F1=0.6467
2025-04-15 22:55:17,640 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=1.5, use_topk=True, P=0.6761, R=0.5393, F1=0.6000
2025-04-15 22:55:17,641 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=2.0, use_topk=True, P=0.6866, R=0.5169, F1=0.5897
2025-04-15 22:55:17,657 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=2.5, use_topk=True, P=0.6935, R=0.4831, F1=0.5695
2025-04-15 22:55:19,556 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=3.0, use_topk=True, P=0.7069, R=0.4607, F1=0.5578
2025-04-15 22:55:19,602 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=3.5, use_topk=True, P=0.6964, R=0.4382, F1=0.5379
2025-04-15 22:55:19,676 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=4.0, use_topk=True, P=0.7308, R=0.4270, F1=0.5390
2025-04-15 22:55:19,677 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=4.5, use_topk=True, P=0.7308, R=0.4270, F1=0.5390
2025-04-15 22:55:21,532 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=5.0, use_topk=True, P=0.7174, R=0.3708, F1=0.4889
2025-04-15 22:55:21,595 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=5.5, use_topk=True, P=0.6923, R=0.3034, F1=0.4219
2025-04-15 22:55:21,638 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=6.0, use_topk=True, P=0.6571, R=0.2584, F1=0.3710
2025-04-15 22:55:21,655 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=6.5, use_topk=True, P=0.6667, R=0.2472, F1=0.3607
2025-04-15 22:55:23,955 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=7.0, use_topk=True, P=0.6667, R=0.2247, F1=0.3361
2025-04-15 22:55:23,956 - INFO - [omi-1.txt] mode=value_times_range, top_k=2, threshold=1.0, use_topk=True, P=0.7053, R=0.7528, F1=0.7283
2025-04-15 22:55:24,274 - INFO - [omi-1.txt] mode=value_times_range, top_k=2, threshold=1.5, use_topk=True, P=0.7000, R=0.7079, F1=0.7039
2025-04-15 22:55:24,275 - INFO - [omi-1.txt] mode=value_times_range, top_k=2, threshold=2.0, use_topk=True, P=0.7126, R=0.6966, F1=0.7045
2025-04-15 22:55:26,832 - INFO - [omi-1.txt] mode=value_times_range, top_k=2, threshold=2.5, use_topk=True, P=0.6914, R=0.6292, F1=0.6588
2025-04-15 22:55:26,833 - INFO - [omi-1.txt] mode=value_times_range, top_k=2, threshold=3.0, use_topk=True, P=0.7013, R=0.6067, F1=0.6506
2025-04-15 22:55:26,833 - INFO - [omi-1.txt] mode=value_times_range, top_k=2, threshold=3.5, use_topk=True, P=0.7162, R=0.5955, F1=0.6503
2025-04-15 22:55:27,176 - INFO - [omi-1.txt] mode=value_times_range, top_k=2, threshold=4.0, use_topk=True, P=0.7162, R=0.5955, F1=0.6503
