2025-04-16 11:30:44,132 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['value_times_range'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/use_topkTrue', visual_dir='./visual/omi/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-16 11:30:44,133 - INFO - 当前评分模式: ['value_times_range']
2025-04-16 11:30:44,133 - INFO - 
==================================================
2025-04-16 11:30:44,133 - INFO - 开始执行网格搜索...
2025-04-16 11:30:44,135 - INFO - [omi-1] Starting grid search...
2025-04-16 11:30:47,304 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=1.0, use_topk=True, P=0.6567, R=0.4944, F1=0.5641
2025-04-16 11:30:47,364 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=1.5, use_topk=True, P=0.6379, R=0.4157, F1=0.5034
2025-04-16 11:30:47,364 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=2.0, use_topk=True, P=0.6200, R=0.3483, F1=0.4460
2025-04-16 11:30:47,364 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=2.5, use_topk=True, P=0.6200, R=0.3483, F1=0.4460
2025-04-16 11:30:49,269 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=3.0, use_topk=True, P=0.6222, R=0.3146, F1=0.4179
2025-04-16 11:30:49,285 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=3.5, use_topk=True, P=0.6136, R=0.3034, F1=0.4060
2025-04-16 11:30:49,342 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=4.0, use_topk=True, P=0.6136, R=0.3034, F1=0.4060
2025-04-16 11:30:49,418 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=4.5, use_topk=True, P=0.6136, R=0.3034, F1=0.4060
2025-04-16 11:30:51,244 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=5.0, use_topk=True, P=0.6154, R=0.2697, F1=0.3750
2025-04-16 11:30:51,330 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=5.5, use_topk=True, P=0.6316, R=0.2697, F1=0.3780
2025-04-16 11:30:51,374 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=6.0, use_topk=True, P=0.6316, R=0.2697, F1=0.3780
2025-04-16 11:30:51,425 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=6.5, use_topk=True, P=0.6562, R=0.2360, F1=0.3471
2025-04-16 11:30:54,497 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=7.0, use_topk=True, P=0.6667, R=0.2247, F1=0.3361
2025-04-16 11:30:54,846 - INFO - [omi-1.txt] mode=value_times_range, top_k=2, threshold=1.0, use_topk=True, P=0.6951, R=0.6404, F1=0.6667
