2025-04-15 21:25:36,579 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['deviation'], use_topk=False, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkFalse', visual_dir='./visual/use_topkFalse', num_workers=4, gif_duration=500)
2025-04-15 21:25:36,579 - INFO - 当前评分模式: ['deviation']
2025-04-15 21:25:36,579 - INFO - 
==================================================
2025-04-15 21:25:36,579 - INFO - 开始执行网格搜索...
2025-04-15 21:25:36,582 - INFO - [omi-1] Starting grid search...
2025-04-15 21:25:39,772 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=1.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 21:25:39,781 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=1.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 21:25:39,814 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=2.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 21:25:39,871 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=2.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 21:25:41,898 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=3.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 21:25:41,972 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=3.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 21:25:41,972 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=4.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 21:25:41,972 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=4.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 21:25:43,981 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=5.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 21:25:44,034 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=5.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 21:25:44,046 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=6.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 21:25:44,096 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=6.5, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 21:25:45,862 - INFO - [omi-1.txt] mode=deviation, top_k=None, threshold=7.0, use_topk=False, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 21:25:45,882 - INFO - [omi-10] Starting grid search...
2025-04-15 21:25:49,241 - INFO - [omi-10.txt] mode=deviation, top_k=None, threshold=1.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 21:25:49,336 - INFO - [omi-10.txt] mode=deviation, top_k=None, threshold=1.5, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 21:25:49,345 - INFO - [omi-10.txt] mode=deviation, top_k=None, threshold=2.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 21:25:49,388 - INFO - [omi-10.txt] mode=deviation, top_k=None, threshold=2.5, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 21:25:51,483 - INFO - [omi-10.txt] mode=deviation, top_k=None, threshold=3.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 21:25:51,588 - INFO - [omi-10.txt] mode=deviation, top_k=None, threshold=3.5, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 21:25:51,588 - INFO - [omi-10.txt] mode=deviation, top_k=None, threshold=4.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 21:25:51,588 - INFO - [omi-10.txt] mode=deviation, top_k=None, threshold=4.5, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 21:25:53,752 - INFO - [omi-10.txt] mode=deviation, top_k=None, threshold=5.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 21:25:53,761 - INFO - [omi-10.txt] mode=deviation, top_k=None, threshold=5.5, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 21:25:53,815 - INFO - [omi-10.txt] mode=deviation, top_k=None, threshold=6.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 21:25:53,842 - INFO - [omi-10.txt] mode=deviation, top_k=None, threshold=6.5, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 21:25:55,744 - INFO - [omi-10.txt] mode=deviation, top_k=None, threshold=7.0, use_topk=False, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 21:25:55,762 - INFO - [omi-11] Starting grid search...
2025-04-15 21:25:59,072 - INFO - [omi-11.txt] mode=deviation, top_k=None, threshold=1.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:25:59,073 - INFO - [omi-11.txt] mode=deviation, top_k=None, threshold=1.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:25:59,107 - INFO - [omi-11.txt] mode=deviation, top_k=None, threshold=2.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:25:59,108 - INFO - [omi-11.txt] mode=deviation, top_k=None, threshold=2.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:26:01,176 - INFO - [omi-11.txt] mode=deviation, top_k=None, threshold=3.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:26:01,197 - INFO - [omi-11.txt] mode=deviation, top_k=None, threshold=3.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:26:01,197 - INFO - [omi-11.txt] mode=deviation, top_k=None, threshold=4.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:26:01,271 - INFO - [omi-11.txt] mode=deviation, top_k=None, threshold=4.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:26:03,292 - INFO - [omi-11.txt] mode=deviation, top_k=None, threshold=5.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:26:03,338 - INFO - [omi-11.txt] mode=deviation, top_k=None, threshold=5.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:26:03,350 - INFO - [omi-11.txt] mode=deviation, top_k=None, threshold=6.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:26:03,488 - INFO - [omi-11.txt] mode=deviation, top_k=None, threshold=6.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:26:05,185 - INFO - [omi-11.txt] mode=deviation, top_k=None, threshold=7.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:26:05,202 - INFO - [omi-12] Starting grid search...
2025-04-15 21:26:07,952 - INFO - [omi-12.txt] mode=deviation, top_k=None, threshold=1.0, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 21:26:07,953 - INFO - [omi-12.txt] mode=deviation, top_k=None, threshold=1.5, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 21:26:07,953 - INFO - [omi-12.txt] mode=deviation, top_k=None, threshold=2.0, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 21:26:07,953 - INFO - [omi-12.txt] mode=deviation, top_k=None, threshold=2.5, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 21:26:09,507 - INFO - [omi-12.txt] mode=deviation, top_k=None, threshold=3.0, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 21:26:09,516 - INFO - [omi-12.txt] mode=deviation, top_k=None, threshold=3.5, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 21:26:09,516 - INFO - [omi-12.txt] mode=deviation, top_k=None, threshold=4.0, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 21:26:09,570 - INFO - [omi-12.txt] mode=deviation, top_k=None, threshold=4.5, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 21:26:11,059 - INFO - [omi-12.txt] mode=deviation, top_k=None, threshold=5.0, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 21:26:11,079 - INFO - [omi-12.txt] mode=deviation, top_k=None, threshold=5.5, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 21:26:11,104 - INFO - [omi-12.txt] mode=deviation, top_k=None, threshold=6.0, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 21:26:11,168 - INFO - [omi-12.txt] mode=deviation, top_k=None, threshold=6.5, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 21:26:12,489 - INFO - [omi-12.txt] mode=deviation, top_k=None, threshold=7.0, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 21:26:12,507 - INFO - [omi-2] Starting grid search...
2025-04-15 21:26:15,661 - INFO - [omi-2.txt] mode=deviation, top_k=None, threshold=1.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 21:26:15,662 - INFO - [omi-2.txt] mode=deviation, top_k=None, threshold=1.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 21:26:15,662 - INFO - [omi-2.txt] mode=deviation, top_k=None, threshold=2.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 21:26:15,662 - INFO - [omi-2.txt] mode=deviation, top_k=None, threshold=2.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 21:26:17,517 - INFO - [omi-2.txt] mode=deviation, top_k=None, threshold=3.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 21:26:17,579 - INFO - [omi-2.txt] mode=deviation, top_k=None, threshold=3.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 21:26:17,580 - INFO - [omi-2.txt] mode=deviation, top_k=None, threshold=4.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 21:26:17,659 - INFO - [omi-2.txt] mode=deviation, top_k=None, threshold=4.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 21:26:19,465 - INFO - [omi-2.txt] mode=deviation, top_k=None, threshold=5.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 21:26:19,492 - INFO - [omi-2.txt] mode=deviation, top_k=None, threshold=5.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 21:26:19,596 - INFO - [omi-2.txt] mode=deviation, top_k=None, threshold=6.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 21:26:19,677 - INFO - [omi-2.txt] mode=deviation, top_k=None, threshold=6.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 21:26:21,231 - INFO - [omi-2.txt] mode=deviation, top_k=None, threshold=7.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 21:26:21,247 - INFO - [omi-3] Starting grid search...
2025-04-15 21:26:24,432 - INFO - [omi-3.txt] mode=deviation, top_k=None, threshold=1.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 21:26:24,433 - INFO - [omi-3.txt] mode=deviation, top_k=None, threshold=1.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 21:26:24,462 - INFO - [omi-3.txt] mode=deviation, top_k=None, threshold=2.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 21:26:24,463 - INFO - [omi-3.txt] mode=deviation, top_k=None, threshold=2.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 21:26:26,436 - INFO - [omi-3.txt] mode=deviation, top_k=None, threshold=3.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 21:26:26,437 - INFO - [omi-3.txt] mode=deviation, top_k=None, threshold=3.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 21:26:26,490 - INFO - [omi-3.txt] mode=deviation, top_k=None, threshold=4.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 21:26:26,540 - INFO - [omi-3.txt] mode=deviation, top_k=None, threshold=4.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 21:26:28,487 - INFO - [omi-3.txt] mode=deviation, top_k=None, threshold=5.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 21:26:28,487 - INFO - [omi-3.txt] mode=deviation, top_k=None, threshold=5.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 21:26:28,505 - INFO - [omi-3.txt] mode=deviation, top_k=None, threshold=6.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 21:26:28,588 - INFO - [omi-3.txt] mode=deviation, top_k=None, threshold=6.5, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 21:26:30,313 - INFO - [omi-3.txt] mode=deviation, top_k=None, threshold=7.0, use_topk=False, P=0.7738, R=0.8333, F1=0.8025
2025-04-15 21:26:30,329 - INFO - [omi-4] Starting grid search...
2025-04-15 21:26:33,509 - INFO - [omi-4.txt] mode=deviation, top_k=None, threshold=1.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 21:26:33,513 - INFO - [omi-4.txt] mode=deviation, top_k=None, threshold=1.5, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 21:26:33,552 - INFO - [omi-4.txt] mode=deviation, top_k=None, threshold=2.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 21:26:33,552 - INFO - [omi-4.txt] mode=deviation, top_k=None, threshold=2.5, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 21:26:35,525 - INFO - [omi-4.txt] mode=deviation, top_k=None, threshold=3.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 21:26:35,553 - INFO - [omi-4.txt] mode=deviation, top_k=None, threshold=3.5, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 21:26:35,641 - INFO - [omi-4.txt] mode=deviation, top_k=None, threshold=4.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 21:26:35,657 - INFO - [omi-4.txt] mode=deviation, top_k=None, threshold=4.5, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 21:26:37,597 - INFO - [omi-4.txt] mode=deviation, top_k=None, threshold=5.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 21:26:37,597 - INFO - [omi-4.txt] mode=deviation, top_k=None, threshold=5.5, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 21:26:37,643 - INFO - [omi-4.txt] mode=deviation, top_k=None, threshold=6.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 21:26:37,683 - INFO - [omi-4.txt] mode=deviation, top_k=None, threshold=6.5, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 21:26:39,418 - INFO - [omi-4.txt] mode=deviation, top_k=None, threshold=7.0, use_topk=False, P=0.7952, R=0.9851, F1=0.8800
2025-04-15 21:26:39,436 - INFO - [omi-5] Starting grid search...
2025-04-15 21:26:42,669 - INFO - [omi-5.txt] mode=deviation, top_k=None, threshold=1.0, use_topk=False, P=0.4537, R=1.0000, F1=0.6242
