2025-04-15 21:35:29,159 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['robust_zscore'], use_topk=False, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkFalse', visual_dir='./visual/use_topkFalse', num_workers=4, gif_duration=500)
2025-04-15 21:35:29,160 - INFO - 当前评分模式: ['robust_zscore']
2025-04-15 21:35:29,160 - INFO - 
==================================================
2025-04-15 21:35:29,160 - INFO - 开始执行网格搜索...
2025-04-15 21:35:29,162 - INFO - [omi-1] Starting grid search...
2025-04-15 21:35:32,720 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=1.0, use_topk=False, P=0.7395, R=0.9888, F1=0.8462
2025-04-15 21:35:32,721 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=1.5, use_topk=False, P=0.7395, R=0.9888, F1=0.8462
2025-04-15 21:35:32,721 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=2.0, use_topk=False, P=0.7395, R=0.9888, F1=0.8462
2025-04-15 21:35:32,721 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=2.5, use_topk=False, P=0.7395, R=0.9888, F1=0.8462
2025-04-15 21:35:34,839 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=3.0, use_topk=False, P=0.7395, R=0.9888, F1=0.8462
2025-04-15 21:35:34,865 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=3.5, use_topk=False, P=0.7395, R=0.9888, F1=0.8462
2025-04-15 21:35:34,865 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=4.0, use_topk=False, P=0.7395, R=0.9888, F1=0.8462
2025-04-15 21:35:34,906 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=4.5, use_topk=False, P=0.7350, R=0.9663, F1=0.8350
2025-04-15 21:35:36,898 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=5.0, use_topk=False, P=0.7350, R=0.9663, F1=0.8350
2025-04-15 21:35:36,928 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=5.5, use_topk=False, P=0.7350, R=0.9663, F1=0.8350
2025-04-15 21:35:36,938 - INFO - [omi-1.txt] mode=robust_zscore, top_k=None, threshold=6.0, use_topk=False, P=0.7350, R=0.9663, F1=0.8350
