2025-04-15 21:23:14,236 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['strict_deviation'], use_topk=False, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkFalse', visual_dir='./visual/use_topkFalse', num_workers=4, gif_duration=500)
2025-04-15 21:23:14,236 - INFO - 当前评分模式: ['strict_deviation']
2025-04-15 21:23:14,236 - INFO - 
==================================================
2025-04-15 21:23:14,236 - INFO - 开始执行网格搜索...
2025-04-15 21:23:14,238 - INFO - [omi-1] Starting grid search...
2025-04-15 21:23:17,404 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=1.0, use_topk=False, P=0.7395, R=0.9888, F1=0.8462
2025-04-15 21:23:17,462 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=1.5, use_topk=False, P=0.7395, R=0.9888, F1=0.8462
2025-04-15 21:23:17,480 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=2.0, use_topk=False, P=0.7395, R=0.9888, F1=0.8462
2025-04-15 21:23:17,480 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=2.5, use_topk=False, P=0.7373, R=0.9775, F1=0.8406
2025-04-15 21:23:19,477 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=3.0, use_topk=False, P=0.7373, R=0.9775, F1=0.8406
2025-04-15 21:23:19,482 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=3.5, use_topk=False, P=0.7328, R=0.9551, F1=0.8293
2025-04-15 21:23:19,511 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=4.0, use_topk=False, P=0.7328, R=0.9551, F1=0.8293
2025-04-15 21:23:19,577 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=4.5, use_topk=False, P=0.7328, R=0.9551, F1=0.8293
2025-04-15 21:23:21,553 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=5.0, use_topk=False, P=0.7328, R=0.9551, F1=0.8293
2025-04-15 21:23:21,573 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=5.5, use_topk=False, P=0.7328, R=0.9551, F1=0.8293
2025-04-15 21:23:21,588 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=6.0, use_topk=False, P=0.7232, R=0.9101, F1=0.8060
2025-04-15 21:23:21,668 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=6.5, use_topk=False, P=0.7156, R=0.8764, F1=0.7879
2025-04-15 21:23:23,421 - INFO - [omi-1.txt] mode=strict_deviation, top_k=None, threshold=7.0, use_topk=False, P=0.7130, R=0.8652, F1=0.7817
2025-04-15 21:23:23,438 - INFO - [omi-10] Starting grid search...
2025-04-15 21:23:26,712 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=1.0, use_topk=False, P=0.4688, R=0.9836, F1=0.6349
2025-04-15 21:23:26,713 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=1.5, use_topk=False, P=0.4688, R=0.9836, F1=0.6349
2025-04-15 21:23:26,713 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=2.0, use_topk=False, P=0.4688, R=0.9836, F1=0.6349
2025-04-15 21:23:26,713 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=2.5, use_topk=False, P=0.4688, R=0.9836, F1=0.6349
2025-04-15 21:23:28,769 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=3.0, use_topk=False, P=0.4683, R=0.9672, F1=0.6310
2025-04-15 21:23:28,844 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=3.5, use_topk=False, P=0.4758, R=0.9672, F1=0.6378
2025-04-15 21:23:28,844 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=4.0, use_topk=False, P=0.4836, R=0.9672, F1=0.6448
2025-04-15 21:23:28,844 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=4.5, use_topk=False, P=0.4836, R=0.9672, F1=0.6448
2025-04-15 21:23:30,970 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=5.0, use_topk=False, P=0.4836, R=0.9672, F1=0.6448
2025-04-15 21:23:30,970 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=5.5, use_topk=False, P=0.4836, R=0.9672, F1=0.6448
2025-04-15 21:23:31,060 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=6.0, use_topk=False, P=0.4836, R=0.9672, F1=0.6448
2025-04-15 21:23:31,060 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=6.5, use_topk=False, P=0.4836, R=0.9672, F1=0.6448
2025-04-15 21:23:32,853 - INFO - [omi-10.txt] mode=strict_deviation, top_k=None, threshold=7.0, use_topk=False, P=0.4836, R=0.9672, F1=0.6448
2025-04-15 21:23:32,872 - INFO - [omi-11] Starting grid search...
2025-04-15 21:23:36,076 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=1.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:23:36,142 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=1.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:23:36,142 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=2.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:23:36,142 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=2.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:23:38,166 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=3.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:23:38,175 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=3.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:23:38,227 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=4.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:23:38,227 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=4.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:23:40,248 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=5.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:23:40,249 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=5.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:23:40,352 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=6.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:23:40,354 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=6.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:23:42,095 - INFO - [omi-11.txt] mode=strict_deviation, top_k=None, threshold=7.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:23:42,113 - INFO - [omi-12] Starting grid search...
2025-04-15 21:23:44,804 - INFO - [omi-12.txt] mode=strict_deviation, top_k=None, threshold=1.0, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 21:23:44,862 - INFO - [omi-12.txt] mode=strict_deviation, top_k=None, threshold=1.5, use_topk=False, P=0.6230, R=0.9500, F1=0.7525
