2025-04-15 21:32:57,681 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['value_times_range'], use_topk=False, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkFalse', visual_dir='./visual/use_topkFalse', num_workers=4, gif_duration=500)
2025-04-15 21:32:57,682 - INFO - 当前评分模式: ['value_times_range']
2025-04-15 21:32:57,682 - INFO - 
==================================================
2025-04-15 21:32:57,682 - INFO - 开始执行网格搜索...
2025-04-15 21:32:57,684 - INFO - [omi-1] Starting grid search...
2025-04-15 21:33:00,940 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=1.0, use_topk=False, P=0.7373, R=0.9775, F1=0.8406
2025-04-15 21:33:00,945 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=1.5, use_topk=False, P=0.7373, R=0.9775, F1=0.8406
2025-04-15 21:33:00,945 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=2.0, use_topk=False, P=0.7373, R=0.9775, F1=0.8406
2025-04-15 21:33:00,967 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=2.5, use_topk=False, P=0.7373, R=0.9775, F1=0.8406
2025-04-15 21:33:03,075 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=3.0, use_topk=False, P=0.7232, R=0.9101, F1=0.8060
2025-04-15 21:33:03,169 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=3.5, use_topk=False, P=0.7156, R=0.8764, F1=0.7879
2025-04-15 21:33:03,169 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=4.0, use_topk=False, P=0.7156, R=0.8764, F1=0.7879
2025-04-15 21:33:03,192 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=4.5, use_topk=False, P=0.7156, R=0.8764, F1=0.7879
2025-04-15 21:33:05,191 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=5.0, use_topk=False, P=0.7156, R=0.8764, F1=0.7879
2025-04-15 21:33:05,335 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=5.5, use_topk=False, P=0.7130, R=0.8652, F1=0.7817
2025-04-15 21:33:05,346 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=6.0, use_topk=False, P=0.7130, R=0.8652, F1=0.7817
2025-04-15 21:33:05,362 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=6.5, use_topk=False, P=0.7075, R=0.8427, F1=0.7692
2025-04-15 21:33:07,134 - INFO - [omi-1.txt] mode=value_times_range, top_k=None, threshold=7.0, use_topk=False, P=0.7075, R=0.8427, F1=0.7692
2025-04-15 21:33:07,149 - INFO - [omi-10] Starting grid search...
2025-04-15 21:33:10,624 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=1.0, use_topk=False, P=0.4688, R=0.9836, F1=0.6349
2025-04-15 21:33:10,625 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=1.5, use_topk=False, P=0.4688, R=0.9836, F1=0.6349
2025-04-15 21:33:10,625 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=2.0, use_topk=False, P=0.4683, R=0.9672, F1=0.6310
2025-04-15 21:33:10,625 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=2.5, use_topk=False, P=0.4683, R=0.9672, F1=0.6310
2025-04-15 21:33:12,789 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=3.0, use_topk=False, P=0.4797, R=0.9672, F1=0.6413
2025-04-15 21:33:12,816 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=3.5, use_topk=False, P=0.4836, R=0.9672, F1=0.6448
2025-04-15 21:33:12,828 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=4.0, use_topk=False, P=0.4836, R=0.9672, F1=0.6448
2025-04-15 21:33:12,875 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=4.5, use_topk=False, P=0.4836, R=0.9672, F1=0.6448
2025-04-15 21:33:14,894 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=5.0, use_topk=False, P=0.4836, R=0.9672, F1=0.6448
2025-04-15 21:33:14,988 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=5.5, use_topk=False, P=0.4836, R=0.9672, F1=0.6448
2025-04-15 21:33:14,988 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=6.0, use_topk=False, P=0.4836, R=0.9672, F1=0.6448
2025-04-15 21:33:15,022 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=6.5, use_topk=False, P=0.4917, R=0.9672, F1=0.6519
2025-04-15 21:33:16,943 - INFO - [omi-10.txt] mode=value_times_range, top_k=None, threshold=7.0, use_topk=False, P=0.4917, R=0.9672, F1=0.6519
2025-04-15 21:33:16,960 - INFO - [omi-11] Starting grid search...
2025-04-15 21:33:20,224 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=1.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:33:20,293 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=1.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:33:20,293 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=2.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:33:20,293 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=2.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:33:22,237 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=3.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:33:22,472 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=3.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:33:22,473 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=4.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:33:22,473 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=4.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:33:24,288 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=5.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:33:24,475 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=5.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:33:24,505 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=6.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:33:24,557 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=6.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 21:33:26,188 - INFO - [omi-11.txt] mode=value_times_range, top_k=None, threshold=7.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
