2025-04-15 20:21:02,031 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['deviation'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkTrue', visual_dir='./visual/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-15 20:21:02,032 - INFO - 当前评分模式: ['deviation']
2025-04-15 20:21:02,032 - INFO - 
==================================================
2025-04-15 20:21:02,032 - INFO - 开始执行网格搜索...
2025-04-15 20:21:02,033 - INFO - [omi-1] Starting grid search...
2025-04-15 20:21:05,137 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=1.0, use_topk=True, P=0.7477, R=0.8989, F1=0.8163
2025-04-15 20:21:05,186 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=1.5, use_topk=True, P=0.7477, R=0.8989, F1=0.8163
2025-04-15 20:21:05,205 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=2.0, use_topk=True, P=0.7453, R=0.8876, F1=0.8103
2025-04-15 20:21:05,227 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=2.5, use_topk=True, P=0.7453, R=0.8876, F1=0.8103
2025-04-15 20:21:07,073 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=3.0, use_topk=True, P=0.7500, R=0.8764, F1=0.8083
2025-04-15 20:21:07,187 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=3.5, use_topk=True, P=0.7476, R=0.8652, F1=0.8021
2025-04-15 20:21:07,188 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=4.0, use_topk=True, P=0.7525, R=0.8539, F1=0.8000
2025-04-15 20:21:07,228 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=4.5, use_topk=True, P=0.7500, R=0.8427, F1=0.7937
2025-04-15 20:21:08,972 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=5.0, use_topk=True, P=0.7500, R=0.8427, F1=0.7937
2025-04-15 20:21:09,040 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=5.5, use_topk=True, P=0.7475, R=0.8315, F1=0.7872
2025-04-15 20:21:09,145 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=6.0, use_topk=True, P=0.7396, R=0.7978, F1=0.7676
2025-04-15 20:21:09,160 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=6.5, use_topk=True, P=0.7368, R=0.7865, F1=0.7609
2025-04-15 20:21:10,964 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=7.0, use_topk=True, P=0.7340, R=0.7753, F1=0.7541
2025-04-15 20:21:11,004 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=1.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:11,137 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=1.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:11,168 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=2.0, use_topk=True, P=0.7395, R=0.9888, F1=0.8462
2025-04-15 20:21:12,929 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=2.5, use_topk=True, P=0.7373, R=0.9775, F1=0.8406
2025-04-15 20:21:12,931 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=3.0, use_topk=True, P=0.7373, R=0.9775, F1=0.8406
2025-04-15 20:21:13,138 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=3.5, use_topk=True, P=0.7373, R=0.9775, F1=0.8406
2025-04-15 20:21:13,139 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=4.0, use_topk=True, P=0.7350, R=0.9663, F1=0.8350
2025-04-15 20:21:14,920 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=4.5, use_topk=True, P=0.7350, R=0.9663, F1=0.8350
2025-04-15 20:21:14,920 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=5.0, use_topk=True, P=0.7304, R=0.9438, F1=0.8235
2025-04-15 20:21:15,093 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=5.5, use_topk=True, P=0.7304, R=0.9438, F1=0.8235
2025-04-15 20:21:15,094 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=6.0, use_topk=True, P=0.7368, R=0.9438, F1=0.8276
2025-04-15 20:21:16,895 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=6.5, use_topk=True, P=0.7321, R=0.9213, F1=0.8159
2025-04-15 20:21:16,944 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=7.0, use_topk=True, P=0.7321, R=0.9213, F1=0.8159
2025-04-15 20:21:17,105 - INFO - [omi-1.txt] mode=deviation, top_k=3, threshold=1.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:17,164 - INFO - [omi-1.txt] mode=deviation, top_k=3, threshold=1.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:18,912 - INFO - [omi-1.txt] mode=deviation, top_k=3, threshold=2.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:18,912 - INFO - [omi-1.txt] mode=deviation, top_k=3, threshold=2.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:19,083 - INFO - [omi-1.txt] mode=deviation, top_k=3, threshold=3.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:19,139 - INFO - [omi-1.txt] mode=deviation, top_k=3, threshold=3.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:20,872 - INFO - [omi-1.txt] mode=deviation, top_k=3, threshold=4.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:20,873 - INFO - [omi-1.txt] mode=deviation, top_k=3, threshold=4.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:21,064 - INFO - [omi-1.txt] mode=deviation, top_k=3, threshold=5.0, use_topk=True, P=0.7395, R=0.9888, F1=0.8462
2025-04-15 20:21:21,115 - INFO - [omi-1.txt] mode=deviation, top_k=3, threshold=5.5, use_topk=True, P=0.7373, R=0.9775, F1=0.8406
2025-04-15 20:21:22,882 - INFO - [omi-1.txt] mode=deviation, top_k=3, threshold=6.0, use_topk=True, P=0.7373, R=0.9775, F1=0.8406
2025-04-15 20:21:22,883 - INFO - [omi-1.txt] mode=deviation, top_k=3, threshold=6.5, use_topk=True, P=0.7373, R=0.9775, F1=0.8406
2025-04-15 20:21:23,044 - INFO - [omi-1.txt] mode=deviation, top_k=3, threshold=7.0, use_topk=True, P=0.7373, R=0.9775, F1=0.8406
2025-04-15 20:21:23,129 - INFO - [omi-1.txt] mode=deviation, top_k=4, threshold=1.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:24,797 - INFO - [omi-1.txt] mode=deviation, top_k=4, threshold=1.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:24,843 - INFO - [omi-1.txt] mode=deviation, top_k=4, threshold=2.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
