2025-04-15 20:33:33,030 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['mean_ratio'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkTrue', visual_dir='./visual/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-15 20:33:33,030 - INFO - 当前评分模式: ['mean_ratio']
2025-04-15 20:33:33,031 - INFO - 
==================================================
2025-04-15 20:33:33,031 - INFO - 开始执行网格搜索...
2025-04-15 20:33:33,032 - INFO - [omi-1] Starting grid search...
2025-04-15 20:33:36,085 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=1.0, use_topk=True, P=0.7015, R=0.5281, F1=0.6026
2025-04-15 20:33:36,095 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=1.5, use_topk=True, P=0.6667, R=0.4494, F1=0.5369
2025-04-15 20:33:36,121 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=2.0, use_topk=True, P=0.6552, R=0.4270, F1=0.5170
2025-04-15 20:33:36,121 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=2.5, use_topk=True, P=0.6552, R=0.4270, F1=0.5170
2025-04-15 20:33:38,030 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=3.0, use_topk=True, P=0.6491, R=0.4157, F1=0.5068
2025-04-15 20:33:38,031 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=3.5, use_topk=True, P=0.6491, R=0.4157, F1=0.5068
2025-04-15 20:33:38,090 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=4.0, use_topk=True, P=0.6607, R=0.4157, F1=0.5103
2025-04-15 20:33:38,090 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=4.5, use_topk=True, P=0.6607, R=0.4157, F1=0.5103
2025-04-15 20:33:39,931 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=5.0, use_topk=True, P=0.6607, R=0.4157, F1=0.5103
2025-04-15 20:33:39,988 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=5.5, use_topk=True, P=0.6607, R=0.4157, F1=0.5103
2025-04-15 20:33:40,040 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=6.0, use_topk=True, P=0.6481, R=0.3933, F1=0.4895
2025-04-15 20:33:40,040 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=6.5, use_topk=True, P=0.6481, R=0.3933, F1=0.4895
2025-04-15 20:33:41,837 - INFO - [omi-1.txt] mode=mean_ratio, top_k=1, threshold=7.0, use_topk=True, P=0.6481, R=0.3933, F1=0.4895
2025-04-15 20:33:41,882 - INFO - [omi-1.txt] mode=mean_ratio, top_k=2, threshold=1.0, use_topk=True, P=0.7253, R=0.7416, F1=0.7333
2025-04-15 20:33:41,961 - INFO - [omi-1.txt] mode=mean_ratio, top_k=2, threshold=1.5, use_topk=True, P=0.7093, R=0.6854, F1=0.6971
2025-04-15 20:33:42,043 - INFO - [omi-1.txt] mode=mean_ratio, top_k=2, threshold=2.0, use_topk=True, P=0.6988, R=0.6517, F1=0.6744
2025-04-15 20:33:43,755 - INFO - [omi-1.txt] mode=mean_ratio, top_k=2, threshold=2.5, use_topk=True, P=0.6988, R=0.6517, F1=0.6744
2025-04-15 20:33:43,821 - INFO - [omi-1.txt] mode=mean_ratio, top_k=2, threshold=3.0, use_topk=True, P=0.6988, R=0.6517, F1=0.6744
2025-04-15 20:33:43,916 - INFO - [omi-1.txt] mode=mean_ratio, top_k=2, threshold=3.5, use_topk=True, P=0.6951, R=0.6404, F1=0.6667
2025-04-15 20:33:43,928 - INFO - [omi-1.txt] mode=mean_ratio, top_k=2, threshold=4.0, use_topk=True, P=0.6951, R=0.6404, F1=0.6667
2025-04-15 20:33:45,704 - INFO - [omi-1.txt] mode=mean_ratio, top_k=2, threshold=4.5, use_topk=True, P=0.6951, R=0.6404, F1=0.6667
2025-04-15 20:33:45,782 - INFO - [omi-1.txt] mode=mean_ratio, top_k=2, threshold=5.0, use_topk=True, P=0.6951, R=0.6404, F1=0.6667
2025-04-15 20:33:45,835 - INFO - [omi-1.txt] mode=mean_ratio, top_k=2, threshold=5.5, use_topk=True, P=0.7037, R=0.6404, F1=0.6706
2025-04-15 20:33:45,857 - INFO - [omi-1.txt] mode=mean_ratio, top_k=2, threshold=6.0, use_topk=True, P=0.6962, R=0.6180, F1=0.6548
2025-04-15 20:33:47,690 - INFO - [omi-1.txt] mode=mean_ratio, top_k=2, threshold=6.5, use_topk=True, P=0.6962, R=0.6180, F1=0.6548
2025-04-15 20:33:47,698 - INFO - [omi-1.txt] mode=mean_ratio, top_k=2, threshold=7.0, use_topk=True, P=0.6962, R=0.6180, F1=0.6548
2025-04-15 20:33:47,754 - INFO - [omi-1.txt] mode=mean_ratio, top_k=3, threshold=1.0, use_topk=True, P=0.7100, R=0.7978, F1=0.7513
2025-04-15 20:33:47,782 - INFO - [omi-1.txt] mode=mean_ratio, top_k=3, threshold=1.5, use_topk=True, P=0.6947, R=0.7416, F1=0.7174
2025-04-15 20:33:49,584 - INFO - [omi-1.txt] mode=mean_ratio, top_k=3, threshold=2.0, use_topk=True, P=0.6882, R=0.7191, F1=0.7033
2025-04-15 20:33:49,646 - INFO - [omi-1.txt] mode=mean_ratio, top_k=3, threshold=2.5, use_topk=True, P=0.6848, R=0.7079, F1=0.6961
2025-04-15 20:33:49,646 - INFO - [omi-1.txt] mode=mean_ratio, top_k=3, threshold=3.0, use_topk=True, P=0.6848, R=0.7079, F1=0.6961
2025-04-15 20:33:49,736 - INFO - [omi-1.txt] mode=mean_ratio, top_k=3, threshold=3.5, use_topk=True, P=0.6848, R=0.7079, F1=0.6961
2025-04-15 20:33:51,593 - INFO - [omi-1.txt] mode=mean_ratio, top_k=3, threshold=4.0, use_topk=True, P=0.6848, R=0.7079, F1=0.6961
2025-04-15 20:33:51,644 - INFO - [omi-1.txt] mode=mean_ratio, top_k=3, threshold=4.5, use_topk=True, P=0.6813, R=0.6966, F1=0.6889
2025-04-15 20:33:51,677 - INFO - [omi-1.txt] mode=mean_ratio, top_k=3, threshold=5.0, use_topk=True, P=0.6813, R=0.6966, F1=0.6889
2025-04-15 20:33:51,687 - INFO - [omi-1.txt] mode=mean_ratio, top_k=3, threshold=5.5, use_topk=True, P=0.6813, R=0.6966, F1=0.6889
2025-04-15 20:33:53,528 - INFO - [omi-1.txt] mode=mean_ratio, top_k=3, threshold=6.0, use_topk=True, P=0.6813, R=0.6966, F1=0.6889
2025-04-15 20:33:53,572 - INFO - [omi-1.txt] mode=mean_ratio, top_k=3, threshold=6.5, use_topk=True, P=0.6778, R=0.6854, F1=0.6816
2025-04-15 20:33:53,702 - INFO - [omi-1.txt] mode=mean_ratio, top_k=3, threshold=7.0, use_topk=True, P=0.6778, R=0.6854, F1=0.6816
2025-04-15 20:33:53,703 - INFO - [omi-1.txt] mode=mean_ratio, top_k=4, threshold=1.0, use_topk=True, P=0.7170, R=0.8539, F1=0.7795
2025-04-15 20:33:55,475 - INFO - [omi-1.txt] mode=mean_ratio, top_k=4, threshold=1.5, use_topk=True, P=0.7059, R=0.8090, F1=0.7539
2025-04-15 20:33:55,544 - INFO - [omi-1.txt] mode=mean_ratio, top_k=4, threshold=2.0, use_topk=True, P=0.7030, R=0.7978, F1=0.7474
2025-04-15 20:33:55,721 - INFO - [omi-1.txt] mode=mean_ratio, top_k=4, threshold=2.5, use_topk=True, P=0.7030, R=0.7978, F1=0.7474
2025-04-15 20:33:55,722 - INFO - [omi-1.txt] mode=mean_ratio, top_k=4, threshold=3.0, use_topk=True, P=0.7030, R=0.7978, F1=0.7474
2025-04-15 20:33:57,398 - INFO - [omi-1.txt] mode=mean_ratio, top_k=4, threshold=3.5, use_topk=True, P=0.7030, R=0.7978, F1=0.7474
2025-04-15 20:33:57,541 - INFO - [omi-1.txt] mode=mean_ratio, top_k=4, threshold=4.0, use_topk=True, P=0.7030, R=0.7978, F1=0.7474
2025-04-15 20:33:57,740 - INFO - [omi-1.txt] mode=mean_ratio, top_k=4, threshold=4.5, use_topk=True, P=0.7030, R=0.7978, F1=0.7474
2025-04-15 20:33:57,751 - INFO - [omi-1.txt] mode=mean_ratio, top_k=4, threshold=5.0, use_topk=True, P=0.7030, R=0.7978, F1=0.7474
2025-04-15 20:33:59,354 - INFO - [omi-1.txt] mode=mean_ratio, top_k=4, threshold=5.5, use_topk=True, P=0.7030, R=0.7978, F1=0.7474
2025-04-15 20:33:59,509 - INFO - [omi-1.txt] mode=mean_ratio, top_k=4, threshold=6.0, use_topk=True, P=0.7000, R=0.7865, F1=0.7407
2025-04-15 20:33:59,687 - INFO - [omi-1.txt] mode=mean_ratio, top_k=4, threshold=6.5, use_topk=True, P=0.7000, R=0.7865, F1=0.7407
2025-04-15 20:33:59,705 - INFO - [omi-1.txt] mode=mean_ratio, top_k=4, threshold=7.0, use_topk=True, P=0.6970, R=0.7753, F1=0.7340
2025-04-15 20:34:01,387 - INFO - [omi-1.txt] mode=mean_ratio, top_k=5, threshold=1.0, use_topk=True, P=0.7321, R=0.9213, F1=0.8159
2025-04-15 20:34:01,517 - INFO - [omi-1.txt] mode=mean_ratio, top_k=5, threshold=1.5, use_topk=True, P=0.7196, R=0.8652, F1=0.7857
2025-04-15 20:34:01,706 - INFO - [omi-1.txt] mode=mean_ratio, top_k=5, threshold=2.0, use_topk=True, P=0.7143, R=0.8427, F1=0.7732
2025-04-15 20:34:01,788 - INFO - [omi-1.txt] mode=mean_ratio, top_k=5, threshold=2.5, use_topk=True, P=0.7143, R=0.8427, F1=0.7732
2025-04-15 20:34:03,422 - INFO - [omi-1.txt] mode=mean_ratio, top_k=5, threshold=3.0, use_topk=True, P=0.7143, R=0.8427, F1=0.7732
2025-04-15 20:34:03,550 - INFO - [omi-1.txt] mode=mean_ratio, top_k=5, threshold=3.5, use_topk=True, P=0.7143, R=0.8427, F1=0.7732
2025-04-15 20:34:03,675 - INFO - [omi-1.txt] mode=mean_ratio, top_k=5, threshold=4.0, use_topk=True, P=0.7143, R=0.8427, F1=0.7732
