2025-04-15 20:45:58,835 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['range_ratio'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkTrue', visual_dir='./visual/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-15 20:45:58,835 - INFO - 当前评分模式: ['range_ratio']
2025-04-15 20:45:58,835 - INFO - 
==================================================
2025-04-15 20:45:58,835 - INFO - 开始执行网格搜索...
2025-04-15 20:45:58,838 - INFO - [omi-1] Starting grid search...
2025-04-15 20:46:01,858 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=1.0, use_topk=True, P=0.6981, R=0.4157, F1=0.5211
2025-04-15 20:46:01,859 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=1.5, use_topk=True, P=0.7292, R=0.3933, F1=0.5109
2025-04-15 20:46:01,907 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=2.0, use_topk=True, P=0.7391, R=0.3820, F1=0.5037
2025-04-15 20:46:01,946 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=2.5, use_topk=True, P=0.7317, R=0.3371, F1=0.4615
2025-04-15 20:46:03,728 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=3.0, use_topk=True, P=0.7436, R=0.3258, F1=0.4531
2025-04-15 20:46:03,759 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=3.5, use_topk=True, P=0.7368, R=0.3146, F1=0.4409
2025-04-15 20:46:03,838 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=4.0, use_topk=True, P=0.7500, R=0.3034, F1=0.4320
2025-04-15 20:46:03,878 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=4.5, use_topk=True, P=0.7353, R=0.2809, F1=0.4065
2025-04-15 20:46:05,688 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=5.0, use_topk=True, P=0.7667, R=0.2584, F1=0.3866
2025-04-15 20:46:05,689 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=5.5, use_topk=True, P=0.7407, R=0.2247, F1=0.3448
2025-04-15 20:46:05,768 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=6.0, use_topk=True, P=0.8000, R=0.2247, F1=0.3509
2025-04-15 20:46:05,867 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=6.5, use_topk=True, P=0.8000, R=0.2247, F1=0.3509
2025-04-15 20:46:07,647 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=7.0, use_topk=True, P=0.7917, R=0.2135, F1=0.3363
2025-04-15 20:46:07,674 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=1.0, use_topk=True, P=0.7051, R=0.6180, F1=0.6587
2025-04-15 20:46:07,703 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=1.5, use_topk=True, P=0.7222, R=0.5843, F1=0.6460
2025-04-15 20:46:07,747 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=2.0, use_topk=True, P=0.7538, R=0.5506, F1=0.6364
2025-04-15 20:46:09,643 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=2.5, use_topk=True, P=0.7193, R=0.4607, F1=0.5616
2025-04-15 20:46:09,667 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=3.0, use_topk=True, P=0.7222, R=0.4382, F1=0.5455
2025-04-15 20:46:09,668 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=3.5, use_topk=True, P=0.7308, R=0.4270, F1=0.5390
2025-04-15 20:46:09,693 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=4.0, use_topk=True, P=0.7200, R=0.4045, F1=0.5180
2025-04-15 20:46:11,631 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=4.5, use_topk=True, P=0.7174, R=0.3708, F1=0.4889
2025-04-15 20:46:11,651 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=5.0, use_topk=True, P=0.7073, R=0.3258, F1=0.4462
2025-04-15 20:46:11,660 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=5.5, use_topk=True, P=0.7073, R=0.3258, F1=0.4462
2025-04-15 20:46:11,739 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=6.0, use_topk=True, P=0.7179, R=0.3146, F1=0.4375
2025-04-15 20:46:13,557 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=6.5, use_topk=True, P=0.6857, R=0.2697, F1=0.3871
2025-04-15 20:46:13,636 - INFO - [omi-1.txt] mode=range_ratio, top_k=2, threshold=7.0, use_topk=True, P=0.6857, R=0.2697, F1=0.3871
2025-04-15 20:46:13,636 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=1.0, use_topk=True, P=0.7024, R=0.6629, F1=0.6821
2025-04-15 20:46:13,724 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=1.5, use_topk=True, P=0.6951, R=0.6404, F1=0.6667
2025-04-15 20:46:15,520 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=2.0, use_topk=True, P=0.7000, R=0.6292, F1=0.6627
2025-04-15 20:46:15,616 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=2.5, use_topk=True, P=0.7067, R=0.5955, F1=0.6463
2025-04-15 20:46:15,617 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=3.0, use_topk=True, P=0.7246, R=0.5618, F1=0.6329
2025-04-15 20:46:15,662 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=3.5, use_topk=True, P=0.7231, R=0.5281, F1=0.6104
2025-04-15 20:46:17,505 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=4.0, use_topk=True, P=0.7460, R=0.5281, F1=0.6184
2025-04-15 20:46:17,545 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=4.5, use_topk=True, P=0.7414, R=0.4831, F1=0.5850
2025-04-15 20:46:17,585 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=5.0, use_topk=True, P=0.7308, R=0.4270, F1=0.5390
2025-04-15 20:46:17,638 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=5.5, use_topk=True, P=0.7200, R=0.4045, F1=0.5180
2025-04-15 20:46:19,522 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=6.0, use_topk=True, P=0.6957, R=0.3596, F1=0.4741
2025-04-15 20:46:19,561 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=6.5, use_topk=True, P=0.6818, R=0.3371, F1=0.4511
2025-04-15 20:46:19,591 - INFO - [omi-1.txt] mode=range_ratio, top_k=3, threshold=7.0, use_topk=True, P=0.6977, R=0.3371, F1=0.4545
2025-04-15 20:46:19,670 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=1.0, use_topk=True, P=0.7204, R=0.7528, F1=0.7363
2025-04-15 20:46:21,542 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=1.5, use_topk=True, P=0.7159, R=0.7079, F1=0.7119
2025-04-15 20:46:21,542 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=2.0, use_topk=True, P=0.7159, R=0.7079, F1=0.7119
2025-04-15 20:46:21,570 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=2.5, use_topk=True, P=0.7073, R=0.6517, F1=0.6784
2025-04-15 20:46:21,598 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=3.0, use_topk=True, P=0.7342, R=0.6517, F1=0.6905
2025-04-15 20:46:23,527 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=3.5, use_topk=True, P=0.7237, R=0.6180, F1=0.6667
2025-04-15 20:46:23,527 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=4.0, use_topk=True, P=0.7162, R=0.5955, F1=0.6503
2025-04-15 20:46:23,595 - INFO - [omi-1.txt] mode=range_ratio, top_k=4, threshold=4.5, use_topk=True, P=0.7353, R=0.5618, F1=0.6369
