2025-04-15 21:10:48,568 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['robust_zscore'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkTrue', visual_dir='./visual/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-15 21:10:48,569 - INFO - 当前评分模式: ['robust_zscore']
2025-04-15 21:10:48,569 - INFO - 
==================================================
2025-04-15 21:10:48,569 - INFO - 开始执行网格搜索...
2025-04-15 21:10:48,570 - INFO - [omi-1] Starting grid search...
2025-04-15 21:10:51,640 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=1.0, use_topk=True, P=0.7101, R=0.5506, F1=0.6203
2025-04-15 21:10:51,662 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=1.5, use_topk=True, P=0.6970, R=0.5169, F1=0.5935
2025-04-15 21:10:51,662 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=2.0, use_topk=True, P=0.7167, R=0.4831, F1=0.5772
2025-04-15 21:10:51,662 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=2.5, use_topk=True, P=0.7069, R=0.4607, F1=0.5578
2025-04-15 21:10:53,615 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=3.0, use_topk=True, P=0.7069, R=0.4607, F1=0.5578
2025-04-15 21:10:53,616 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=3.5, use_topk=True, P=0.7069, R=0.4607, F1=0.5578
2025-04-15 21:10:53,616 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=4.0, use_topk=True, P=0.7193, R=0.4607, F1=0.5616
2025-04-15 21:10:53,616 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=4.5, use_topk=True, P=0.7321, R=0.4607, F1=0.5655
2025-04-15 21:10:55,494 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=5.0, use_topk=True, P=0.7321, R=0.4607, F1=0.5655
2025-04-15 21:10:55,495 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=5.5, use_topk=True, P=0.7455, R=0.4607, F1=0.5694
2025-04-15 21:10:55,557 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=6.0, use_topk=True, P=0.7308, R=0.4270, F1=0.5390
2025-04-15 21:10:55,557 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=6.5, use_topk=True, P=0.7451, R=0.4270, F1=0.5429
2025-04-15 21:10:57,520 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=7.0, use_topk=True, P=0.7451, R=0.4270, F1=0.5429
2025-04-15 21:10:57,521 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=1.0, use_topk=True, P=0.7253, R=0.7416, F1=0.7333
2025-04-15 21:10:57,532 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=1.5, use_topk=True, P=0.7222, R=0.7303, F1=0.7263
2025-04-15 21:10:57,634 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=2.0, use_topk=True, P=0.7294, R=0.6966, F1=0.7126
2025-04-15 21:10:59,461 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=2.5, use_topk=True, P=0.7294, R=0.6966, F1=0.7126
2025-04-15 21:10:59,512 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=3.0, use_topk=True, P=0.7294, R=0.6966, F1=0.7126
2025-04-15 21:10:59,513 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=3.5, use_topk=True, P=0.7349, R=0.6854, F1=0.7093
2025-04-15 21:10:59,588 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=4.0, use_topk=True, P=0.7439, R=0.6854, F1=0.7135
2025-04-15 21:11:01,449 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=4.5, use_topk=True, P=0.7375, R=0.6629, F1=0.6982
2025-04-15 21:11:01,471 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=5.0, use_topk=True, P=0.7342, R=0.6517, F1=0.6905
2025-04-15 21:11:01,506 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=5.5, use_topk=True, P=0.7403, R=0.6404, F1=0.6867
2025-04-15 21:11:01,538 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=6.0, use_topk=True, P=0.7324, R=0.5843, F1=0.6500
2025-04-15 21:11:03,360 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=6.5, use_topk=True, P=0.7391, R=0.5730, F1=0.6456
2025-04-15 21:11:03,407 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=7.0, use_topk=True, P=0.7500, R=0.5730, F1=0.6497
2025-04-15 21:11:03,419 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=1.0, use_topk=True, P=0.7100, R=0.7978, F1=0.7513
2025-04-15 21:11:03,557 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=1.5, use_topk=True, P=0.7071, R=0.7865, F1=0.7447
2025-04-15 21:11:05,318 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=2.0, use_topk=True, P=0.7097, R=0.7416, F1=0.7253
2025-04-15 21:11:05,369 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=2.5, use_topk=True, P=0.7253, R=0.7416, F1=0.7333
2025-04-15 21:11:05,394 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=3.0, use_topk=True, P=0.7253, R=0.7416, F1=0.7333
2025-04-15 21:11:05,553 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=3.5, use_topk=True, P=0.7222, R=0.7303, F1=0.7263
2025-04-15 21:11:07,274 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=4.0, use_topk=True, P=0.7222, R=0.7303, F1=0.7263
2025-04-15 21:11:07,334 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=4.5, use_topk=True, P=0.7222, R=0.7303, F1=0.7263
2025-04-15 21:11:07,393 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=5.0, use_topk=True, P=0.7222, R=0.7303, F1=0.7263
2025-04-15 21:11:07,566 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=5.5, use_topk=True, P=0.7191, R=0.7191, F1=0.7191
2025-04-15 21:11:09,238 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=6.0, use_topk=True, P=0.7126, R=0.6966, F1=0.7045
2025-04-15 21:11:09,248 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=6.5, use_topk=True, P=0.7093, R=0.6854, F1=0.6971
2025-04-15 21:11:09,351 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=7.0, use_topk=True, P=0.7176, R=0.6854, F1=0.7011
2025-04-15 21:11:09,599 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=1.0, use_topk=True, P=0.7170, R=0.8539, F1=0.7795
2025-04-15 21:11:11,227 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=1.5, use_topk=True, P=0.7170, R=0.8539, F1=0.7795
2025-04-15 21:11:11,229 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=2.0, use_topk=True, P=0.7212, R=0.8427, F1=0.7772
2025-04-15 21:11:11,338 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=2.5, use_topk=True, P=0.7300, R=0.8202, F1=0.7725
2025-04-15 21:11:11,556 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=3.0, use_topk=True, P=0.7300, R=0.8202, F1=0.7725
2025-04-15 21:11:13,185 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=3.5, use_topk=True, P=0.7273, R=0.8090, F1=0.7660
2025-04-15 21:11:13,195 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=4.0, use_topk=True, P=0.7347, R=0.8090, F1=0.7701
2025-04-15 21:11:13,375 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=4.5, use_topk=True, P=0.7347, R=0.8090, F1=0.7701
2025-04-15 21:11:13,579 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=5.0, use_topk=True, P=0.7347, R=0.8090, F1=0.7701
2025-04-15 21:11:15,138 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=5.5, use_topk=True, P=0.7347, R=0.8090, F1=0.7701
2025-04-15 21:11:15,179 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=6.0, use_topk=True, P=0.7292, R=0.7865, F1=0.7568
2025-04-15 21:11:15,360 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=6.5, use_topk=True, P=0.7263, R=0.7753, F1=0.7500
2025-04-15 21:11:15,576 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=7.0, use_topk=True, P=0.7312, R=0.7640, F1=0.7473
2025-04-15 21:11:17,035 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=1.0, use_topk=True, P=0.7321, R=0.9213, F1=0.8159
2025-04-15 21:11:17,123 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=1.5, use_topk=True, P=0.7297, R=0.9101, F1=0.8100
2025-04-15 21:11:17,338 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=2.0, use_topk=True, P=0.7339, R=0.8989, F1=0.8081
2025-04-15 21:11:17,598 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=2.5, use_topk=True, P=0.7358, R=0.8764, F1=0.8000
2025-04-15 21:11:19,008 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=3.0, use_topk=True, P=0.7358, R=0.8764, F1=0.8000
2025-04-15 21:11:19,062 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=3.5, use_topk=True, P=0.7308, R=0.8539, F1=0.7876
2025-04-15 21:11:19,258 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=4.0, use_topk=True, P=0.7353, R=0.8427, F1=0.7853
2025-04-15 21:11:19,574 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=4.5, use_topk=True, P=0.7426, R=0.8427, F1=0.7895
2025-04-15 21:11:21,030 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=5.0, use_topk=True, P=0.7426, R=0.8427, F1=0.7895
2025-04-15 21:11:21,058 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=5.5, use_topk=True, P=0.7426, R=0.8427, F1=0.7895
2025-04-15 21:11:21,245 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=6.0, use_topk=True, P=0.7400, R=0.8315, F1=0.7831
2025-04-15 21:11:21,549 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=6.5, use_topk=True, P=0.7374, R=0.8202, F1=0.7766
2025-04-15 21:11:23,065 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=7.0, use_topk=True, P=0.7449, R=0.8202, F1=0.7807
2025-04-15 21:11:23,127 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=1.0, use_topk=True, P=0.7345, R=0.9326, F1=0.8218
2025-04-15 21:11:23,269 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=1.5, use_topk=True, P=0.7345, R=0.9326, F1=0.8218
2025-04-15 21:11:23,571 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=2.0, use_topk=True, P=0.7345, R=0.9326, F1=0.8218
2025-04-15 21:11:25,118 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=2.5, use_topk=True, P=0.7297, R=0.9101, F1=0.8100
2025-04-15 21:11:25,149 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=3.0, use_topk=True, P=0.7297, R=0.9101, F1=0.8100
2025-04-15 21:11:25,251 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=3.5, use_topk=True, P=0.7273, R=0.8989, F1=0.8040
2025-04-15 21:11:25,570 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=4.0, use_topk=True, P=0.7339, R=0.8989, F1=0.8081
2025-04-15 21:11:27,091 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=4.5, use_topk=True, P=0.7339, R=0.8989, F1=0.8081
2025-04-15 21:11:27,094 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=5.0, use_topk=True, P=0.7339, R=0.8989, F1=0.8081
2025-04-15 21:11:27,224 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=5.5, use_topk=True, P=0.7339, R=0.8989, F1=0.8081
2025-04-15 21:11:27,576 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=6.0, use_topk=True, P=0.7339, R=0.8989, F1=0.8081
2025-04-15 21:11:29,104 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=6.5, use_topk=True, P=0.7383, R=0.8876, F1=0.8061
2025-04-15 21:11:29,104 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=7.0, use_topk=True, P=0.7453, R=0.8876, F1=0.8103
