2025-04-15 20:08:34,724 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['strict_deviation'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkTrue', visual_dir='./visual/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-15 20:08:34,724 - INFO - 当前评分模式: ['strict_deviation']
2025-04-15 20:08:34,724 - INFO - 
==================================================
2025-04-15 20:08:34,724 - INFO - 开始执行网格搜索...
2025-04-15 20:08:34,725 - INFO - [omi-1] Starting grid search...
2025-04-15 20:08:37,881 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=1.0, use_topk=True, P=0.7015, R=0.5281, F1=0.6026
2025-04-15 20:08:37,965 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=1.5, use_topk=True, P=0.6923, R=0.5056, F1=0.5844
2025-04-15 20:08:38,042 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=2.0, use_topk=True, P=0.6964, R=0.4382, F1=0.5379
2025-04-15 20:08:38,045 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=2.5, use_topk=True, P=0.6909, R=0.4270, F1=0.5278
2025-04-15 20:08:40,091 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=3.0, use_topk=True, P=0.6731, R=0.3933, F1=0.4965
2025-04-15 20:08:40,202 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=3.5, use_topk=True, P=0.6800, R=0.3820, F1=0.4892
2025-04-15 20:08:40,281 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=4.0, use_topk=True, P=0.7234, R=0.3820, F1=0.5000
2025-04-15 20:08:40,374 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=4.5, use_topk=True, P=0.7234, R=0.3820, F1=0.5000
2025-04-15 20:08:42,084 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=5.0, use_topk=True, P=0.7045, R=0.3483, F1=0.4662
2025-04-15 20:08:42,218 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=5.5, use_topk=True, P=0.7209, R=0.3483, F1=0.4697
2025-04-15 20:08:42,335 - INFO - [omi-1.txt] mode=strict_deviation, top_k=1, threshold=6.0, use_topk=True, P=0.7209, R=0.3483, F1=0.4697
