2025-04-15 20:58:22,971 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['value_times_range'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkTrue', visual_dir='./visual/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-15 20:58:22,972 - INFO - 当前评分模式: ['value_times_range']
2025-04-15 20:58:22,972 - INFO - 
==================================================
2025-04-15 20:58:22,972 - INFO - 开始执行网格搜索...
2025-04-15 20:58:22,973 - INFO - [omi-1] Starting grid search...
2025-04-15 20:58:25,980 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=1.0, use_topk=True, P=0.6875, R=0.4944, F1=0.5752
2025-04-15 20:58:25,982 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=1.5, use_topk=True, P=0.6607, R=0.4157, F1=0.5103
2025-04-15 20:58:26,011 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=2.0, use_topk=True, P=0.6458, R=0.3483, F1=0.4526
2025-04-15 20:58:26,078 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=2.5, use_topk=True, P=0.6596, R=0.3483, F1=0.4559
2025-04-15 20:58:27,926 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=3.0, use_topk=True, P=0.6667, R=0.3371, F1=0.4478
2025-04-15 20:58:27,927 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=3.5, use_topk=True, P=0.6905, R=0.3258, F1=0.4427
2025-04-15 20:58:27,927 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=4.0, use_topk=True, P=0.6905, R=0.3258, F1=0.4427
2025-04-15 20:58:28,053 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=4.5, use_topk=True, P=0.7073, R=0.3258, F1=0.4462
2025-04-15 20:58:29,840 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=5.0, use_topk=True, P=0.7000, R=0.3146, F1=0.4341
2025-04-15 20:58:29,841 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=5.5, use_topk=True, P=0.7000, R=0.3146, F1=0.4341
2025-04-15 20:58:29,842 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=6.0, use_topk=True, P=0.7000, R=0.3146, F1=0.4341
2025-04-15 20:58:30,015 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=6.5, use_topk=True, P=0.6857, R=0.2697, F1=0.3871
2025-04-15 20:58:31,737 - INFO - [omi-1.txt] mode=value_times_range, top_k=1, threshold=7.0, use_topk=True, P=0.7059, R=0.2697, F1=0.3902
2025-04-15 20:58:31,781 - INFO - [omi-1.txt] mode=value_times_range, top_k=2, threshold=1.0, use_topk=True, P=0.7222, R=0.7303, F1=0.7263
2025-04-15 20:58:31,781 - INFO - [omi-1.txt] mode=value_times_range, top_k=2, threshold=1.5, use_topk=True, P=0.7160, R=0.6517, F1=0.6824
2025-04-15 20:58:31,928 - INFO - [omi-1.txt] mode=value_times_range, top_k=2, threshold=2.0, use_topk=True, P=0.6933, R=0.5843, F1=0.6341
